BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    4,847
1206; AG.LINDAS230;    7,318
251; ACU II - 230;   12,338
11265; ACU III - 230;   12,060
11565; ACU III - 500;   11,775
7747; ABDON BATISTA - 230;    5,358
7744; ABDON BATISTA - 525;    5,112
9537; ABUNA - 230;    4,561
559; ACAILANDIA - 500;    9,934
55412; ACARAU II – 230;   10,845
12907; ACARAT CE - 230;   10,833
12902; ACARAT-CE500;   10,813
4475; ACESITA - 230;    5,999
3729; ADRIANOPOLIS - 345;    6,112
3728; ADRIANOPOLIS - 500;    6,185
1637; AIMORES - 230;    7,687
11760; ALAGOAS 2 - 230;    9,031
9002; ALEGRETE2 - 230;    5,308
56095; ALEX - 230;   11,923
362; ALTAMIRA - 230;    9,095
7758; ANASTACIO - 230;    5,401
2770; ANDIRA LESTE - 230;    4,569
540; ANGELIM - 500;   10,537
240; ANGELIM - 230;   10,457
3745; ANGRA - 500;    6,459
1172; ANHANGUERA GO - 230;    6,179
2901; ANHANGUERA SP - 230;    4,561
2900; ANHANGUERA - 345;    4,561
2957; APARECIDA - 230;    5,174
2758; ALTA PAULISTA - 400;    6,050
6601; APUCARANA - 230;    4,620
58771; LAGOA BARRO - 230;   11,444
11219; AQUIRAZ - 230;   10,675
1522; ARACUAI - 230;    9,488
11242; ARAPIRACA III - 230;    7,518
5203; ARARAQUARA 2 - 440;    6,049
5202; ARARAQUARA 2 - 500;    5,957
2630; ARARAQUARA - 440;    5,716
3852; ARARAQUARA - 500;    5,973
2673; ARARAS SP - 440;    5,055
38906; ARAXA 3 - 345;    6,588
12203; ARCOVERDE II - 230;   10,571
7749; AREIA - 230;    5,252
7748; AREIA - 525;    5,430
39813; ARINOS 2 - 500;    9,697
9520; ARIQUEMES - 230;    4,561
302; MOXOTO - 230;   11,247
2624; ASSIS - 440;    5,709
4282; ASSIS - 525;    5,751
2626; ASSIS 2 - 230;    5,270
2677; ATIBAIA 2 - 345;    4,561
7923; ATLANTIDA 2 - 230;    4,561
2786; AVARE - 230;    4,561
2617; AGUA VERMELHA - 500;    6,775
2618; AGUA VERMELHA - 440;    6,474
3947; BARRO ALTO - 230;    7,976
3605; BARRO BRANCO - 345;    6,183
4297; B. DOS COQUEIROS - 230;    7,005
229; B.ESPERANCA - 230;   10,202
4288; B. FLUMINENSE - 500;    6,192
7304; BARRA GRANDE - 230;    5,684
6608; BAIXO IGUACU PR - 230;    5,835
11050; B.JESUS II - 230;   10,172
3236; BARRA PEIXE - 230;    6,129
13103; BACAB - MA - 500;   10,280
9010; BAGE 2 - 230;    4,771
2733; BAGUACU - 440;    5,759
1645; BAGUARI - 230;    7,595
2920; B. SANTISTA - 230;    4,561
2919; B. SANTISTA - 345;    4,561
10410; BALBINA - 230;    7,230
215; BALSAS - 230;    9,885
222; BANABUIU - 230;   11,639
3909; BANDEIRANTE GO - 345;    7,415
2934; BANDEIRANTE SP - 345;    4,561
1480; BARBACENA - 345;    5,867
11286; BARREIRAS II - 230;    9,981
286; BARREIRAS - 230;    9,915
1482; BARREIRO - 345;    6,377
846; BARREIRAS - 500;   10,187
6627; BATEIAS - 230;    4,561
3696; BATEIAS 3 - 500;    5,108
6628; BATEIAS - 525;    5,142
2628; BAURU SP - 440;    5,106
1612; BARAO DE COCAIS 3 - 230;    6,130
1485; B.DESPACHO - 500;    7,536
529; B.ESPERANCA - 500;   10,292
26454; BETIM 6 -345;    6,590
7740; BAIXO IGUACU SC - 230;    4,561
7741; BIGUACU--525;    4,635
2638; BOM JARDIM - 440;    4,801
385; B.J.LAPA II - 230;   10,109
585; BJLAPAII - 500;    9,724
285; B.J.LAPA - 230;   10,108
35351; BRASILIA LESTE - 500;    8,220
7734; BLUMENAU - 230;    4,561
7733; BLUMENAU - 525;    4,635
220; BOM NOME - 230;   11,258
243; BONGI - 230;    9,574
2777; BOTUCATU - 230;    4,561
3936; BRASILIA GERAL - 230;    6,769
3920; BRAS. SUL - 230;    7,105
3919; BRAS. SUL -345;    7,729
30984; BRACEL - 440;    4,751
