BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   18,065;         ;         ;         
2840; AGUA AZUL - 138;   18,065;;;
30951; AGUA AZUL - 440                                                      ;   17,796;         ;         ;         
30951; AGUA AZUL - 440;   17,796;;;
 1206; AG.LINDAS230                                                         ;   15,325;         ;         ;         
1206; AG.LINDAS230;   15,325;;;
 1943; ANGRA AMPLA - 138                                                    ;   16,418;         ;         ;         
1943; ANGRA AMPLA - 138;   16,418;;;
  151; ACU II - 138                                                         ;   10,304;         ;         ;         
151; ACU II - 138;   10,304;;;
  251; ACU II - 230                                                         ;   10,304;         ;         ;         
251; ACU II - 230;   10,304;;;
11265; ACU III - 230                                                        ;   10,582;         ;         ;         
11265; ACU III - 230;   10,582;;;
11565; ACU III - 500                                                        ;   10,868;         ;         ;         
11565; ACU III - 500;   10,868;;;
  600; ABAIXADORA - 69                                                      ;   11,692;         ;         ;         
600; ABAIXADORA - 69;   11,692;;;
 7747; ABDON BATISTA - 230                                                  ;   17,285;         ;         ;         
7747; ABDON BATISTA - 230;   17,285;;;
 7744; ABDON BATISTA - 525                                                  ;   17,531;         ;         ;         
7744; ABDON BATISTA - 525;   17,531;;;
 9590; ABUNA - 13,8                                                         ;   23,146;         ;         ;         
9590; ABUNA - 13,8;   23,146;;;
 9636; ABUNA - 138                                                          ;   23,146;         ;         ;         
9636; ABUNA - 138;   23,146;;;
 9537; ABUNA - 230                                                          ;   23,146;         ;         ;         
9537; ABUNA - 230;   23,146;;;
  559; ACAILANDIA - 500                                                     ;   12,709;         ;         ;         
559; ACAILANDIA - 500;   12,709;;;
55412; ACARAU II – 230                                                      ;   11,798;         ;         ;         
55412; ACARAU II – 230;   11,798;;;
12907; ACARAT CE - 230                                                      ;   11,810;         ;         ;         
12907; ACARAT CE - 230;   11,810;;;
12902; ACARAT-CE500                                                         ;   11,829;         ;         ;         
12902; ACARAT-CE500;   11,829;;;
 4475; ACESITA - 230                                                        ;   16,643;         ;         ;         
4475; ACESITA - 230;   16,643;;;
 3155; EMPLAL - 138                                                         ;   16,312;         ;         ;         
3155; EMPLAL - 138;   16,312;;;
 3730; ADRIANOPOLIS - 138                                                   ;   16,600;         ;         ;         
3730; ADRIANOPOLIS - 138;   16,600;;;
 3729; ADRIANOPOLIS - 345                                                   ;   16,531;         ;         ;         
3729; ADRIANOPOLIS - 345;   16,531;;;
 3728; ADRIANOPOLIS - 500                                                   ;   16,458;         ;         ;         
3728; ADRIANOPOLIS - 500;   16,458;;;
 3031; AGUAI - 138                                                          ;   17,808;         ;         ;         
3031; AGUAI - 138;   17,808;;;
 1637; AIMORES - 230                                                        ;   14,956;         ;         ;         
1637; AIMORES - 230;   14,956;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,578;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,578;;;
18761; ALAGOINHA 2 - 69                                                     ;   13,612;         ;         ;         
18761; ALAGOINHA 2 - 69;   13,612;;;
11760; ALAGOAS 2 - 230                                                      ;   13,612;         ;         ;         
11760; ALAGOAS 2 - 230;   13,612;;;
 7591; ALEGRETE2 - 69                                                       ;   17,335;         ;         ;         
7591; ALEGRETE2 - 69;   17,335;;;
 9002; ALEGRETE2 - 230                                                      ;   17,335;         ;         ;         
9002; ALEGRETE2 - 230;   17,335;;;
56095; ALEX - 230                                                           ;   10,720;         ;         ;         
56095; ALEX - 230;   10,720;;;
  862; ALTAMIRA - 69                                                        ;   13,548;         ;         ;         
862; ALTAMIRA - 69;   13,548;;;
  362; ALTAMIRA - 230                                                       ;   13,548;         ;         ;         
362; ALTAMIRA - 230;   13,548;;;
 2219; AMPARO - 138                                                         ;   18,109;         ;         ;         
2219; AMPARO - 138;   18,109;;;
46950; ANASTACIO - 138                                                      ;   17,183;         ;         ;         
46950; ANASTACIO - 138;   17,183;;;
 7758; ANASTACIO - 230                                                      ;   17,242;         ;         ;         
7758; ANASTACIO - 230;   17,242;;;
 2770; ANDIRA LESTE - 230                                                   ;   18,074;         ;         ;         
2770; ANDIRA LESTE - 230;   18,074;;;
 6834; ANDIRA LESTE - 138                                                   ;   18,117;         ;         ;         
6834; ANDIRA LESTE - 138;   18,117;;;
 3132; ANDRADINA - 138                                                      ;   16,306;         ;         ;         
3132; ANDRADINA - 138;   16,306;;;
  540; ANGELIM - 500                                                        ;   12,106;         ;         ;         
540; ANGELIM - 500;   12,106;;;
  640; ANGELIM - 69                                                         ;   12,187;         ;         ;         
640; ANGELIM - 69;   12,187;;;
  240; ANGELIM - 230                                                        ;   12,186;         ;         ;         
240; ANGELIM - 230;   12,186;;;
 3746; ANGRA 1 - 138                                                        ;   16,333;         ;         ;         
3746; ANGRA 1 - 138;   16,333;;;
 3745; ANGRA - 500                                                          ;   16,184;         ;         ;         
3745; ANGRA - 500;   16,184;;;
 1185; ANHANGUERA - 69                                                      ;   16,464;         ;         ;         
1185; ANHANGUERA - 69;   16,464;;;
 1171; ANHANGUERA - 138                                                     ;   16,475;         ;         ;         
1171; ANHANGUERA - 138;   16,475;;;
 1172; ANHANGUERA GO - 230                                                  ;   16,464;         ;         ;         
1172; ANHANGUERA GO - 230;   16,464;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,283;         ;         ;         
2901; ANHANGUERA SP - 230;   20,283;;;
 2900; ANHANGUERA - 345                                                     ;   20,286;         ;         ;         
2900; ANHANGUERA - 345;   20,286;;;
 2958; APARECIDA - 88                                                       ;   17,469;         ;         ;         
2958; APARECIDA - 88;   17,469;;;
 2957; APARECIDA - 230                                                      ;   17,469;         ;         ;         
2957; APARECIDA - 230;   17,469;;;
 2758; ALTA PAULISTA - 400                                                  ;   16,593;         ;         ;         
2758; ALTA PAULISTA - 400;   16,593;;;
 6818; APUCARANA - 138                                                      ;   17,961;         ;         ;         
6818; APUCARANA - 138;   17,961;;;
 6601; APUCARANA - 230                                                      ;   18,023;         ;         ;         
6601; APUCARANA - 230;   18,023;;;
58771; LAGOA BARRO - 230                                                    ;   11,198;         ;         ;         
58771; LAGOA BARRO - 230;   11,198;;;
11619; AQUIRAZ II - 69                                                      ;   11,968;         ;         ;         
11619; AQUIRAZ II - 69;   11,968;;;
11219; AQUIRAZ - 230                                                        ;   11,968;         ;         ;         
11219; AQUIRAZ - 230;   11,968;;;
 2329; ARACATUBA - 138                                                      ;   16,860;         ;         ;         
2329; ARACATUBA - 138;   16,860;;;
 1647; ARACUAI 2 - 138                                                      ;   13,128;         ;         ;         
1647; ARACUAI 2 - 138;   13,128;;;
 1522; ARACUAI - 230                                                        ;   13,155;         ;         ;         
1522; ARACUAI - 230;   13,155;;;
17502; ARAPIRACA III - 69                                                   ;   15,125;         ;         ;         
17502; ARAPIRACA III - 69;   15,125;;;
11242; ARAPIRACA III - 230                                                  ;   15,125;         ;         ;         
11242; ARAPIRACA III - 230;   15,125;;;
 3033; ARARAS 2 - 138                                                       ;   17,518;         ;         ;         
3033; ARARAS 2 - 138;   17,518;;;
 5203; ARARAQUARA 2 - 440                                                   ;   16,594;         ;         ;         
5203; ARARAQUARA 2 - 440;   16,594;;;
 5202; ARARAQUARA 2 - 500                                                   ;   16,686;         ;         ;         
5202; ARARAQUARA 2 - 500;   16,686;;;
 2631; ARARAQUARA CTP - 138                                                 ;   16,953;         ;         ;         
2631; ARARAQUARA CTP - 138;   16,953;;;
 2630; ARARAQUARA - 440                                                     ;   16,927;         ;         ;         
2630; ARARAQUARA - 440;   16,927;;;
 3852; ARARAQUARA - 500                                                     ;   16,670;         ;         ;         
3852; ARARAQUARA - 500;   16,670;;;
 2673; ARARAS SP - 440                                                      ;   17,588;         ;         ;         
2673; ARARAS SP - 440;   17,588;;;
 3032; ARARAS 1 - 138                                                       ;   17,501;         ;         ;         
3032; ARARAS 1 - 138;   17,501;;;
38907; ARAXA 3 - 138                                                        ;   15,946;         ;         ;         
38907; ARAXA 3 - 138;   15,946;;;
38906; ARAXA 3 - 345                                                        ;   16,055;         ;         ;         
38906; ARAXA 3 - 345;   16,055;;;
12203; ARCOVERDE II - 230                                                   ;   12,072;         ;         ;         
12203; ARCOVERDE II - 230;   12,072;;;
47083; AREIA - 13,8                                                         ;   17,374;         ;         ;         
47083; AREIA - 13,8;   17,374;;;
 6826; AREIA - 138                                                          ;   17,386;         ;         ;         
6826; AREIA - 138;   17,386;;;
 7749; AREIA - 230                                                          ;   17,391;         ;         ;         
7749; AREIA - 230;   17,391;;;
 7748; AREIA - 525                                                          ;   17,213;         ;         ;         
7748; AREIA - 525;   17,213;;;
39813; ARINOS 2 - 500                                                       ;   12,946;         ;         ;         
39813; ARINOS 2 - 500;   12,946;;;
 9642; ARIQUEMES - 69                                                       ;   21,829;         ;         ;         
9642; ARIQUEMES - 69;   21,829;;;
 9520; ARIQUEMES - 230                                                      ;   21,829;         ;         ;         
9520; ARIQUEMES - 230;   21,829;;;
 3034; A.NOGUEIRA - 138                                                     ;   17,760;         ;         ;         
3034; A.NOGUEIRA - 138;   17,760;;;
 3082; ARUJA 2 - 138                                                        ;   18,172;         ;         ;         
3082; ARUJA 2 - 138;   18,172;;;
  302; MOXOTO - 230                                                         ;   11,396;         ;         ;         
302; MOXOTO - 230;   11,396;;;
