Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,190;  3,368;  4,779;  4,756;;;  4,756;
1206; AG.LINDAS230;;  7,722;  6,915;  7,319;  7,295;;;  7,295;
251; ACU II - 230;;  8,722; 16,255; 12,488; 12,465;;; 12,465;
11265; ACU III - 230;;  8,644; 15,755; 12,199; 12,176;;; 12,176;
11565; ACU III - 500;;  8,640; 15,160; 11,900; 11,877;;; 11,877;
7747; ABDON BATISTA - 230;;  9,197;  1,406;  5,301;  5,278;;;  5,278;
7744; ABDON BATISTA - 525;;  8,627;  1,478;  5,052;  5,029;;;  5,029;
9537; ABUNA - 230;;  1,028;  0,000;  0,514;  4,563;;;  4,563;
559; ACAILANDIA - 500;;  8,749; 11,221;  9,985;  9,962;;;  9,962;
55412; ACARAU II – 230;;  8,283; 13,585; 10,934; 10,911;;; 10,911;
12907; ACARAT CE - 230;;  8,290; 13,554; 10,922; 10,899;;; 10,899;
12902; ACARAT-CE500;;  8,318; 13,485; 10,901; 10,878;;; 10,878;
4475; ACESITA - 230;;  6,221;  5,700;  5,961;  5,937;;;  5,937;
3729; ADRIANOPOLIS - 345;;  7,057;  5,084;  6,071;  6,047;;;  6,047;
3728; ADRIANOPOLIS - 500;;  7,207;  5,090;  6,149;  6,126;;;  6,126;
1637; AIMORES - 230;;  8,336;  6,995;  7,666;  7,642;;;  7,642;
11760; ALAGOAS 2 - 230;;  6,208; 11,927;  9,067;  9,044;;;  9,044;
9002; ALEGRETE2 - 230;; 10,361;  0,199;  5,280;  5,257;;;  5,257;
56095; ALEX - 230;;  8,557; 15,562; 12,060; 12,036;;; 12,036;
362; ALTAMIRA - 230;;  8,066; 10,158;  9,112;  9,089;;;  9,089;
7758; ANASTACIO - 230;;  7,499;  3,159;  5,329;  5,306;;;  5,306;
2770; ANDIRA LESTE - 230;;  6,933;  2,071;  4,502;  4,563;;;  4,563;
540; ANGELIM - 500;;  7,448; 13,804; 10,626; 10,603;;; 10,603;
240; ANGELIM - 230;;  7,268; 13,820; 10,544; 10,521;;; 10,521;
3745; ANGRA - 500;;  7,695;  5,178;  6,436;  6,413;;;  6,413;
1172; ANHANGUERA GO - 230;;  7,407;  4,828;  6,118;  6,094;;;  6,094;
2901; ANHANGUERA SP - 230;;  3,509;  0,974;  2,241;  4,563;;;  4,563;
2900; ANHANGUERA - 345;;  3,512;  0,929;  2,220;  4,563;;;  4,563;
2957; APARECIDA - 230;;  6,454;  3,768;  5,111;  5,088;;;  5,088;
2758; ALTA PAULISTA - 400;;  8,329;  3,682;  6,006;  5,983;;;  5,983;
6601; APUCARANA - 230;;  7,326;  1,791;  4,559;  4,563;;;  4,563;
58771; LAGOA BARRO - 230;;  9,413; 13,591; 11,502; 11,479;;; 11,479;
11219; AQUIRAZ - 230;;  7,346; 14,204; 10,775; 10,752;;; 10,752;
1522; ARACUAI - 230;; 10,145;  8,798;  9,472;  9,448;;;  9,448;
11242; ARAPIRACA III - 230;;  4,172; 10,924;  7,548;  7,524;;;  7,524;
5203; ARARAQUARA 2 - 440;;  7,692;  4,319;  6,005;  5,982;;;  5,982;
5202; ARARAQUARA 2 - 500;;  7,617;  4,205;  5,911;  5,888;;;  5,888;
2630; ARARAQUARA - 440;;  7,345;  3,988;  5,666;  5,643;;;  5,643;
3852; ARARAQUARA - 500;;  7,648;  4,203;  5,926;  5,902;;;  5,902;
2673; ARARAS SP - 440;;  6,545;  3,436;  4,991;  4,967;;;  4,967;
38906; ARAXA 3 - 345;;  7,793;  5,278;  6,536;  6,513;;;  6,513;
12203; ARCOVERDE II - 230;;  7,398; 13,922; 10,660; 10,637;;; 10,637;
7749; AREIA - 230;;  8,809;  1,590;  5,200;  5,176;;;  5,176;
7748; AREIA - 525;;  8,845;  1,912;  5,378;  5,355;;;  5,355;
