BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,242
8344; ABAIARA - 230;   10,115
9739; ABDON BATISTA - 230;    4,419
9738; ABDON BATISTA - 525;    4,419
6930; ABUNA - 230;    7,706
6700; ACAILANDIA - 500;    9,883
5923; ACARAT CE - 230;    9,944
5318; ACARAT-CE500;    9,918
5486; ACARAU II – 230;    9,955
1596; ACESITA - 230;    4,423
5461; ACU II - 230;   10,979
5351; ACU III - 230;   11,051
5350; ACU III - 500;   10,901
140; ADRIANOPOLIS - 345;    4,453
106; ADRIANOPOLIS - 500;    4,571
2987; AG.LINDAS230;    6,966
453; AGUA AZUL - 440;    4,419
4043; AIMORES - 230;    6,557
6000; ALAGOAS 2 - 230;    6,607
1186; ALEGRETE2 - 230;    4,419
8163; ALEX - 230;   11,066
6521; ALTAMIRA - 230;    7,651
668; ALTA PAULISTA - 400;    5,508
1078; ANASTACIO - 230;    4,419
44594; ANEMUS - 230;   11,161
5100; ANGELIM - 500;    9,309
5101; ANGELIM - 230;    9,015
105; ANGRA - 500;    4,843
760; ANHANGUERA GO - 230;    5,717
431; ANHANGUERA SP - 230;    4,419
439; ANHANGUERA - 345;    4,419
458; APARECIDA - 230;    4,419
878; APUCARANA - 230;    4,419
5381; AQUIRAZ - 230;    9,469
4070; ARACUAI - 230;   11,363
6081; ARAPIRACA III - 230;    4,909
559; ARARAQUARA - 440;    4,572
101; ARARAQUARA - 500;    5,285
99; ARARAQUARA - 525;    5,284
589; ARARAS SP - 440;    4,419
7058; ARARAQUARA 2 - 440;    5,003
7057; ARARAQUARA 2 - 500;    5,264
5092; ARCOVERDE II - 230;    9,134
934; AREIA - 230;    4,419
933; AREIA - 525;    4,419
4349; ARINOS 2 - 500;   11,011
6880; ARIQUEMES - 230;    7,301
45680; ASOLO 2 - 230;    8,020
552; ASSIS - 440;    4,833
556; ASSIS - 525;    4,614
551; ASSIS 2 - 230;    4,419
697; ATIBAIA 2 - 345;    4,419
1330; ATLANTIDA 2 - 230;    4,419
629; AVARE - 230;    4,419
3150; AVARE NOVA - 230;    4,419
536; AGUA VERMELHA - 440;    6,233
535; AGUA VERMELHA - 500;    6,573
451; AVILLAR - 230;    4,419
9892; ANDIRA LESTE - 230;    4,419
229; BARRO ALTO - 230;    7,941
4040; BARRO BRANCO - 345;    5,486
9444; B. DOS COQUEIROS - 230;    8,392
5511; B.ESPERANCA - 230;    8,943
5510; B.ESPERANCA - 500;    9,920
227; BRASILIA GERAL - 230;    6,416
574; BOM JARDIM - 440;    4,419
7181; B.JESUS II - 230;    9,634
3699; BRASILIA LESTE - 500;    8,341
5401; BOM NOME - 230;    9,949
4502; BARRA PEIXE - 230;    7,143
228; BRAS. SUL - 230;    6,868
219; BRAS. SUL -345;    7,535
5684; BACAB - MA - 500;    9,592
1188; BAGE 2 - 230;    4,419
478; BAGUACU - 440;    5,217
1495; BAGUARI - 230;    6,622
9354; BAIXO IGUACU PR - 230;    4,419
472; B. SANTISTA - 230;    4,419
471; B. SANTISTA - 345;    4,419
8501; BALBINA - 230;    7,706
5391; BALSAS - 230;   10,013
5421; BANABUIU - 230;   10,389
226; BANDEIRANTE GO - 230;    6,112
218; BANDEIRANTE GO - 345;    7,104
492; BANDEIRANTE SP - 345;    4,419
308; BARBACENA - 345;    4,618
6315; BARREIRAS II - 230;   10,348
6361; BARREIRAS - 230;   10,037
6360; BARREIRAS - 500;   10,673
313; BARREIRO - 345;    5,874
112; BATEIAS - 500;    4,419
113; BATEIAS 2 - 500;    4,419
814; BATEIAS - 230;    4,419
895; BATEIAS - 525;    4,419
114; BATEIAS 3 - 500;    4,419
561; BAURU SP - 440;    4,419
9004; BARAO DE COCAIS 3 - 230;    5,132
4050; B.DESPACHO - 500;    6,649
4337; BETIM 6 -345;    6,292
9626; B. FLUMINENSE - 500;    4,624
936; BARRA GRANDE - 230;    4,419
947; BAIXO IGUACU SC - 230;    4,419
946; BIGUACU--525;    4,419
6358; B.J.LAPA II - 230;   10,942
6349; BJLAPAII - 500;   10,915
6351; B.J.LAPA - 230;   10,937
939; BLUMENAU - 230;    4,419
938; BLUMENAU - 525;    4,419
5152; BONGI - 230;    7,406
625; BOTUCATU - 230;    4,419
7734; BRACEL - 440;    4,419
4868; BRASNORTE - 230;    8,124
9051; BRAUNA - 230;    5,954
6334; BROT.MACAUBAS - 230;   12,021
5941; BRUMADO II - 230;    5,486
6075; BURITIRAMA - 500;   10,920
5701; CIC.DANTAS - 230;    8,162
756; CACHOEIRA DOURADA - 230;    8,197
4512; C. MAGALHAES - 230;    7,416
5525; COELHO NETO - 230;    7,107
5262; CURRAIS NOVOS II - 230;   11,161
104; C. PAULISTA - 500;    4,582
7054; C.PORTO VELHO - 230;    8,458
7055; C.PORTO VELHO - 500;   13,501
8551; CRISTIANO ROCHA - 230;    7,403
590; CABREUVA - 230;    4,419
584; CABREUVA - 440;    4,419
9458; CACU - 230;    8,392
5098; CAETES II - 230;    9,183
41414; CAIACA-SC - 230;    4,419
10218; CRUZ ALTA 2 - 230;    4,419
5750; CAMACARI - 500;    8,029
5756; CAMACARI IV - 230;    7,196
5752; CAMACARI IV - 500;    7,979
9569; CAMAQUA 3 - 230;    4,419
1194; CAMAQUA - 230;    4,419
123; CAMPINAS - 345;    4,419
103; CAMPINAS - 500;    4,419
117; CAMPOS 2 - 500;    5,590
1198; CAMPO BOM - 230;    4,419
147; CAMPOS - 345;    5,875
4684; CANARANA CMT - 230;    5,131
9590; CANDELARIA 2 - 230;    4,419
9952; CANDIOTA 2 - 230;    4,419
9951; CANDIOTA 2 - 525;    4,419
9785; CANDIOTA - 230;    4,419
9786; CANDIOTA - 525;    4,419
1190; CANOA 1 - 230;    4,419
1248; CANOAS 2 - 230;    4,419
943; CANOINHA - 230;    4,419
1037; CAPIVARI-230;    4,419
1036; CAPIVARI-525;    4,419
549; CAPIVARA - 440;    5,186
3714; CARAJAS GO - 230;    5,305
6407; CARAJAS PA - 230;    8,967
477; CARBOCLORO - 230;    4,419
839; CASCAVEL - 230;    4,419
9538; CASCAVEL NORT - 230;    4,419
2458; CASCAVEL OESTE - 230;    4,419
896; CASCAVOE - 525;    4,419
10355; CASSILANDIA - 230;    7,147
2353; CAMPO ASSOBIO - 230;    4,419
6489; CASTANHA - 230;    7,049
9278; CASTERTECH - 230;    4,419
10138; CASTRO NORTE - 230;    4,419
5782; CATU - 230;    6,599
5651; CAIUPE - 230;    9,394
1200; CAXIAS SUL 2 - 230;    4,419
1192; CAXIAS 5 -230;    4,419
1386; CAXIAS 6 - 230;    4,419
965; CAXIAS - 230;    4,419
964; CAXIAS RS - 525;    4,419
10216; CAXIAS NORTE - 230;    4,419
10215; CAXIAS NORTE - 525;    4,419
607; CBA - 230;    4,419
608; CBA TERM - 440;    4,419
603; CBA 2 - 440;    4,419
9543; CBA LESTE - 230;    4,419
9542; CBA LESTE - 525;    4,419
9697; CURITIBA NORT - 230;    4,419
623; CAPAO BONITO - 230;    4,419
3964; CANA BRAVA - 230;    9,605
816; C.COMPRIDO - 230;    4,419
6132; CEAMIRIM - 230;   10,475
6130; CEA.MIRIM II - 500;   10,632
427; CENTRO - 230;    4,419
9731; CERRO CHATO - 230;    4,419
2035; CERQUILHO 3 - 230;    4,419
970; GARABI 2 - 500;    4,419
971; GARABI 1 - 500;    4,419
6107; CAMPO FORMOSO - 230;   10,761
1043; RIVERA - 230;    4,419
5222; CAMPINA GRANDE II - 230;    9,467
1025; CAMPO GRANDE II - 230;    5,284
5202; CAMPINA GRANDE III - 230;    9,578
5200; CAMPINA GRANDE III - 500;   10,108
5303; CHAPADA 1 PI - 230;   11,252
6631; CHAPADA 2 PI - 230;   11,233
5305; CHAPADA 3 PI - 230;   11,399
1089; CHAPADAO - 230;    7,147
5685; CHAPADINHA II - 230;    7,470
10276; CHARQUEADAS 3 - 230;    4,419
951; CHARQUEADAS (SE) - 230;    4,419
615; CHAVANTES - 230;    4,419
7784; HELIO VALGAS MG - 345;   10,054
815; C.IND. CURITIBA - 230;    4,419
1258; C.INDUSTRIAL - 230;    4,419
4495; CLAUDIA - 500;    8,508
5751; CAMACARI II - 230;    7,195
954; C.MOURAO - 230;    4,419
956; CAMPOS NOVOS - 230;    4,419
955; CAMPOS NOVOS - 525;    4,419
789; CODEMI GO- 230;    9,053
4465; COLIDER - 500;    8,508
7300; COLINAS - 500;   10,072
9607; COMPERJ - 345;    4,902
5621; SE COREMAS II - 230;    9,919
1018; CORUMBA 2 - 30;    4,419
220; CORUMBA - 345;    7,298
5802; COTEGIPE - 230;    6,781
5216; COTEMINAS - 230;    9,261
4532; COXIPO - 230;    7,151
27; C. PAULISTA 2 - 500;    4,582
319; CONSE. PENA - 230;    6,441
8319; CRATO 2 - 230;   10,139
9104; U.CUBATAO - 230;    4,419
9105; CUBATAO - 230;    4,419
4515; CUIABA - 230;    7,225
4514; CUIABA - 500;    7,202
960; CURITIBA - 230;    4,419
959; CURITIBA - 525;    4,419
6641; CURRAL NOVO PIAUI - 230;   11,372
6640; CURRAL NOVO PIAUI - 500;   10,995
44812; VEREDA - 345;    9,932
5471; DELM. GOUVEIA - 230;    8,480
