NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
7739;EEAB--GO138; ;;7,802;;6,371;;6,147;;;;2
98251;U.LASA-ES13;U;;;;7,320;;7,161;;;;2
1168;14JUL-UHE002; ;;4,419;;9,377;;9,686;;;;1
1153;14JULH-RS230; ;;4,419;;9,377;;9,686;;;;1
2338;2CORRE-SP138; ;;4,419;13,9;8,457;14,0;8,529;;1415,68;1432,82;2
1184;2IRMAO-RS138; ;;4,419;;9,858;;10,256;;;;1
2627;2VENDA-ES069; ;;5,981;;7,250;;7,087;;;;2
7632;3.LAG2-SP138; ;;5,895;;7,291;;7,186;;;;2
3901;3.LAGO-SP138; ;;5,883;;7,297;;7,193;;;;2
1290;3COROA-RS138; ;;4,419;;9,788;;10,167;;;;1
3900;3IRMA--SP138; ;;6,053;;7,215;;7,094;;;;2
543;3IRMAO-SP138;U;;;6,9;7,215;10,0;7,094;;597,38;851,26;1
542;3IRMAO-SP440;B;803,3;6,242;;7,124;;6,986;60170,53;;;1
520;3IRMAOUHE005; ;;6,242;;7,124;;6,986;;;;2
17632;3L2-1Y-SP138; ;;5,895;;7,291;;7,186;;;;2
27632;3L2-2Y-SP138; ;;5,895;;7,291;;7,186;;;;2
1903;3LA-1Y-SP138; ;;5,883;47,0;7,297;53,0;7,193;;4115,48;4574,71;2
1940;3LA-2Y-SP138; ;;5,907;;7,285;;7,178;;;;2
2253;3M-----SP069; ;;4,419;;8,364;;8,425;;;;2
4970;3MAIO--MT138; ;;7,988;;6,281;;6,217;;;;2
4991;3MAIO-PCH013;U;;;;6,281;;6,217;;;;2
2246;3PONTA-SP138; ;;4,419;;8,348;;8,396;;;;2
4609;7QUED-PCH013;U;;;;6,560;;6,500;;;;2
96495;A. BELAS-138; ;;11,138;;4,760;;4,238;;;;3
96891;A.BONITA-GER;U;;;;8,299;;8,369;;;;2
1696;A.BRAN-RJ138; ;;4,539;;7,946;;7,905;;;;2
4973;A.FLOR-MT138; ;;8,160;;6,198;;6,110;;;;2
1638;A.FRAN-RJ138; ;;4,502;;7,963;;7,921;;;;2
