BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    9,050;    9,158;;
543; TRES IRMAOS - 138;    7,815;    7,736;;
542; TRES IRMAOS - 440;    7,732;    7,639;;
1903; TRES LAGOAS 1 - 138;    7,889;    7,825;;
8344; ABAIARA - 230;    4,337;    4,009;;
6203; ABAIXADORA - 69;    4,362;    4,009;;
9739; ABDON BATISTA - 230;    9,871;   10,214;;
9738; ABDON BATISTA - 525;    9,952;   10,312;;
6931; ABUNA - 138;    7,675;    7,346;;
6930; ABUNA - 230;    7,675;    7,346;;
6700; ACAILANDIA - 500;    4,674;    4,151;;
5923; ACARAT CE - 230;    4,284;    4,009;;
5318; ACARAT-CE500;    4,307;    4,009;;
5486; ACARAU II – 230;    4,275;    4,009;;
1596; ACESITA - 230;    8,162;    8,113;;
5463; ACU II - 69;    4,009;    4,009;;
5468; ACU II - 138;    4,009;    4,009;;
5461; ACU II - 230;    4,009;    4,009;;
5351; ACU III - 230;    4,009;    4,009;;
5350; ACU III - 500;    4,009;    4,009;;
173; ADRIANOPOLIS - 138;    8,392;    8,342;;
140; ADRIANOPOLIS - 345;    8,411;    8,364;;
106; ADRIANOPOLIS - 500;    8,371;    8,337;;
2974; AGUAS LINDAS - 69;    6,754;    6,478;;
2987; AG.LINDAS230;    6,754;    6,478;;
5106; ANGELIM - 13,8;    4,828;    4,340;;
3801; AGUAI - 138;    8,796;    8,854;;
452; AGUA AZUL - 138;    9,169;    9,268;;
453; AGUA AZUL - 440;    9,142;    9,240;;
4043; AIMORES - 230;    7,212;    6,991;;
3934; AJINOMOTO BIO - 138;   10,039;   10,300;;
5796; ALAGOINHA 2 - 69;    6,173;    6,061;;
6000; ALAGOAS 2 - 230;    6,173;    6,061;;
1185; ALEGRETE2 - 69;   10,195;   10,730;;
1186; ALEGRETE2 - 230;   10,193;   10,735;;
8163; ALEX - 230;    4,009;    4,009;;
6523; ALTAMIRA - 69;    5,839;    5,440;;
6521; ALTAMIRA - 230;    5,839;    5,440;;
668; ALTA PAULISTA - 400;    8,093;    8,063;;
2336; AMPARO - 138;    8,996;    9,079;;
1079; ANASTACIO - 138;    8,159;    8,245;;
1078; ANASTACIO - 230;    8,151;    8,234;;
3840; AVANTI N.CORT - 138;    7,877;    7,812;;
3882; ANDRADINA - 138;    7,887;    7,819;;
44594; ANEMUS - 230;    4,009;    4,009;;
5100; ANGELIM - 500;    4,715;    4,228;;
5103; ANGELIM - 69;    4,828;    4,340;;
5101; ANGELIM - 230;    4,827;    4,339;;
185; ANGRA 1 - 138;    8,337;    8,297;;
105; ANGRA - 500;    8,273;    8,228;;
1773; ANGRA AMPLA - 138;    8,369;    8,332;;
762; ANHANGUERA - 69;    7,638;    7,568;;
761; ANHANGUERA - 138;    7,626;    7,554;;
760; ANHANGUERA GO - 230;    7,638;    7,568;;
444; ANHANGUERA - 88;    9,469;    9,593;;
431; ANHANGUERA SP - 230;    9,847;   10,061;;
439; ANHANGUERA - 345;    9,469;    9,593;;
459; APARECIDA - 88;    8,800;    8,836;;
458; APARECIDA - 230;    8,800;    8,836;;
879; APUCARANA - 138;    9,614;    9,880;;
878; APUCARANA - 230;    9,612;    9,878;;
5383; AQUIRAZ II - 69;    4,415;    4,009;;
