BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   17,685;         ;         ;         
2840; AGUA AZUL - 138;   17,685;;;
30951; AGUA AZUL - 440                                                      ;   17,411;         ;         ;         
30951; AGUA AZUL - 440;   17,411;;;
 1206; AG.LINDAS230                                                         ;   14,871;         ;         ;         
1206; AG.LINDAS230;   14,871;;;
 1943; ANGRA AMPLA - 138                                                    ;   15,994;         ;         ;         
1943; ANGRA AMPLA - 138;   15,994;;;
  151; ACU II - 138                                                         ;    9,701;         ;         ;         
151; ACU II - 138;    9,701;;;
  251; ACU II - 230                                                         ;    9,701;         ;         ;         
251; ACU II - 230;    9,701;;;
11265; ACU III - 230                                                        ;    9,990;         ;         ;         
11265; ACU III - 230;    9,990;;;
11565; ACU III - 500                                                        ;   10,290;         ;         ;         
11565; ACU III - 500;   10,290;;;
  600; ABAIXADORA - 69                                                      ;   11,148;         ;         ;         
600; ABAIXADORA - 69;   11,148;;;
 7747; ABDON BATISTA - 230                                                  ;   16,888;         ;         ;         
7747; ABDON BATISTA - 230;   16,888;;;
 7744; ABDON BATISTA - 525                                                  ;   17,137;         ;         ;         
7744; ABDON BATISTA - 525;   17,137;;;
 9590; ABUNA - 13,8                                                         ;   23,101;         ;         ;         
9590; ABUNA - 13,8;   23,101;;;
 9636; ABUNA - 138                                                          ;   23,101;         ;         ;         
9636; ABUNA - 138;   23,101;;;
 9537; ABUNA - 230                                                          ;   23,101;         ;         ;         
9537; ABUNA - 230;   23,101;;;
  559; ACAILANDIA - 500                                                     ;   12,205;         ;         ;         
559; ACAILANDIA - 500;   12,205;;;
55412; ACARAU II – 230                                                      ;   11,256;         ;         ;         
55412; ACARAU II – 230;   11,256;;;
12907; ACARAT CE - 230                                                      ;   11,268;         ;         ;         
12907; ACARAT CE - 230;   11,268;;;
12902; ACARAT-CE500                                                         ;   11,288;         ;         ;         
12902; ACARAT-CE500;   11,288;;;
 4475; ACESITA - 230                                                        ;   16,229;         ;         ;         
4475; ACESITA - 230;   16,229;;;
 3155; EMPLAL - 138                                                         ;   15,895;         ;         ;         
3155; EMPLAL - 138;   15,895;;;
 3730; ADRIANOPOLIS - 138                                                   ;   16,189;         ;         ;         
3730; ADRIANOPOLIS - 138;   16,189;;;
 3729; ADRIANOPOLIS - 345                                                   ;   16,119;         ;         ;         
3729; ADRIANOPOLIS - 345;   16,119;;;
 3728; ADRIANOPOLIS - 500                                                   ;   16,041;         ;         ;         
3728; ADRIANOPOLIS - 500;   16,041;;;
 3031; AGUAI - 138                                                          ;   17,427;         ;         ;         
3031; AGUAI - 138;   17,427;;;
 1637; AIMORES - 230                                                        ;   14,524;         ;         ;         
1637; AIMORES - 230;   14,524;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,167;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,167;;;
18761; ALAGOINHA 2 - 69                                                     ;   13,122;         ;         ;         
18761; ALAGOINHA 2 - 69;   13,122;;;
11760; ALAGOAS 2 - 230                                                      ;   13,122;         ;         ;         
11760; ALAGOAS 2 - 230;   13,122;;;
 7591; ALEGRETE2 - 69                                                       ;   16,910;         ;         ;         
7591; ALEGRETE2 - 69;   16,910;;;
 9002; ALEGRETE2 - 230                                                      ;   16,910;         ;         ;         
9002; ALEGRETE2 - 230;   16,910;;;
56095; ALEX - 230                                                           ;   10,130;         ;         ;         
56095; ALEX - 230;   10,130;;;
  862; ALTAMIRA - 69                                                        ;   13,078;         ;         ;         
862; ALTAMIRA - 69;   13,078;;;
  362; ALTAMIRA - 230                                                       ;   13,078;         ;         ;         
362; ALTAMIRA - 230;   13,078;;;
 2219; AMPARO - 138                                                         ;   17,732;         ;         ;         
2219; AMPARO - 138;   17,732;;;
46950; ANASTACIO - 138                                                      ;   16,799;         ;         ;         
46950; ANASTACIO - 138;   16,799;;;
 7758; ANASTACIO - 230                                                      ;   16,860;         ;         ;         
7758; ANASTACIO - 230;   16,860;;;
 2770; ANDIRA LESTE - 230                                                   ;   17,688;         ;         ;         
2770; ANDIRA LESTE - 230;   17,688;;;
 6834; ANDIRA LESTE - 138                                                   ;   17,731;         ;         ;         
6834; ANDIRA LESTE - 138;   17,731;;;
 3132; ANDRADINA - 138                                                      ;   15,889;         ;         ;         
3132; ANDRADINA - 138;   15,889;;;
  540; ANGELIM - 500                                                        ;   11,563;         ;         ;         
540; ANGELIM - 500;   11,563;;;
  640; ANGELIM - 69                                                         ;   11,647;         ;         ;         
640; ANGELIM - 69;   11,647;;;
  240; ANGELIM - 230                                                        ;   11,645;         ;         ;         
240; ANGELIM - 230;   11,645;;;
 3746; ANGRA 1 - 138                                                        ;   15,906;         ;         ;         
3746; ANGRA 1 - 138;   15,906;;;
 3745; ANGRA - 500                                                          ;   15,753;         ;         ;         
3745; ANGRA - 500;   15,753;;;
 1185; ANHANGUERA - 69                                                      ;   16,072;         ;         ;         
1185; ANHANGUERA - 69;   16,072;;;
 1171; ANHANGUERA - 138                                                     ;   16,083;         ;         ;         
1171; ANHANGUERA - 138;   16,083;;;
 1172; ANHANGUERA GO - 230                                                  ;   16,072;         ;         ;         
1172; ANHANGUERA GO - 230;   16,072;;;
 2901; ANHANGUERA SP - 230                                                  ;   19,948;         ;         ;         
2901; ANHANGUERA SP - 230;   19,948;;;
 2900; ANHANGUERA - 345                                                     ;   19,969;         ;         ;         
2900; ANHANGUERA - 345;   19,969;;;
 2958; APARECIDA - 88                                                       ;   17,078;         ;         ;         
2958; APARECIDA - 88;   17,078;;;
 2957; APARECIDA - 230                                                      ;   17,078;         ;         ;         
2957; APARECIDA - 230;   17,078;;;
 2758; ALTA PAULISTA - 400                                                  ;   16,184;         ;         ;         
2758; ALTA PAULISTA - 400;   16,184;;;
 6818; APUCARANA - 138                                                      ;   17,567;         ;         ;         
6818; APUCARANA - 138;   17,567;;;
 6601; APUCARANA - 230                                                      ;   17,631;         ;         ;         
6601; APUCARANA - 230;   17,631;;;
58771; LAGOA BARRO - 230                                                    ;   10,688;         ;         ;         
58771; LAGOA BARRO - 230;   10,688;;;
11619; AQUIRAZ II - 69                                                      ;   11,415;         ;         ;         
11619; AQUIRAZ II - 69;   11,415;;;
11219; AQUIRAZ - 230                                                        ;   11,415;         ;         ;         
