NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;4,879;;17,287;;;;;;2
30256;#1AIRL-SP138; ;;4,563;;17,757;;;;;;2
30222;#1ASCH-SP138; ;;4,820;;17,347;;;;;;2
30244;#1ASCP-SP138; ;;4,563;;17,757;;;;;;2
30219;#1ASCS-SP138; ;;4,855;;17,311;;;;;;2
30143;#1BRAS-SP138; ;;4,563;;17,757;;;;;;2
2530;#1COSM-SP138; ;;4,879;;17,287;;;;;;2
30208;#1CRIS-SP138; ;;4,680;;17,486;;;;;;2
30214;#1ITAP-SP138; ;;4,680;;17,486;;;;;;2
30278;#1LIND-SP138; ;;4,680;;17,486;;;;;;2
30260;#1ORIO-SP138; ;;4,563;;17,757;;;;;;2
30265;#1PAU3-SP138; ;;4,563;;17,757;;;;;;2
30286;#1PIR2-SP138; ;;4,929;;17,238;;;;;;2
30269;#1PLAS-SP138; ;;4,563;;17,757;;;;;;2
30276;#1POLY-SP138; ;;4,879;;17,287;;;;;;2
30216;#1PRAD-SP138; ;;4,680;;17,486;;;;;;2
2391;#1REPL-SP138; ;;4,563;;17,757;;;;;;2
30254;#1RHOD-SP138; ;;4,563;;17,757;;;;;;2
30274;#1SANT-SP138; ;;4,879;;17,287;;;;;;2
30247;#1SYNG-SP138; ;;4,563;;17,757;;;;;;2
29983;#1USES-SP138; ;;4,879;;17,287;;;;;;2
30262;#1WMPA-SP138; ;;4,563;;17,757;;;;;;2
30252;#2ABL--SP138; ;;4,879;;17,287;;;;;;2
30257;#2AIRL-SP138; ;;4,563;;17,757;;;;;;2
30223;#2ASCH-SP138; ;;5,020;;17,147;;;;;;2
30245;#2ASCP-SP138; ;;4,563;;17,757;;;;;;2
30220;#2ASCS-SP138; ;;4,857;;17,310;;;;;;2
30142;#2BRAS-SP138; ;;4,563;;17,757;;;;;;2
30273;#2COSM-SP138; ;;4,879;;17,287;;;;;;2
30209;#2CRIS-SP138; ;;4,680;;17,486;;;;;;2
30271;#2INTP-SP138; ;;4,879;;17,287;;;;;;2
30215;#2ITAP-SP138; ;;4,680;;17,486;;;;;;2
30279;#2LIND-SP138; ;;4,680;;17,486;;;;;;2
30261;#2ORIO-SP138; ;;4,563;;17,757;;;;;;2
30266;#2PAU3-SP138; ;;4,563;;17,757;;;;;;2
30287;#2PIR2-SP138; ;;4,924;;17,242;;;;;;2
30270;#2PLAS-SP138; ;;4,879;;17,287;;;;;;2
30277;#2POLY-SP138; ;;4,879;;17,287;;;;;;2
30217;#2PRAD-SP138; ;;4,680;;17,486;;;;;;2
30255;#2RHOD-SP138; ;;4,563;;17,757;;;;;;2
30275;#2SABT-SP138; ;;4,879;;17,287;;;;;;2
30248;#2SYNG-SP138; ;;4,879;;17,287;;;;;;2
30272;#2USES-SP138; ;;4,879;;17,287;;;;;;2
30263;#2WMPA-SP138; ;;4,563;;17,757;;;;;;2
30412;#D1AGU-SP138; ;;5,015;;17,152;;;;;;2
28516;#GALVA-RJ138; ;;6,030;;16,137;;;;;;2
28428;#ROSTR-RJ069; ;;6,460;;15,706;;;;;;2
7312;14JULH-RS230; ;;4,563;;17,787;;;;;;1
7313;14JULHUHE013;B;98,0;4,563;;17,787;;;5365,95;;;1
35025;2.VEND-ES069; ;;7,229;;14,938;;;;;;2
2084;2MARIA-SP034; ;;4,688;1,2;17,478;;;;257,14;;2
6931;2VIZIN-PR138; ;;5,528;75,5;16,638;;;;15074,13;;1
33130;3LAG2--SP138; ;;6,271;17,3;15,895;;;;3305,62;;2
1412;3MAIO--MT138; ;;6,163;;16,003;;;;;;2
19582;3MAIO-PCH013;U;;;;16,003;;;;;;2
2294;3PONTE-SP138; ;;4,680;15,8;17,486;;;;3315,41;;2
7152;4BARRA-PR069; ;;4,563;51,8;18,215;;;;11322,31;;1
30068;79_331-SP138; ;;5,020;;17,147;;;;;;2
30069;79_332-SP138; ;;5,020;;17,147;;;;;;2
25808;7QUEDA-MT138; ;;5,297;;16,869;;;;;;2
25809;7QUEDAPCH013;U;;;;16,869;;;;;;2
1334;A-BOA1-MT138; ;;5,642;30,2;16,524;;;;5996,41;;2
22051;A.AZUL-SP088; ;;4,756;63,0;17,411;;;;13158,25;;2
2840;A.AZUL-SP138; ;;4,563;;17,685;;;;;;2
30951;A.AZUL-SP440; ;;4,756;;17,411;;;;;;2
56772;A.BEZ1EOL034;B;28,8;12,580;;9,586;;;4352,26;;;3
56773;A.BEZ2EOL034;B;28,8;12,580;;9,586;;;4352,26;;;3
56774;A.BEZ3EOL034;B;28,8;12,580;;9,586;;;4352,26;;;3
56775;A.BEZ4EOL034;B;16,5;12,580;;9,586;;;2487,87;;;3
56258;A.BRAN-RN230; ;;12,653;;9,513;;;;;;3
56255;A.BRANEOL034;B;27,3;12,653;;9,513;;;4140,67;;;3
59514;A.CAE1EOL034;B;27,0;9,827;;12,339;;;3182,89;;;3
59515;A.CAE2EOL034;B;36,0;9,827;;12,339;;;4244,25;;;3
59516;A.CAE3EOL034;B;36,0;9,827;;12,339;;;4244,25;;;3
59517;A.CAE4EOL034;B;22,5;9,827;;12,339;;;2653,39;;;3
35134;A.CLAU-ES069; ;;7,130;13,4;15,036;;;;2416,05;;2
26207;A.GU2-PCH006;D;;;;17,076;;;;;;2
1242;A.LIND-GO069; ;;7,295;35,8;14,871;;;;6388,63;;2
1206;A.LIND-GO230; ;;7,295;;14,871;;;;;;2
2522;A.MOG--SP138;U;;;;16,097;;;;;;2
29900;A.MOG-UTE013;U;;;5,3;16,097;;;;1023,80;;2
1943;A.REIS-RJ138; ;;6,173;41,9;15,994;;;;8043,50;;2
59518;A.TAN1EOL034;B;27,0;9,827;;12,339;;;3182,89;;;3
59519;A.TAN2EOL034;B;18,0;9,827;;12,339;;;2122,72;;;3
59520;A.TAN3EOL034;B;13,5;9,827;;12,339;;;1592,04;;;3
60037;A.VERMUFV034; ;;6,342;;15,824;;;;;;2
151;A?U2---RN138; ;;12,465;12,1;9,701;;;;1406,28;;3
251;A?U2---RN230; ;;12,465;;9,701;;;;;;3
11265;A?U3---RN230;B;356,7;12,176;;9,990;;;52112,74;;;3
11565;A?U3---RN500;B;704,8;11,877;;10,290;;;100452,90;;;3
6783;AALEG2-PR138; ;;4,930;;17,236;;;;;;1
6791;AALEG2UTE006;U;;;1,0;17,236;;;;206,84;;1
6811;AALEGR-PR138;U;;;2,5;17,236;;;;517,09;;1
43864;AALEGR-SC138; ;;5,335;;16,831;;;;;;1
50333;AALEGRPCH013;U;;;;16,831;;;;;;1
45065;AALEGRUTE013;U;;;4,5;17,236;;;;930,77;;1
7243;AALFLO-PR138; ;;4,563;;17,691;;;;;;1
7244;AALFLOUTE013;U;;;1,5;17,691;;;;318,44;;1
1994;ABADIA-RJ069; ;;6,804;;15,363;;;;;;2
58845;ABAIAR-CE230; ;;11,387;;10,779;;;;;;3
600;ABAIXA-BA069; ;;11,018;31,3;11,148;;;;4189,91;;3
590;ABAIXB-SE069; ;;11,018;;11,148;;;;;;3
30152;ABBRAS-SP138; ;;4,682;7,4;17,484;;;;1542,53;;2
50244;ABDON2-RS525; ;;5,044;;17,122;;;;;;1
7747;ABDONB-SC230; ;;5,278;;16,888;;;;;;1
7744;ABDONB-SC525; ;;5,029;15,8;17,137;;;;3238,93;;1
59359;ABIL I-BA230; ;;9,874;;12,293;;;;;;3
59354;ABIL--EOL034;B;23,1;9,874;;12,293;;;2738,16;;;3
59501;ABILII-BA230; ;;9,769;;12,397;;;;;;3
30253;ABL----SP138; ;;4,879;4,4;17,287;;;;923,15;;2
6445;ABLLUZ-SC138; ;;5,655;18,6;16,512;;;;3695,27;;1
4009;ABONIT-SP088; ;;5,062;;17,104;;;;;;2
37730;ABONITUTE013;U;;;4,5;17,104;;;;923,62;;2
4131;ABRAN1-RJ138; ;;6,069;74,2;16,098;;;;14325,54;;2
25740;ABRANCPCH034;D;;;;16,872;;;;;;2
25815;ABRAV-PCH034;U;;;;16,872;;;;;;2
38055;ABRTAP-RJ138; ;;6,069;;16,098;;;;;;2
9590;ABUNA--RO013; ;;4,563;;23,101;;;;;;2
9636;ABUNA--RO138; ;;4,563;19,5;23,101;;;;5391,67;;2
9537;ABUNA--RO230; ;;4,563;;23,101;;;;;;2
60140;AC-10-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
60145;AC-15-UFV034;B;48,6;11,400;;10,766;;;6645,79;;;2
60146;AC-16-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
60147;AC-17-UFV034;B;48,6;11,400;;10,766;;;6645,79;;;2
60148;AC-18-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
60149;AC-19-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
60150;AC-20-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
60151;AC-21-UFV034;B;38,9;11,400;;10,766;;;5316,08;;;2
