GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CGH ALAGOA III,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH BURITIZAL,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH CORRENTAO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH FAZENDA MODELO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
"CGH JULIANA I, II, VARGIDO",0,0,0,7.183,7.562,8.427,8.41,8.512,8.524,8.446,8.426,8.406,8.386000000000001,8.366000000000001,8.346000000000002,8.326000000000002,8.306000000000003,8.286000000000003
CGH PACIFICO MASCARENHAS,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH PIABANHA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH SANTA LUZIA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH SANTANA DO DESERTO 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH SERRA NEGRA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH SIRIVERA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH TAPUIAS,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CGH VALE VERDE,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CONSORCIO RIO LEAO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
CORREGPCH034,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
DIANOPOLIS,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ABIL,0,0,0,10.222,9.5,9.971,9.874,10.336,10.354,10.392,10.372,10.352,10.332,10.312000000000001,10.292000000000002,10.272000000000002,10.252000000000002,10.232000000000003
EOL ACACIA,0,0,0,10.181,9.457,9.925,9.869,10.287,10.304,10.34,10.32,10.3,10.280000000000001,10.260000000000002,10.240000000000002,10.220000000000002,10.200000000000003,10.180000000000003
EOL ACARI (RIACHAO I),0,0,0,10.46,10.959,11.309,11.413,11.575,11.658,11.676,11.656,11.636000000000001,11.616000000000001,11.596000000000002,11.576000000000002,11.556000000000003,11.536000000000003,11.516000000000004
EOL ACAUA,0,0,0,10.275,9.57,10.045,0.0,10.416,10.436,10.476,10.456000000000001,10.436000000000002,10.416000000000002,10.396000000000003,10.376000000000003,10.356000000000003,10.336000000000004,10.316000000000004
EOL ACAUA I,0,0,0,11.237,11.742,12.106,12.229,12.407,12.506,12.55,12.530000000000001,12.510000000000002,12.490000000000002,12.470000000000002,12.450000000000003,12.430000000000003,12.410000000000004,12.390000000000004
EOL ACAUA II,0,0,0,11.237,11.742,12.106,12.229,12.407,12.506,12.55,12.530000000000001,12.510000000000002,12.490000000000002,12.470000000000002,12.450000000000003,12.430000000000003,12.410000000000004,12.390000000000004
