CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
ALCOA;664;97;170;P.CALD-MG138; POCOS CALDAS - 138;  7,690;  7,645;  1,896;  1,896;     ;
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  7,754;  7,704;  0,407;  0,407;405,0;425,0
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  7,650;  7,589;  2,114;  2,114;126,5;129,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  7,908;  7,894;  0,542;  0,542;353,0;389,5
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  7,793;  7,747;  0,695;  0,695;461,5;473,5
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  7,489;  7,409;  0,466;  0,466;13,25;13,95
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  6,919;  6,749;  6,428;  6,428;30,00;29,15
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  6,906;  6,746;  3,283;  3,283;40,25;37,60
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  6,364;  6,127;  3,641;  3,641; 7,28; 7,33
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  6,474;  6,241;  0,717;  0,717;271,7;277,7
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  9,206;  9,495;  0,364;  0,364;117,5;125,0
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  8,633;  8,848;  3,133;  3,133;71,50;76,15
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  8,818;  9,049;  1,899;  1,899;39,40;44,50
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  8,825;  9,056;  1,963;  1,963;85,60;94,55
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  9,017;  9,279;  5,504;  5,504;16,25;34,00
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  8,961;  9,198;  0,257;  0,257;23,00;23,00
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  9,014;  9,279;  4,027;  4,027;28,50;29,80
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  9,029;  9,303;  2,210;  2,210;100,9;110,3
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  8,838;  9,065;  3,466;  3,466;64,50;67,50
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  8,908;  9,136;  2,845;  2,845;105,0;110,0
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69;  9,406;  9,749;  1,822;  1,822;99,30;108,5
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8;  9,510;  9,834;  1,870;  1,870;71,26;71,25
