USINA;TUST;REN e Classificação;CEG
EOL ABIL;       7,571;559/13 LEILÃO;031402-1
EOL ACACIA;       7,231;559/13 LEILÃO;031418-8
EOL ACARI (RIACHAO I);       9,427;559/13 CICLO;030870-6
EOL ACAUA;       7,556;559/13 LEILÃO;031433-1
EOL ACAUA I;      10,925;559/13 CICLO;033597-5
EOL ACAUA II;      10,925;559/13 CICLO;033598-3
EOL ACAUA III;       9,994;559/13 CICLO;033864-8
EOL AFONSO BEZERRA I;      10,181;559/13 CICLO;035158-0
EOL AFONSO BEZERRA II;      10,181;559/13 CICLO;035159-8
EOL AFONSO BEZERRA III;      10,181;559/13 CICLO;035160-1
EOL AFONSO BEZERRA IV;      10,181;559/13 CICLO;035161-0
EOL ALBUQUERQUE (RIACHAO II);       9,427;559/13 CICLO;030871-4
EOL ALEGRIA I(NEW ENERGY);       9,337;       TRANS.;028444-0
EOL ALEGRIA II(NEW ENERGY);       9,337;       TRANS.;028443-2
EOL AMESCLA;       7,368;559/13 CICLO;032090-0
EOL ANEMOI (RIACHAO IV);       9,427;559/13 CICLO;030874-9
EOL ANGELIM;       7,368;559/13 CICLO;032091-9
EOL ANGICAL 2;       7,557;559/13 LEILÃO;031435-8
EOL ANGICO;       7,228;559/13 LEILÃO;031404-8
EOL ANGICOS I;      10,181;559/13 CICLO;035165-2
EOL ANGICOS II;      10,181;559/13 CICLO;035166-0
EOL APELIOTES(RIACHAO VI);       9,427;559/13 CICLO;030872-2
EOL ARAPAPA;       7,554;559/13 LEILÃO;031434-0
EOL ARARINHA AZUL;      10,778;559/13 CICLO;037001-0
EOL ARENA (RIACHAO VII);       9,427;559/13 CICLO;030873-0
EOL AROEIRA;       8,737;559/13 LEILÃO;031801-9
EOL AROEIRA 1;      10,363;       TRANS.;044940-7
EOL AROEIRA 2;      10,363;       TRANS.;044947-4
EOL AROEIRA 3;      10,363;       TRANS.;044948-2
EOL AROEIRA 4;      10,363;       TRANS.;044949-0
EOL AROEIRA 5;      10,363;       TRANS.;044950-4
EOL AROEIRA 6;      10,363;       TRANS.;044951-2
EOL AROEIRA 7;      10,363;       TRANS.;044952-0
EOL AROEIRA 8;      10,363;       TRANS.;044953-9
EOL ASA BRANCA I;      10,191;559/13 CICLO;030505-7
EOL ASA BRANCA V;       9,199;       TRANS.;030507-3
EOL ASA BRANCA VII;       9,199;       TRANS.;030513-8
EOL ASSURUA II;      11,138;559/13 LEILÃO;031343-2
EOL ASSURUA III;      10,137;559/13 LEILÃO;032342-0
EOL ASSURUA IV;      10,185;559/13 LEILÃO;032343-8
EOL ASSURUA V;      11,093;559/13 LEILÃO;031341-6
EOL ASSURUA VII;      11,050;559/13 LEILÃO;031356-4
EOL AURA CAETITE 01;       9,611;559/13 LEILÃO;044959-8
EOL AURA CAETITE 02;       9,751;       TRANS.;044960-1
EOL AURA CAETITE 03;       9,751;       TRANS.;032804-9
EOL AURA CAETITE 04;       9,610;559/13 LEILÃO;032805-7
EOL AURA LAGOA DO BARRO 01;       8,814;559/13 LEILÃO;033621-1
EOL AURA LAGOA DO BARRO 02;       8,814;559/13 LEILÃO;033622-0
EOL AURA LAGOA DO BARRO 03;       8,814;559/13 LEILÃO;033619-0
EOL AURA LAGOA DO BARRO 04;       8,814;559/13 LEILÃO;033620-3
EOL AURA LAGOA DO BARRO 05;       8,808;559/13 LEILÃO;033623-8
EOL AURA LAGOA DO BARRO 06;       8,814;559/13 LEILÃO;033624-6
EOL AURA LAGOA DO BARRO 07;       8,814;559/13 LEILÃO;033618-1
EOL AURA MANGUEIRA IV;       7,779;559/13 LEILÃO;031700-4
EOL AURA MANGUEIRA VI;       7,783;559/13 LEILÃO;031696-2
EOL AURA MANGUEIRA VII;      10,180;559/13 LEILÃO;031805-1
EOL AURA MANGUEIRA XI;       7,774;559/13 LEILÃO;031719-5
EOL AURA MANGUEIRA XII;       7,777;559/13 LEILÃO;031653-9
EOL AURA MANGUEIRA XIII;       7,775;559/13 LEILÃO;031646-6
EOL AURA MANGUEIRA XV;       7,777;559/13 LEILÃO;031647-4
EOL AURA MANGUEIRA XVII;       7,775;559/13 LEILÃO;031705-5
EOL AURA MIRIM II;      10,182;559/13 LEILÃO;031806-0
EOL AURA MIRIM IV;       7,775;559/13 LEILÃO;031663-6
EOL AURA MIRIM VI;       7,772;559/13 LEILÃO;031701-2
EOL AURA MIRIM VIII;       7,772;559/13 LEILÃO;031699-7
EOL AURA QUEIMADA NOVA 01;      10,258;559/13 LEILÃO;032863-4
EOL AURA QUEIMADA NOVA 02;      10,256;559/13 LEILÃO;040567-1
EOL AURA QUEIMADA NOVA 03;       8,782;559/13 LEILÃO;033625-4
EOL AURA TANQUE NOVO 01;       9,750;       TRANS.;044961-0
EOL AURA TANQUE NOVO 02;       9,750;       TRANS.;044962-8
EOL AURA TANQUE NOVO 03;       9,609;559/13 LEILÃO;035172-5
EOL AVENTURA I;       9,353;559/13 LEILÃO;031887-6
EOL AVENTURA II;      12,742;559/13 LEILÃO;033002-7
EOL AVENTURA III;      12,743;559/13 LEILÃO;033026-4
EOL AVENTURA IV;      12,743;559/13 LEILÃO;037949-2
EOL AVENTURA V;      12,745;559/13 LEILÃO;037950-6
EOL AW SANTA REGIA;      10,154;559/13 CICLO;032194-0
EOL AW SAO JOAO;      10,154;559/13 CICLO;032080-3
EOL B.VENTOS(VENTOS);       9,040;       TRANS.;028887-0
EOL BAIXA DO FEIJAO I;       8,732;267/07 LEILÃO;030932-0
EOL BAIXA DO FEIJAO II;       8,732;267/07 LEILÃO;030933-8
EOL BAIXA DO FEIJAO III;       8,732;267/07 LEILÃO;030934-6
EOL BAIXA DO FEIJAO IV;       8,732;267/07 LEILÃO;030931-1
EOL BAIXA DO SITIO;       9,994;559/13 CICLO;033964-4
EOL BANDA DE COURO;       8,332;559/13 LEILÃO;031607-5
EOL BARAUNAS I;       8,910;559/13 LEILÃO;031335-1
EOL BARAUNAS II;       8,319;559/13 LEILÃO;031667-9
EOL BARAUNAS IV;      11,225;559/13 CICLO;038032-6
EOL BARAUNAS XV;      11,225;559/13 CICLO;038031-8
EOL BARAUNAS XX;      11,225;559/13 CICLO;036993-4
EOL BARBATIMAO;       7,368;559/13 CICLO;032093-5
EOL BOA ESPERANCA I;       8,450;559/13 LEILÃO;033666-1
EOL BOA VISTA DA LAGOINHA;       9,471;559/13 CICLO;032759-0
EOL BONS VENTOS CACIMBAS 2;       7,450;559/13 LEILÃO;031644-0
EOL BONS VENTOS CACIMBAS 3;       7,432;559/13 LEILÃO;031627-0
EOL BONS VENTOS CACIMBAS 4;       7,423;559/13 LEILÃO;031621-0
EOL BONS VENTOS CACIMBAS 5;       7,446;559/13 LEILÃO;031579-6
EOL BONS VENTOS CACIMBAS 7;       7,435;559/13 LEILÃO;031611-3
EOL BOQUEIRAO I;      10,101;559/13 CICLO;040816-6
EOL BOQUEIRAO II;      10,101;559/13 CICLO;040818-2
EOL BREJINHOS A;      10,496;559/13 CICLO;040777-1
EOL BREJINHOS B;      10,496;559/13 CICLO;040778-0
EOL CABECO PRETO III;       8,729;267/07 LEILÃO;031015-8
EOL CABECO PRETO V;       8,729;267/07 LEILÃO;030876-5
EOL CABECO PRETO VI;       8,718;267/07 LEILÃO;030900-1
EOL CABECO VERMELHO;       8,737;559/13 LEILÃO;031651-2
EOL CABECO VERMELHO II;       8,729;559/13 LEILÃO;031665-2
EOL CACIMBAS 1;       6,776;559/13 CICLO;032011-0
EOL CAETITE 1;       8,635;       TRANS.;030976-1
EOL CAETITE A;       7,311;559/13 LEILÃO;031344-0
EOL CAETITE B;       7,311;559/13 LEILÃO;031342-4
EOL CAETITE C;       7,361;559/13 LEILÃO;031523-0
EOL CAETITE D;       9,611;559/13 LEILÃO;037004-5
EOL CAETITE E;      10,496;559/13 CICLO;037005-3
EOL CAETITE F;      10,496;559/13 CICLO;037006-1
EOL CAICARA I;       8,645;267/07 LEILÃO;030895-1
EOL CAICARA II;       8,602;267/07 LEILÃO;030915-0
EOL CAITITU 2;       7,557;559/13 LEILÃO;031432-3
EOL CAITITU 3;       7,557;559/13 LEILÃO;031459-5
EOL CAJUINA A3;      10,452;559/13 CICLO;047237-9
EOL CAJUINA A5;      10,341;       TRANS.;047244-1
EOL CAJUINA A7;      10,452;559/13 CICLO;047198-4
EOL CAJUINA B12;      10,452;559/13 CICLO;047238-7
EOL CALANGO 1;       9,093;       TRANS.;030511-1
EOL CALANGO 2;       9,093;       TRANS.;030519-7
EOL CALANGO 3;       9,093;       TRANS.;030545-6
