Distribuidora;MUSD (MW);EUSD (1000R$/mês);TUSDg média (R$/kW.mês)
CEA;78,000;72,374;0,928
CEEE-D;161,670;952,880;5,748
CELESC-DIS;1041,766;2944,621;2,622
CEMIG-D;5273,546;29187,650;5,646
COPEL-DIS;1005,438;3603,952;3,432
CPFL PAULISTA;2702,292;13124,880;5,035
CPFL PIRATININGA;78,800;156,220;2,595
CPFL SANTA CRUZ;391,230;1723,751;5,427
EDP ES;827,339;4313,282;5,070
EDP SAO PAULO;144,300;714,625;4,940
ENEL RIO;353,500;1413,467;3,725
ENEL SAO PAULO;253,500;472,356;3,041
ENERGISA M.G. DO SUL - EMS;823,290;6329,694;7,855
ENERGISA MATO GROSSO - EMT;1357,244;10655,200;7,805
ENERGISA MINAS GERAIS - EMG;197,560;747,367;3,933
ENERGISA RONDONIA;103,000;629,633;6,026
ENERGISA SUL SUDESTE - ESS;465,780;2504,892;5,303
ENERGISA TOCANTINS - ETO;86,431;342,429;3,742
EQUATORIAL GOIAS;878,100;5621,153;6,639
EQUATORIAL PARA;106,200;610,569;5,907
EQUATORIAL PIAUI;144,000;823,755;5,696
LIGHT;3366,531;13260,220;3,775
NEOENEGIA BRASILIA;211,000;795,358;3,773
NEOENERGIA COELBA;309,541;1789,928;6,113
NEOENERGIA COSERN;285,230;678,227;2,418
NEOENERGIA ELEKTRO;3590,766;20354,890;5,493
NEOENERGIA PE;334,443;1486,809;4,274
RGE SUL;532,422;2010,643;4,805
