BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,726;    8,800;;
543; TRES IRMAOS - 138;    7,594;    7,494;;
542; TRES IRMAOS - 440;    7,515;    7,400;;
1903; TRES LAGOAS 1 - 138;    7,663;    7,579;;
8344; ABAIARA - 230;    5,620;    5,172;;
6203; ABAIXADORA - 69;    5,841;    5,407;;
9739; ABDON BATISTA - 230;    8,337;    8,914;;
9738; ABDON BATISTA - 525;    8,519;    9,090;;
6931; ABUNA - 138;    7,166;    6,412;;
6930; ABUNA - 230;    7,166;    6,412;;
6700; ACAILANDIA - 500;    5,872;    5,381;;
5923; ACARAT CE - 230;    5,702;    5,173;;
5318; ACARAT-CE500;    5,725;    5,198;;
5486; ACARAU II – 230;    5,694;    5,164;;
1596; ACESITA - 230;    8,786;    8,702;;
5463; ACU II - 69;    5,151;    4,553;;
5468; ACU II - 138;    5,270;    4,689;;
5461; ACU II - 230;    5,151;    4,553;;
5351; ACU III - 230;    5,131;    4,529;;
5350; ACU III - 500;    5,275;    4,690;;
173; ADRIANOPOLIS - 138;    8,422;    8,300;;
140; ADRIANOPOLIS - 345;    8,439;    8,321;;
106; ADRIANOPOLIS - 500;    8,329;    8,238;;
2974; AGUAS LINDAS - 69;    7,538;    7,219;;
2987; AG.LINDAS230;    7,538;    7,219;;
5106; ANGELIM - 13,8;    6,239;    5,796;;
3801; AGUAI - 138;    8,577;    8,591;;
452; AGUA AZUL - 138;    8,911;    8,973;;
453; AGUA AZUL - 440;    8,896;    8,956;;
4043; AIMORES - 230;    7,691;    7,418;;
3934; AJINOMOTO BIO - 138;    9,571;    9,806;;
5796; ALAGOINHA 2 - 69;    7,505;    7,452;;
6000; ALAGOAS 2 - 230;    7,505;    7,452;;
1185; ALEGRETE2 - 69;    8,387;    9,221;;
1186; ALEGRETE2 - 230;    8,392;    9,232;;
8163; ALEX - 230;    5,110;    4,568;;
6523; ALTAMIRA - 69;    6,884;    6,508;;
6521; ALTAMIRA - 230;    6,884;    6,508;;
668; ALTA PAULISTA - 400;    7,795;    7,748;;
2336; AMPARO - 138;    8,745;    8,790;;
1079; ANASTACIO - 138;    8,618;    8,772;;
1078; ANASTACIO - 230;    8,610;    8,761;;
3840; AVANTI N.CORT - 138;    7,659;    7,575;;
3882; ANDRADINA - 138;    7,655;    7,566;;
44594; ANEMUS - 230;    5,059;    4,506;;
5100; ANGELIM - 500;    6,106;    5,661;;
5103; ANGELIM - 69;    6,239;    5,796;;
5101; ANGELIM - 230;    6,239;    5,795;;
185; ANGRA 1 - 138;    8,261;    8,158;;
105; ANGRA - 500;    8,179;    8,071;;
1773; ANGRA AMPLA - 138;    8,301;    8,202;;
762; ANHANGUERA - 69;    7,934;    7,812;;
761; ANHANGUERA - 138;    7,928;    7,806;;
760; ANHANGUERA GO - 230;    7,934;    7,812;;
444; ANHANGUERA - 88;    9,111;    9,199;;
431; ANHANGUERA SP - 230;    9,520;    9,703;;
439; ANHANGUERA - 345;    9,112;    9,199;;
459; APARECIDA - 88;    8,589;    8,585;;
458; APARECIDA - 230;    8,589;    8,585;;
879; APUCARANA - 138;    8,831;    9,164;;
878; APUCARANA - 230;    8,833;    9,165;;
5383; AQUIRAZ II - 69;    6,034;    5,582;;
5381; AQUIRAZ - 230;    6,034;    5,582;;
2296; ARACATUBA - 138;    7,974;    7,927;;
4081; ARACUAI 2 - 138;    6,165;    5,682;;
4070; ARACUAI - 230;    6,188;    5,707;;
6083; ARAPIRACA III - 69;    8,277;    8,151;;
6081; ARAPIRACA III - 230;    8,277;    8,151;;
3802; ARARAS 1 - 138;    8,561;    8,590;;
3803; ARARAS 2 - 138;    8,571;    8,602;;
560; ARARAQUARA CTP - 138;    8,262;    8,249;;
559; ARARAQUARA - 440;    8,269;    8,263;;
101; ARARAQUARA - 500;    7,849;    7,793;;
99; ARARAQUARA - 525;    7,849;    7,794;;
589; ARARAS SP - 440;    8,625;    8,663;;
7058; ARARAQUARA 2 - 440;    8,010;    7,967;;
7057; ARARAQUARA 2 - 500;    7,857;    7,797;;
7411; ARAXA 3 - 138;    7,324;    7,076;;
7410; ARAXA 3 - 345;    7,285;    7,031;;
5093; ARCOVERDE II - 69;    6,171;    5,702;;
5092; ARCOVERDE II - 230;    6,171;    5,702;;
