Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
542; TRES IRMAOS - 440;;  9,848;  2,964;  7,783;  7,780;;;  7,780;
8344; ABAIARA - 230;;  8,857; 18,362; 11,709; 11,706;;; 11,706;
9739; ABDON BATISTA - 230;;  9,150;  0,000;  6,405;  6,402;;;  6,402;
9738; ABDON BATISTA - 525;;  8,638;  0,000;  6,047;  6,044;;;  6,044;
6930; ABUNA - 230;; 11,284;  2,030;  8,508;  8,505;;;  8,505;
6700; ACAILANDIA - 500;;  9,611; 14,868; 11,188; 11,185;;; 11,185;
5923; ACARAT CE - 230;;  9,238; 16,907; 11,539; 11,536;;; 11,536;
5318; ACARAT-CE500;;  9,228; 16,777; 11,493; 11,490;;; 11,490;
5486; ACARAU II – 230;;  9,247; 16,946; 11,557; 11,554;;; 11,554;
1596; ACESITA - 230;;  5,536;  4,250;  5,150;  5,148;;;  5,148;
5461; ACU II - 230;; 10,043; 18,837; 12,681; 12,678;;; 12,678;
5351; ACU III - 230;; 10,094; 18,857; 12,723; 12,720;;; 12,720;
5350; ACU III - 500;;  9,918; 18,274; 12,425; 12,422;;; 12,422;
140; ADRIANOPOLIS - 345;;  7,016;  3,195;  5,870;  5,867;;;  5,867;
106; ADRIANOPOLIS - 500;;  7,361;  3,151;  6,098;  6,095;;;  6,095;
2987; AG.LINDAS230;;  8,282;  6,463;  7,737;  7,734;;;  7,734;
453; AGUA AZUL - 440;;  6,532;  1,166;  4,922;  4,942;;;  4,942;
4043; AIMORES - 230;;  8,105;  5,817;  7,419;  7,416;;;  7,416;
6000; ALAGOAS 2 - 230;;  5,473; 13,242;  7,804;  7,801;;;  7,801;
1186; ALEGRETE2 - 230;;  9,303;  0,000;  6,512;  6,510;;;  6,510;
8163; ALEX - 230;; 10,021; 19,176; 12,767; 12,764;;; 12,764;
6521; ALTAMIRA - 230;;  7,457; 12,905;  9,091;  9,088;;;  9,088;
668; ALTA PAULISTA - 400;;  9,280;  2,356;  7,203;  7,200;;;  7,200;
1078; ANASTACIO - 230;;  7,434;  1,039;  5,516;  5,513;;;  5,513;
44594; ANEMUS - 230;; 10,128; 19,277; 12,873; 12,870;;; 12,870;
5100; ANGELIM - 500;;  8,215; 16,509; 10,703; 10,700;;; 10,700;
5101; ANGELIM - 230;;  7,843; 16,460; 10,428; 10,425;;; 10,425;
105; ANGRA - 500;;  7,782;  3,202;  6,408;  6,405;;;  6,405;
760; ANHANGUERA GO - 230;;  8,257;  3,788;  6,916;  6,913;;;  6,913;
431; ANHANGUERA SP - 230;;  5,236;  0,000;  3,665;  4,942;;;  4,942;
439; ANHANGUERA - 345;;  6,161;  0,543;  4,476;  4,942;;;  4,942;
458; APARECIDA - 230;;  7,043;  2,096;  5,559;  5,556;;;  5,556;
878; APUCARANA - 230;;  7,282;  0,000;  5,097;  5,094;;;  5,094;
5381; AQUIRAZ - 230;;  8,211; 17,014; 10,851; 10,849;;; 10,849;
4070; ARACUAI - 230;; 11,390;  8,535; 10,533; 10,531;;; 10,531;
6081; ARAPIRACA III - 230;;  3,501; 12,517;  6,206;  6,203;;;  6,203;
559; ARARAQUARA - 440;;  7,984;  2,108;  6,222;  6,219;;;  6,219;
101; ARARAQUARA - 500;;  8,876;  2,925;  7,091;  7,088;;;  7,088;
99; ARARAQUARA - 525;;  8,876;  2,924;  7,091;  7,088;;;  7,088;
589; ARARAS SP - 440;;  7,158;  1,577;  5,483;  5,481;;;  5,481;
7058; ARARAQUARA 2 - 440;;  8,556;  2,560;  6,757;  6,755;;;  6,755;
7057; ARARAQUARA 2 - 500;;  8,914;  2,782;  7,075;  7,072;;;  7,072;
5092; ARCOVERDE II - 230;;  7,969; 16,634; 10,569; 10,566;;; 10,566;
934; AREIA - 230;;  7,999;  0,000;  5,599;  5,596;;;  5,596;
933; AREIA - 525;;  8,882;  0,000;  6,217;  6,215;;;  6,215;
4349; ARINOS 2 - 500;; 11,151;  9,350; 10,610; 10,607;;; 10,607;
6880; ARIQUEMES - 230;; 10,834;  2,224;  8,251;  8,249;;;  8,249;
45680; ASOLO 2 - 230;; 11,061;  5,141;  9,285;  9,282;;;  9,282;
552; ASSIS - 440;;  8,694;  1,913;  6,660;  6,657;;;  6,657;
556; ASSIS - 525;;  8,757;  1,808;  6,672;  6,669;;;  6,669;
551; ASSIS 2 - 230;;  8,067;  1,091;  5,974;  5,971;;;  5,971;
697; ATIBAIA 2 - 345;;  6,456;  1,117;  4,854;  4,942;;;  4,942;
1330; ATLANTIDA 2 - 230;;  7,262;  0,000;  5,083;  5,080;;;  5,080;
629; AVARE - 230;;  5,802;  0,000;  4,061;  4,942;;;  4,942;
3150; AVARE NOVA - 230;;  5,802;  0,000;  4,061;  4,942;;;  4,942;
536; AGUA VERMELHA - 440;;  9,661;  3,404;  7,784;  7,781;;;  7,781;
535; AGUA VERMELHA - 500;;  9,832;  4,028;  8,091;  8,088;;;  8,088;
451; AVILLAR - 230;;  5,852;  0,498;  4,246;  4,942;;;  4,942;
9892; ANDIRA LESTE - 230;;  7,153;  0,043;  5,020;  5,017;;;  5,017;
229; BARRO ALTO - 230;;  9,105;  7,687;  8,680;  8,677;;;  8,677;
4040; BARRO BRANCO - 345;;  7,637;  4,760;  6,774;  6,771;;;  6,771;
9444; B. DOS COQUEIROS - 230;; 11,584;  5,435;  9,740;  9,737;;;  9,737;
5511; B.ESPERANCA - 230;;  8,407; 15,130; 10,424; 10,421;;; 10,421;
5510; B.ESPERANCA - 500;;  9,523; 15,090; 11,193; 11,190;;; 11,190;
227; BRASILIA GERAL - 230;;  7,916;  5,555;  7,208;  7,205;;;  7,205;
574; BOM JARDIM - 440;;  6,837;  1,423;  5,213;  5,210;;;  5,210;
7181; B.JESUS II - 230;;  8,924; 14,251; 10,522; 10,519;;; 10,519;
3699; BRASILIA LESTE - 500;;  9,493;  7,362;  8,853;  8,851;;;  8,851;
5401; BOM NOME - 230;;  8,714; 17,834; 11,450; 11,447;;; 11,447;
4502; BARRA PEIXE - 230;; 10,402;  3,817;  8,427;  8,424;;;  8,424;
228; BRAS. SUL - 230;;  8,409;  5,912;  7,660;  7,657;;;  7,657;
219; BRAS. SUL -345;;  8,989;  6,533;  8,252;  8,250;;;  8,250;
5684; BACAB - MA - 500;;  9,020; 15,731; 11,034; 11,031;;; 11,031;
1188; BAGE 2 - 230;;  8,856;  0,000;  6,200;  6,197;;;  6,197;
478; BAGUACU - 440;;  8,733;  2,301;  6,803;  6,801;;;  6,801;
1495; BAGUARI - 230;;  7,926;  5,959;  7,336;  7,333;;;  7,333;
9354; BAIXO IGUACU PR - 230;;  7,935;  0,000;  5,555;  5,552;;;  5,552;
472; B. SANTISTA - 230;;  5,579;  0,015;  3,910;  4,942;;;  4,942;
471; B. SANTISTA - 345;;  6,106;  0,403;  4,395;  4,942;;;  4,942;
8501; BALBINA - 230;;  7,482; 13,412;  9,261;  9,258;;;  9,258;
5391; BALSAS - 230;;  9,581; 14,602; 11,087; 11,085;;; 11,085;
5421; BANABUIU - 230;;  9,090; 18,091; 11,790; 11,788;;; 11,788;
226; BANDEIRANTE GO - 230;;  8,497;  4,322;  7,245;  7,242;;;  7,242;
218; BANDEIRANTE GO - 345;;  9,026;  5,767;  8,049;  8,046;;;  8,046;
492; BANDEIRANTE SP - 345;;  5,959;  0,327;  4,270;  4,942;;;  4,942;
308; BARBACENA - 345;;  7,000;  3,557;  5,967;  5,964;;;  5,964;
6315; BARREIRAS II - 230;; 10,181; 12,092; 10,754; 10,751;;; 10,751;
6361; BARREIRAS - 230;;  9,836; 11,901; 10,456; 10,453;;; 10,453;
6360; BARREIRAS - 500;; 10,590; 11,721; 10,929; 10,926;;; 10,926;
313; BARREIRO - 345;;  7,532;  4,833;  6,722;  6,719;;;  6,719;
112; BATEIAS - 500;;  8,059;  0,000;  5,641;  5,638;;;  5,638;
113; BATEIAS 2 - 500;;  8,059;  0,000;  5,641;  5,638;;;  5,638;
814; BATEIAS - 230;;  7,258;  0,000;  5,081;  5,078;;;  5,078;
895; BATEIAS - 525;;  8,098;  0,000;  5,668;  5,665;;;  5,665;
114; BATEIAS 3 - 500;;  8,090;  0,000;  5,663;  5,660;;;  5,660;
561; BAURU SP - 440;;  7,830;  1,647;  5,975;  5,972;;;  5,972;
9004; BARAO DE COCAIS 3 - 230;;  6,449;  4,528;  5,873;  5,870;;;  5,870;
4050; B.DESPACHO - 500;;  9,076;  6,176;  8,206;  8,204;;;  8,204;
