BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,786
8344; ABAIARA - 230;   12,863
9739; ABDON BATISTA - 230;    5,368
9738; ABDON BATISTA - 525;    5,057
6930; ABUNA - 230;    7,262
6700; ACAILANDIA - 500;   11,906
5923; ACARAT CE - 230;   12,541
5318; ACARAT-CE500;   12,481
5486; ACARAU II – 230;   12,562
1596; ACESITA - 230;    4,982
5461; ACU II - 230;   13,799
5351; ACU III - 230;   13,843
5350; ACU III - 500;   13,505
140; ADRIANOPOLIS - 345;    5,147
106; ADRIANOPOLIS - 500;    5,369
2987; AG.LINDAS230;    7,869
453; AGUA AZUL - 440;    4,982
4043; AIMORES - 230;    7,037
6000; ALAGOAS 2 - 230;    8,746
1186; ALEGRETE2 - 230;    5,454
8163; ALEX - 230;   13,928
6521; ALTAMIRA - 230;    9,746
668; ALTA PAULISTA - 400;    6,226
1078; ANASTACIO - 230;    5,061
44594; ANEMUS - 230;   14,034
5100; ANGELIM - 500;   11,748
5101; ANGELIM - 230;   11,503
105; ANGRA - 500;    5,636
760; ANHANGUERA GO - 230;    6,453
431; ANHANGUERA SP - 230;    4,982
439; ANHANGUERA - 345;    4,982
458; APARECIDA - 230;    4,982
878; APUCARANA - 230;    4,982
5381; AQUIRAZ - 230;   11,958
4070; ARACUAI - 230;   10,722
6081; ARAPIRACA III - 230;    7,262
559; ARARAQUARA - 440;    5,299
101; ARARAQUARA - 500;    6,185
99; ARARAQUARA - 525;    6,185
589; ARARAS SP - 440;    4,982
7058; ARARAQUARA 2 - 440;    5,832
7057; ARARAQUARA 2 - 500;    6,141
5092; ARCOVERDE II - 230;   11,650
934; AREIA - 230;    4,982
933; AREIA - 525;    5,206
4349; ARINOS 2 - 500;   11,043
6880; ARIQUEMES - 230;    7,078
45680; ASOLO 2 - 230;    8,708
552; ASSIS - 440;    5,685
556; ASSIS - 525;    5,680
551; ASSIS 2 - 230;    4,982
697; ATIBAIA 2 - 345;    4,982
1330; ATLANTIDA 2 - 230;    4,982
629; AVARE - 230;    4,982
3150; AVARE NOVA - 230;    4,982
536; AGUA VERMELHA - 440;    6,826
535; AGUA VERMELHA - 500;    7,190
451; AVILLAR - 230;    4,982
9892; ANDIRA LESTE - 230;    4,982
229; BARRO ALTO - 230;    9,103
4040; BARRO BRANCO - 345;    5,952
9444; B. DOS COQUEIROS - 230;    8,797
5511; B.ESPERANCA - 230;   11,314
5510; B.ESPERANCA - 500;   11,970
227; BRASILIA GERAL - 230;    7,082
574; BOM JARDIM - 440;    4,982
7181; B.JESUS II - 230;   11,289
3699; BRASILIA LESTE - 500;    8,856
5401; BOM NOME - 230;   12,569
4502; BARRA PEIXE - 230;    7,539
228; BRAS. SUL - 230;    7,526
219; BRAS. SUL -345;    8,101
5684; BACAB - MA - 500;   11,919
1188; BAGE 2 - 230;    5,187
478; BAGUACU - 440;    5,835
1495; BAGUARI - 230;    7,014
9354; BAIXO IGUACU PR - 230;    4,982
472; B. SANTISTA - 230;    4,982
471; B. SANTISTA - 345;    4,982
8501; BALBINA - 230;    9,958
5391; BALSAS - 230;   11,805
5421; BANABUIU - 230;   12,929
226; BANDEIRANTE GO - 230;    6,810
218; BANDEIRANTE GO - 345;    7,701
492; BANDEIRANTE SP - 345;    4,982
308; BARBACENA - 345;    5,177
6315; BARREIRAS II - 230;   11,255
6361; BARREIRAS - 230;   10,969
6360; BARREIRAS - 500;   11,391
313; BARREIRO - 345;    6,109
112; BATEIAS - 500;    4,982
113; BATEIAS 2 - 500;    4,982
814; BATEIAS - 230;    4,982
895; BATEIAS - 525;    4,982
114; BATEIAS 3 - 500;    4,982
561; BAURU SP - 440;    5,033
9004; BARAO DE COCAIS 3 - 230;    5,441
4050; B.DESPACHO - 500;    7,084
4337; BETIM 6 -345;    6,488
9626; B. FLUMINENSE - 500;    5,433
936; BARRA GRANDE - 230;    5,719
947; BAIXO IGUACU SC - 230;    4,982
946; BIGUACU--525;    4,982
6358; B.J.LAPA II - 230;   11,215
6349; BJLAPAII - 500;   11,080
6351; B.J.LAPA - 230;   11,238
939; BLUMENAU - 230;    4,982
938; BLUMENAU - 525;    4,982
5152; BONGI - 230;    9,971
625; BOTUCATU - 230;    4,982
7734; BRACEL - 440;    4,982
4868; BRASNORTE - 230;    8,344
9051; BRAUNA - 230;    6,308
6334; BROT.MACAUBAS - 230;   12,191
5941; BRUMADO II - 230;    6,035
6075; BURITIRAMA - 500;   12,076
5701; CIC.DANTAS - 230;   10,482
756; CACHOEIRA DOURADA - 230;    8,846
4512; C. MAGALHAES - 230;    7,758
5525; COELHO NETO - 230;    9,570
5262; CURRAIS NOVOS II - 230;   14,034
104; C. PAULISTA - 500;    5,446
7054; C.PORTO VELHO - 230;    8,095
7055; C.PORTO VELHO - 500;   13,842
8551; CRISTIANO ROCHA - 230;    9,618
590; CABREUVA - 230;    4,982
584; CABREUVA - 440;    4,982
9458; CACU - 230;    8,797
5098; CAETES II - 230;   11,687
41414; CAIACA-SC - 230;    4,982
10218; CRUZ ALTA 2 - 230;    5,184
5750; CAMACARI - 500;    9,705
5756; CAMACARI IV - 230;    8,926
5752; CAMACARI IV - 500;    9,699
9569; CAMAQUA 3 - 230;    4,982
1194; CAMAQUA - 230;    4,982
123; CAMPINAS - 345;    4,982
103; CAMPINAS - 500;    5,184
117; CAMPOS 2 - 500;    6,201
1198; CAMPO BOM - 230;    4,982
147; CAMPOS - 345;    6,376
4684; CANARANA CMT - 230;    5,894
9590; CANDELARIA 2 - 230;    5,376
9952; CANDIOTA 2 - 230;    5,251
9951; CANDIOTA 2 - 525;    5,037
9785; CANDIOTA - 230;    5,797
9786; CANDIOTA - 525;    5,797
1190; CANOA 1 - 230;    4,982
1248; CANOAS 2 - 230;    4,982
943; CANOINHA - 230;    4,982
1037; CAPIVARI-230;    4,982
1036; CAPIVARI-525;    4,982
549; CAPIVARA - 440;    6,001
3714; CARAJAS GO - 230;    6,171
6407; CARAJAS PA - 230;   10,859
477; CARBOCLORO - 230;    4,982
839; CASCAVEL - 230;    4,982
9538; CASCAVEL NORT - 230;    4,982
2458; CASCAVEL OESTE - 230;    4,982
896; CASCAVOE - 525;    5,232
10355; CASSILANDIA - 230;    6,838
2353; CAMPO ASSOBIO - 230;    4,982
6489; CASTANHA - 230;    8,867
9278; CASTERTECH - 230;    4,982
10138; CASTRO NORTE - 230;    4,982
5782; CATU - 230;    8,315
5651; CAIUPE - 230;   12,149
1200; CAXIAS SUL 2 - 230;    4,982
1192; CAXIAS 5 -230;    4,982
1386; CAXIAS 6 - 230;    4,982
965; CAXIAS - 230;    4,982
964; CAXIAS RS - 525;    5,099
10216; CAXIAS NORTE - 230;    4,982
10215; CAXIAS NORTE - 525;    5,150
607; CBA - 230;    4,982
608; CBA TERM - 440;    4,982
603; CBA 2 - 440;    4,982
9543; CBA LESTE - 230;    4,982
9542; CBA LESTE - 525;    4,982
9697; CURITIBA NORT - 230;    4,982
623; CAPAO BONITO - 230;    4,982
3964; CANA BRAVA - 230;   10,427
816; C.COMPRIDO - 230;    4,982
6132; CEAMIRIM - 230;   13,197
6130; CEA.MIRIM II - 500;   13,238
427; CENTRO - 230;    4,982
9731; CERRO CHATO - 230;    5,793
2035; CERQUILHO 3 - 230;    4,982
970; GARABI 2 - 500;    5,387
971; GARABI 1 - 500;    5,387
6107; CAMPO FORMOSO - 230;   12,821
1043; RIVERA - 230;    5,644
5222; CAMPINA GRANDE II - 230;   12,080
1025; CAMPO GRANDE II - 230;    6,086
5202; CAMPINA GRANDE III - 230;   12,185
5200; CAMPINA GRANDE III - 500;   12,637
5303; CHAPADA 1 PI - 230;   13,344
6631; CHAPADA 2 PI - 230;   13,354
5305; CHAPADA 3 PI - 230;   13,510
1089; CHAPADAO - 230;    6,838
5685; CHAPADINHA II - 230;    9,895
10276; CHARQUEADAS 3 - 230;    4,982
951; CHARQUEADAS (SE) - 230;    4,982
615; CHAVANTES - 230;    4,982
7784; HELIO VALGAS MG - 345;    9,565
815; C.IND. CURITIBA - 230;    4,982
1258; C.INDUSTRIAL - 230;    4,982
4495; CLAUDIA - 500;    8,879
5751; CAMACARI II - 230;    8,846
954; C.MOURAO - 230;    4,982
956; CAMPOS NOVOS - 230;    5,533
955; CAMPOS NOVOS - 525;    5,148
789; CODEMI GO- 230;    9,988
4465; COLIDER - 500;    8,879
7300; COLINAS - 500;   11,782
9607; COMPERJ - 345;    5,528
5621; SE COREMAS II - 230;   12,467
1018; CORUMBA 2 - 30;    4,982
220; CORUMBA - 345;    7,884
5802; COTEGIPE - 230;    8,475
5216; COTEMINAS - 230;   11,862
4532; COXIPO - 230;    7,482
27; C. PAULISTA 2 - 500;    5,446
319; CONSE. PENA - 230;    6,847
8319; CRATO 2 - 230;   12,462
9104; U.CUBATAO - 230;    4,982
9105; CUBATAO - 230;    4,982
4515; CUIABA - 230;    7,556
4514; CUIABA - 500;    7,561
960; CURITIBA - 230;    4,982
959; CURITIBA - 525;    4,982
6641; CURRAL NOVO PIAUI - 230;   13,429
6640; CURRAL NOVO PIAUI - 500;   12,913
