NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;7,154;;17,215;;;;;;2
30256;#1AIRL-SP138; ;;6,821;;17,547;;;;;;2
30222;#1ASCH-SP138; ;;7,093;;17,276;;;;;;2
30244;#1ASCP-SP138; ;;6,821;;17,547;;;;;;2
30219;#1ASCS-SP138; ;;7,133;;17,236;;;;;;2
30143;#1BRAS-SP138; ;;6,821;;17,547;;;;;;2
2530;#1COSM-SP138; ;;7,154;;17,215;;;;;;2
30208;#1CRIS-SP138; ;;6,977;;17,392;;;;;;2
30214;#1ITAP-SP138; ;;6,977;;17,392;;;;;;2
30278;#1LIND-SP138; ;;6,977;;17,392;;;;;;2
30260;#1ORIO-SP138; ;;6,821;;17,547;;;;;;2
30265;#1PAU3-SP138; ;;6,821;;17,547;;;;;;2
30286;#1PIR2-SP138; ;;7,200;;17,169;;;;;;2
30269;#1PLAS-SP138; ;;6,821;;17,547;;;;;;2
30276;#1POLY-SP138; ;;7,154;;17,215;;;;;;2
30216;#1PRAD-SP138; ;;6,977;;17,392;;;;;;2
2391;#1REPL-SP138; ;;6,821;;17,547;;;;;;2
30254;#1RHOD-SP138; ;;6,821;;17,547;;;;;;2
30274;#1SANT-SP138; ;;7,154;;17,215;;;;;;2
30247;#1SYNG-SP138; ;;6,821;;17,547;;;;;;2
29983;#1USES-SP138; ;;7,154;;17,215;;;;;;2
30262;#1WMPA-SP138; ;;6,821;;17,547;;;;;;2
30252;#2ABL--SP138; ;;7,154;;17,215;;;;;;2
30257;#2AIRL-SP138; ;;6,822;;17,547;;;;;;2
30223;#2ASCH-SP138; ;;7,396;;16,973;;;;;;2
30245;#2ASCP-SP138; ;;6,822;;17,547;;;;;;2
30220;#2ASCS-SP138; ;;7,134;;17,235;;;;;;2
30142;#2BRAS-SP138; ;;6,822;;17,547;;;;;;2
30273;#2COSM-SP138; ;;7,154;;17,215;;;;;;2
30209;#2CRIS-SP138; ;;6,977;;17,392;;;;;;2
30271;#2INTP-SP138; ;;7,154;;17,215;;;;;;2
30215;#2ITAP-SP138; ;;6,977;;17,392;;;;;;2
30279;#2LIND-SP138; ;;6,977;;17,392;;;;;;2
30261;#2ORIO-SP138; ;;6,822;;17,547;;;;;;2
30266;#2PAU3-SP138; ;;6,821;;17,547;;;;;;2
30287;#2PIR2-SP138; ;;7,196;;17,173;;;;;;2
30270;#2PLAS-SP138; ;;7,154;;17,215;;;;;;2
30277;#2POLY-SP138; ;;7,154;;17,215;;;;;;2
30217;#2PRAD-SP138; ;;6,977;;17,392;;;;;;2
30255;#2RHOD-SP138; ;;6,822;;17,547;;;;;;2
30275;#2SABT-SP138; ;;7,154;;17,215;;;;;;2
30248;#2SYNG-SP138; ;;7,154;;17,215;;;;;;2
30272;#2USES-SP138; ;;7,154;;17,215;;;;;;2
30263;#2WMPA-SP138; ;;6,822;;17,547;;;;;;2
30412;#D1AGU-SP138; ;;7,317;;17,051;;;;;;2
28516;#GALVA-RJ138; ;;8,170;;16,199;;;;;;2
28428;#ROSTR-RJ069; ;;8,476;;15,893;;;;;;2
7312;14JULH-RS230; ;;6,094;;18,275;;;;;;1
7313;14JULHUHE013;B;98,0;6,094;;18,275;;;7166,09;;;1
35025;2.VEND-ES069; ;;9,039;;15,330;;;;;;2
2084;2MARIA-SP034; ;;6,983;1,2;17,385;;;;260,16;;2
6931;2VIZIN-PR138; ;;7,431;77,7;16,938;;;;15792,61;;1
33130;3LAG2--SP138; ;;8,626;18,0;15,742;;;;3390,93;;2
1412;3MAIO--MT138; ;;8,635;;15,734;;;;;;2
19582;3MAIO-PCH013;U;;;;15,734;;;;;;2
