BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    7,128
1206; AG.LINDAS230;    9,677
251; ACU II - 230;   14,044
11265; ACU III - 230;   13,642
11565; ACU III - 500;   13,365
7747; ABDON BATISTA - 230;    7,118
7744; ABDON BATISTA - 525;    6,834
9537; ABUNA - 230;    5,380
559; ACAILANDIA - 500;   11,696
55412; ACARAU II – 230;   12,613
12907; ACARAT CE - 230;   12,594
12902; ACARAT-CE500;   12,559
4475; ACESITA - 230;    7,686
3729; ADRIANOPOLIS - 345;    8,175
3728; ADRIANOPOLIS - 500;    8,316
1637; AIMORES - 230;    9,601
11760; ALAGOAS 2 - 230;   10,485
9002; ALEGRETE2 - 230;    5,623
56095; ALEX - 230;   13,494
362; ALTAMIRA - 230;   10,969
7758; ANASTACIO - 230;    7,365
2770; ANDIRA LESTE - 230;    6,643
540; ANGELIM - 500;   12,094
240; ANGELIM - 230;   11,980
3745; ANGRA - 500;    8,722
1172; ANHANGUERA GO - 230;    8,611
2901; ANHANGUERA SP - 230;    5,380
2900; ANHANGUERA - 345;    5,380
2957; APARECIDA - 230;    7,359
2758; ALTA PAULISTA - 400;    8,350
6601; APUCARANA - 230;    6,647
58771; LAGOA BARRO - 230;   12,547
11219; AQUIRAZ - 230;   12,195
1522; ARACUAI - 230;   10,944
11242; ARAPIRACA III - 230;    8,872
5203; ARARAQUARA 2 - 440;    8,513
5202; ARARAQUARA 2 - 500;    8,396
2630; ARARAQUARA - 440;    8,107
3852; ARARAQUARA - 500;    8,217
2673; ARARAS SP - 440;    7,386
38906; ARAXA 3 - 345;    8,750
12203; ARCOVERDE II - 230;   12,121
7749; AREIA - 230;    6,982
7748; AREIA - 525;    7,185
39813; ARINOS 2 - 500;   11,024
9520; ARIQUEMES - 230;    5,380
302; MOXOTO - 230;   13,011
2624; ASSIS - 440;    7,832
4282; ASSIS - 525;    7,783
2626; ASSIS 2 - 230;    7,373
2677; ATIBAIA 2 - 345;    6,222
7923; ATLANTIDA 2 - 230;    5,799
2786; AVARE - 230;    5,414
2617; AGUA VERMELHA - 500;    9,132
2618; AGUA VERMELHA - 440;    8,888
3947; BARRO ALTO - 230;   10,807
3605; BARRO BRANCO - 345;    8,034
4297; B. DOS COQUEIROS - 230;    9,358
229; B.ESPERANCA - 230;   12,100
4288; B. FLUMINENSE - 500;    8,322
7304; BARRA GRANDE - 230;    7,458
6608; BAIXO IGUACU PR - 230;    7,279
11050; B.JESUS II - 230;   11,438
3236; BARRA PEIXE - 230;    8,642
13103; BACAB - MA - 500;   12,013
9010; BAGE 2 - 230;    6,235
2733; BAGUACU - 440;    8,113
1645; BAGUARI - 230;    9,449
2920; B. SANTISTA - 230;    5,402
2919; B. SANTISTA - 345;    5,770
10410; BALBINA - 230;    8,821
215; BALSAS - 230;   11,431
222; BANABUIU - 230;   13,091
3909; BANDEIRANTE GO - 345;    9,515
2934; BANDEIRANTE SP - 345;    5,380
1480; BARBACENA - 345;    7,759
11286; BARREIRAS II - 230;   11,474
286; BARREIRAS - 230;   11,420
1482; BARREIRO - 345;    8,076
846; BARREIRAS - 500;   11,627
6627; BATEIAS - 230;    6,272
3696; BATEIAS 3 - 500;    6,962
6628; BATEIAS - 525;    6,910
2628; BAURU SP - 440;    7,418
1612; BARAO DE COCAIS 3 - 230;    7,832
1485; B.DESPACHO - 500;    9,362
529; B.ESPERANCA - 500;   11,984
26454; BETIM 6 -345;    8,297
7740; BAIXO IGUACU SC - 230;    5,595
7741; BIGUACU--525;    6,319
2638; BOM JARDIM - 440;    7,079
385; B.J.LAPA II - 230;   11,468
585; BJLAPAII - 500;   11,120
285; B.J.LAPA - 230;   11,467
35351; BRASILIA LESTE - 500;   10,038
7734; BLUMENAU - 230;    5,800
7733; BLUMENAU - 525;    6,321
220; BOM NOME - 230;   12,857
243; BONGI - 230;   11,038
2777; BOTUCATU - 230;    5,853
3936; BRASILIA GERAL - 230;    8,756
3920; BRAS. SUL - 230;    9,121
3919; BRAS. SUL -345;    9,598
30984; BRACEL - 440;    7,071
3300; BRASNORTE - 230;    8,389
1600; BRAUNA - 230;    9,141
205; BROT.MACAUBAS - 230;   12,465
376; BRUMADO II - 230;    9,302
38913; HELIO VALGAS MG - 345;   10,757
12318; BURITIRAMA - 500;   11,854
9266; CRUZ ALTA 2 - 230;    6,105
4481; CANA BRAVA - 230;   11,332
6615; C.COMPRIDO - 230;    6,246
270; CIC.DANTAS - 230;   11,704
11461; CAMPO FORMOSO - 230;   13,112
9020; C.INDUSTRIAL - 230;    5,918
236; COELHO NETO - 230;   10,190
11253; CURRAIS NOVOS II - 230;   13,620
3720; C. PAULISTA - 500;    8,237
38871; CACU - 230;    9,358
2649; CABREUVA - 230;    5,867
2647; CABREUVA - 440;    6,750
58008; CAETES II - 230;   12,121
51457; CAMAQUA 3 - 230;    6,122
574; CAMACARI - 500;   11,220
284; CAMACARI IV - 230;   10,547
584; CAMACARI IV - 500;   11,112
9030; CAMAQUA - 230;    5,957
3701; CAMPINAS - 345;    6,713
3700; CAMPINAS - 500;    7,809
38951; CAMPOS 2 - 500;    8,799
9015; CAMPO BOM - 230;    5,380
3785; CAMPOS - 345;    8,933
