GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.817,10.493,10.849,11.121,11.11,11.498,11.5,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003,11.449000000000003,11.429000000000004,11.409000000000004
EOL ACACIA,0,10.456,10.747,10.421,10.772,11.066,11.057,11.439,11.44,11.508,11.488,11.468,11.448,11.428,11.408000000000001,11.388000000000002,11.368000000000002,11.348000000000003
EOL ACARI (RIACHAO I),0,10.042,10.75,11.692,12.835,12.615,12.691,12.863,12.891,13.006,12.986,12.966000000000001,12.946000000000002,12.926000000000002,12.906000000000002,12.886000000000003,12.866000000000003,12.846000000000004
EOL ACAUA,0,10.528,10.817,10.493,10.849,11.208,11.179,11.59,11.594,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004
EOL ACAUA I,0,10.986,11.758,12.887,14.043,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL ACAUA II,0,10.986,11.758,12.887,14.043,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL ACAUA III,0,10.986,11.758,12.887,14.043,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL AFONSO BEZERRA I,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL AFONSO BEZERRA II,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL AFONSO BEZERRA III,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL AFONSO BEZERRA IV,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.75,11.692,12.835,12.615,12.691,12.863,12.891,13.006,12.986,12.966000000000001,12.946000000000002,12.926000000000002,12.906000000000002,12.886000000000003,12.866000000000003,12.846000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,11.591,12.678,13.799,13.727,13.826,13.997,14.044,14.202,14.182,14.162,14.142000000000001,14.122000000000002,14.102000000000002,14.082000000000003,14.062000000000003,14.042000000000003
EOL ALEGRIA II(NEW ENERGY),0,10.878,11.591,12.678,13.799,13.727,13.826,13.997,14.044,14.202,14.182,14.162,14.142000000000001,14.122000000000002,14.102000000000002,14.082000000000003,14.062000000000003,14.042000000000003
EOL ALTO DOS VENTOS II A,0,0,0,0,0,13.19,13.269,13.485,13.522,13.66,13.64,13.620000000000001,13.600000000000001,13.580000000000002,13.560000000000002,13.540000000000003,13.520000000000003,13.500000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,13.19,13.269,13.485,13.522,13.66,13.64,13.620000000000001,13.600000000000001,13.580000000000002,13.560000000000002,13.540000000000003,13.520000000000003,13.500000000000004
EOL ALVORADA,0,10.554,10.841,10.537,10.901,11.047,11.037,11.412,11.413,11.478,11.458,11.438,11.418000000000001,11.398000000000001,11.378000000000002,11.358000000000002,11.338000000000003,11.318000000000003
EOL AMESCLA,0,10.165,10.468,10.102,10.422,10.865,10.853,11.23,11.229,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AMETISTA,0,10.554,10.841,10.537,10.901,11.047,11.037,11.412,11.413,11.478,11.458,11.438,11.418000000000001,11.398000000000001,11.378000000000002,11.358000000000002,11.338000000000003,11.318000000000003
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,10.75,11.692,12.835,12.615,12.691,12.863,12.891,13.006,12.986,12.966000000000001,12.946000000000002,12.926000000000002,12.906000000000002,12.886000000000003,12.866000000000003,12.846000000000004
EOL ANEMUS WIND 1,0,10.97,11.737,12.87,14.034,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL ANEMUS WIND 2,0,10.97,11.737,12.87,14.034,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL ANEMUS WIND 3,0,10.97,11.737,12.87,14.034,13.457,13.552,13.726,13.767,13.913,13.893,13.873000000000001,13.853000000000002,13.833000000000002,13.813000000000002,13.793000000000003,13.773000000000003,13.753000000000004
EOL ANGELIM,0,10.165,10.468,10.102,10.422,10.824,10.812,11.186,11.185,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL ANGICAL,0,10.528,10.817,10.493,10.849,11.011,10.998,11.38,11.381,11.445,11.425,11.405000000000001,11.385000000000002,11.365000000000002,11.345000000000002,11.325000000000003,11.305000000000003,11.285000000000004
EOL ANGICAL 2,0,10.528,10.817,10.493,10.849,11.208,11.179,11.59,11.594,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004
EOL ANGICO,0,10.456,10.747,10.421,10.772,11.066,11.057,11.439,11.44,11.508,11.488,11.468,11.448,11.428,11.408000000000001,11.388000000000002,11.368000000000002,11.348000000000003
EOL ANGICOS I,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL ANGICOS II,0,10.878,11.591,12.678,13.799,13.859,13.96,14.138,14.186,14.349,14.329,14.309000000000001,14.289000000000001,14.269000000000002,14.249000000000002,14.229000000000003,14.209000000000003,14.189000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,10.75,11.692,12.835,12.615,12.691,12.863,12.891,13.006,12.986,12.966000000000001,12.946000000000002,12.926000000000002,12.906000000000002,12.886000000000003,12.866000000000003,12.846000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.817,10.493,10.849,11.208,11.179,11.59,11.594,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004
EOL ARARINHA AZUL,0,10.528,10.817,10.493,10.849,11.208,11.179,11.59,11.594,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,10.75,11.692,12.835,12.615,12.691,12.863,12.891,13.006,12.986,12.966000000000001,12.946000000000002,12.926000000000002,12.906000000000002,12.886000000000003,12.866000000000003,12.846000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,11.388,12.331,13.426,12.985,13.058,13.268,13.302,13.432,13.412,13.392000000000001,13.372000000000002,13.352000000000002,13.332000000000003,13.312000000000003,13.292000000000003,13.272000000000004
EOL AROEIRA 1,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 2,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 3,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 4,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 5,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 6,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 7,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL AROEIRA 8,0,10.81,11.123,11.254,11.855,11.249,11.253,11.217,11.223,11.279,11.259,11.239,11.219000000000001,11.199000000000002,11.179000000000002,11.159000000000002,11.139000000000003,11.119000000000003
EOL ASA BRANCA I,0,10.64,11.388,12.331,13.426,12.985,13.058,13.268,13.302,13.432,13.412,13.392000000000001,13.372000000000002,13.352000000000002,13.332000000000003,13.312000000000003,13.292000000000003,13.272000000000004
EOL ASA BRANCA II,0,10.64,11.388,12.331,13.426,12.985,13.058,13.268,13.302,13.432,13.412,13.392000000000001,13.372000000000002,13.352000000000002,13.332000000000003,13.312000000000003,13.292000000000003,13.272000000000004
