NUMBER,OP,TYPE,NAME,VOLT,PHASE,MUST,UF,SS,CYCLE,SOURCE
    1,L,1,PAF1-1UHE013,1000,46.7, 110.,  2, 3,2029,EPE
    4,L,1,PAF2A1UHE013,1000,46.8,  70.,  2, 3,2029,EPE
    5,L,1,PAF2A2UHE013,1000,47.1,  70.,  2, 3,2029,EPE
    6,L,1,PAF2A3UHE013,1000,49.5,  70.,  2, 3,2029,EPE
    7,L,1,PAF2B1UHE013,1000,44.9,  51.,  2, 3,2029,EPE
    8,L,1,PAF2B2UHE013,1000,45.9,  51.,  2, 3,2029,EPE
    9,L,1,PAF2B3UHE013,1000,45.9,  51.,  2, 3,2029,EPE
   10,L,1,PAF3-1UHE013,1000,45.9, 151.,  2, 3,2029,EPE
   11,L,1,PAF3-2UHE013,1000,45.3, 151.,  2, 3,2029,EPE
   14,L,1,PAF4-1UHE013,1000,44.3, 912.,  2, 3,2029,EPE
   21,L,1,SOBRA1UHE013,1000,47.6, 420.,  2, 3,2029,EPE
   22,L,1,SOBRM2SIN013,1000, 43.,   0.,  2, 3,2029,EPE
   28,L,1,ASALE1UHE013,1000,46.1, 67.2,  1, 3,2029,EPE
   29,L,1,ASALE2UHE013,1000,45.1, 67.2,  1, 3,2029,EPE
   33,L,1,LGONZ1UHE013,1000,44.3, 370., 14, 3,2029,EPE
   34,L,1,LGONZ2UHE013,1000,44.3, 370., 14, 3,2029,EPE
   35,L, ,LGONZA-PE000,1000,40.2,     , 14, 3,2029,EPE
   44,L,1,BESPE1UHE013,1000,37.1, 47.1, 15, 3,2029,EPE
   46,L,1,BESPE3UHE013,1000,37.7, 53.1, 15, 3,2029,EPE
   47,D,1,BESPM4SIN013,1000,17.1,   0., 15, 3,2029,EPE
   48,L,1,PCAVA1UHE013,1000,24.8,84.32,  2, 3,2029,EPE
   50,L,1,TUC1-5UHE013,1000,63.8,1540., 11, 4,2029,EPE
   52,L,1,TUC1-3UHE013,1000,64.5, 690., 11, 4,2029,EPE
   54,L,1,TUC1-4UHE013,1000,64.5,1040., 11, 4,2029,EPE
   63,L,1,FUNIL1UHE013,1000,22.7,15.63,  2, 3,2029,EPE
   68,D,1,RGONCAUHE013,1000,-17.,   0., 15, 3,2029,EPE
