DE,NOME_DE,PARA,NOME_PARA,CIRC,EST
59393,CORRUPEOL034,59400,C.BRW2-BA034, 1,L
59400,C.BRW2-BA034,59393,CORRUPEOL034, 1,L
59393,CORRUPEOL034,59400,C.BRW2-BA034, 2,L
59400,C.BRW2-BA034,59393,CORRUPEOL034, 2,L
59394,TAMMIREOL034,59398,C.BRW1-BA034, 1,L
59398,C.BRW1-BA034,59394,TAMMIREOL034, 1,L
59394,TAMMIREOL034,59398,C.BRW1-BA034, 2,L
59398,C.BRW1-BA034,59394,TAMMIREOL034, 2,L
59395,TEIU--EOL034,59398,C.BRW1-BA034, 1,L
59398,C.BRW1-BA034,59395,TEIU--EOL034, 1,L
59395,TEIU--EOL034,59398,C.BRW1-BA034, 2,L
59398,C.BRW1-BA034,59395,TEIU--EOL034, 2,L
59396,ANGICAEOL034,59398,C.BRW1-BA034, 1,L
59398,C.BRW1-BA034,59396,ANGICAEOL034, 1,L
59396,ANGICAEOL034,59398,C.BRW1-BA034, 2,L
59398,C.BRW1-BA034,59396,ANGICAEOL034, 2,L
   33,LGONZ1UHE013,   35,LGONZA-PE000, 1,L
   35,LGONZA-PE000,   33,LGONZ1UHE013, 1,L
   34,LGONZ2UHE013,   35,LGONZA-PE000, 1,L
   35,LGONZA-PE000,   34,LGONZ2UHE013, 1,L
  597,TUCR-1-PA500,   72,TUC1-ASIN013, 1, 
   72,TUC1-ASIN013,  597,TUCR-1-PA500, 1, 
  597,TUCR-1-PA500,   73,TUC1-BSIN013, 1, 
   73,TUC1-BSIN013,  597,TUCR-1-PA500, 1, 
  570,ESTREI-MA500,   80,ESTREIUHE013, 1,L
   80,ESTREIUHE013,  570,ESTREI-MA500, 1,L
12104,PERNA3-PE230,  104,PERNA3UTE013, 1,L
  104,PERNA3UTE013,12104,PERNA3-PE230, 1,L
  381,POLO---BA230,  108,MURICYUTE013, 1,L
  108,MURICYUTE013,  381,POLO---BA230, 1,L
  381,POLO---BA230,  109,CAMAPAUTE007, 1,L
  109,CAMAPAUTE007,  381,POLO---BA230, 1,L
  110,PROSPE-BA230,  284,CAMAC4-BA230, 1, 
  284,CAMAC4-BA230,  110,PROSPE-BA230, 1, 
  110,PROSPE-BA230,  111,PROSP2UTE013, 1,L
  111,PROSP2UTE013,  110,PROSPE-BA230, 1,L
  110,PROSPE-BA230,  112,PROSP1UTE013, 1,L
  112,PROSP1UTE013,  110,PROSPE-BA230, 1,L
  115,P.FRAN-MA138,  415,P.FRAN-MA000, 1, 
  415,P.FRAN-MA000,  115,P.FRAN-MA138, 1, 
  115,P.FRAN-MA138,  815,P.FRA2-MA000, 1, 
  815,P.FRA2-MA000,  115,P.FRAN-MA138, 1, 
  115,P.FRAN-MA138,  816,P.FRA3-MA000, 1, 
  816,P.FRA3-MA000,  115,P.FRAN-MA138, 1, 
  115,P.FRAN-MA138, 9800,TOCANT-TO138, 1, 
 9800,TOCANT-TO138,  115,P.FRAN-MA138, 1, 
  115,P.FRAN-MA138, 9800,TOCANT-TO138, 2, 
 9800,TOCANT-TO138,  115,P.FRAN-MA138, 2, 
  120,B.NOME-PE138,58098,S.SALG-PE138, 1, 
58098,S.SALG-PE138,  120,B.NOME-PE138, 1, 
  120,B.NOME-PE138,58098,S.SALG-PE138, 2, 
58098,S.SALG-PE138,  120,B.NOME-PE138, 2, 
  280,JACARA-BA230,  128,GLOB1-UTE013, 1,L
  128,GLOB1-UTE013,  280,JACARA-BA230, 1,L
  280,JACARA-BA230,  129,GLOB2-UTE013, 1,L
  129,GLOB2-UTE013,  280,JACARA-BA230, 1,L
  138,EPASA--PB230,  130,TERMPBUTE013, 1,L
  130,TERMPBUTE013,  138,EPASA--PB230, 1,L
  131,MIRAND-MA138,  531,MIRA1B-MA000, 1, 
  531,MIRA1B-MA000,  131,MIRAND-MA138, 1, 
  131,MIRAND-MA138,  731,MIRA2B-MA000, 1, 
  731,MIRA2B-MA000,  131,MIRAND-MA138, 1, 
  131,MIRAND-MA138,  732,MIRAN3-MA000, 1, 
  732,MIRAN3-MA000,  131,MIRAND-MA138, 1, 
  138,EPASA--PB230,  137,TERMNEUTE013, 1,L
  137,TERMNEUTE013,  138,EPASA--PB230, 1,L
  138,EPASA--PB230,  248,MUSSU2-PB230, 1, 
  248,MUSSU2-PB230,  138,EPASA--PB230, 1, 
  649,PIRAPA-PE069,  139,CABO--UTE013, 1,L
  139,CABO--UTE013,  649,PIRAPA-PE069, 1,L
  141,SUAPE--PE230,  147,SUAPE1-PE000, 1, 
  147,SUAPE1-PE000,  141,SUAPE--PE230, 1, 
  141,SUAPE--PE230,  148,SUAPE2-PE000, 1, 
  148,SUAPE2-PE000,  141,SUAPE--PE230, 1, 
  141,SUAPE--PE230,  149,SUAPE3-PE000, 1, 
  149,SUAPE3-PE000,  141,SUAPE--PE230, 1, 
  141,SUAPE--PE230,  353,SUAPE2-PE230, 1, 
  353,SUAPE2-PE230,  141,SUAPE--PE230, 1, 
  141,SUAPE--PE230,  353,SUAPE2-PE230, 2, 
  353,SUAPE2-PE230,  141,SUAPE--PE230, 2, 
  142,MARAC1-CE069,  102,MARAC1UTE013, 1,L
  102,MARAC1UTE013,  142,MARAC1-CE069, 1,L
  142,MARAC1-CE069,  625,FORTAL-CE069, 1, 
  625,FORTAL-CE069,  142,MARAC1-CE069, 1, 
  145,S.CRUZ-RN138,  645,S.CRUZ-RN069, 1, 
  645,S.CRUZ-RN069,  145,S.CRUZ-RN138, 1, 
  145,S.CRUZ-RN138,  645,S.CRUZ-RN069, 2, 
  645,S.CRUZ-RN069,  145,S.CRUZ-RN138, 2, 
  145,S.CRUZ-RN138,  694,S.CRUZ-PB069, 1, 
  694,S.CRUZ-PB069,  145,S.CRUZ-RN138, 1, 
  146,PILOES-PB138,  445,PARAIS-RN138, 1, 
  445,PARAIS-RN138,  146,PILOES-PB138, 1, 
   96,SUAPE1UTE013,  147,SUAPE1-PE000, 1,L
  147,SUAPE1-PE000,   96,SUAPE1UTE013, 1,L
   97,SUAPE2UTE013,  147,SUAPE1-PE000, 1,L
  147,SUAPE1-PE000,   97,SUAPE2UTE013, 1,L
   98,SUAPE3UTE013,  148,SUAPE2-PE000, 1,L
  148,SUAPE2-PE000,   98,SUAPE3UTE013, 1,L
   99,SUAPE4UTE013,  148,SUAPE2-PE000, 1,L
  148,SUAPE2-PE000,   99,SUAPE4UTE013, 1,L
  100,SUAPE5UTE013,  149,SUAPE3-PE000, 1,L
  149,SUAPE3-PE000,  100,SUAPE5UTE013, 1,L
  101,SUAPE6UTE013,  149,SUAPE3-PE000, 1,L
  149,SUAPE3-PE000,  101,SUAPE6UTE013, 1,L
  150,CAMAC1-BA069,  140,BAHIA1UTE013, 1,L
  140,BAHIA1UTE013,  150,CAMAC1-BA069, 1,L
  150,CAMAC1-BA069,  140,BAHIA1UTE013, 2,L
  140,BAHIA1UTE013,  150,CAMAC1-BA069, 2,L
  151,A?U2---RN138,  152,S.MATO-RN138, 1, 
  152,S.MATO-RN138,  151,A?U2---RN138, 1, 
  151,A?U2---RN138,  152,S.MATO-RN138, 2, 
  152,S.MATO-RN138,  151,A?U2---RN138, 2, 
  151,A?U2---RN138,56462,M.SECO-RN138, 1, 
56462,M.SECO-RN138,  151,A?U2---RN138, 1, 
  152,S.MATO-RN138,  852,S.MATO-RN000, 1, 
