Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,497;  1,789;  4,143;  5,351;;;  5,351;
1206; AG.LINDAS230;; 10,139;  7,802;  8,971;  8,638;;;  8,638;
251; ACU II - 230;; 11,920; 21,555; 16,738; 16,405;;; 16,405;
11265; ACU III - 230;; 11,720; 20,904; 16,312; 15,979;;; 15,979;
11565; ACU III - 500;; 11,587; 20,275; 15,931; 15,598;;; 15,598;
7747; ABDON BATISTA - 230;;  8,021;  0,000;  4,010;  5,351;;;  5,351;
7744; ABDON BATISTA - 525;;  7,449;  0,000;  3,725;  5,351;;;  5,351;
9537; ABUNA - 230;;  2,768;  0,000;  1,384;  5,351;;;  5,351;
559; ACAILANDIA - 500;; 10,952; 15,009; 12,980; 12,648;;; 12,648;
55412; ACARAU II – 230;; 10,622; 17,679; 14,151; 13,818;;; 13,818;
12907; ACARAT CE - 230;; 10,627; 17,637; 14,132; 13,799;;; 13,799;
12902; ACARAT-CE500;; 10,652; 17,549; 14,101; 13,768;;; 13,768;
4475; ACESITA - 230;;  8,199;  6,667;  7,433;  7,100;;;  7,100;
3729; ADRIANOPOLIS - 345;;  8,556;  5,124;  6,840;  6,507;;;  6,507;
3728; ADRIANOPOLIS - 500;;  8,791;  4,919;  6,855;  6,522;;;  6,522;
1637; AIMORES - 230;; 10,388;  8,116;  9,252;  8,919;;;  8,919;
11760; ALAGOAS 2 - 230;;  8,194; 14,562; 11,378; 11,045;;; 11,045;
9002; ALEGRETE2 - 230;;  6,973;  0,000;  3,487;  5,351;;;  5,351;
56095; ALEX - 230;; 11,794; 21,857; 16,825; 16,493;;; 16,493;
362; ALTAMIRA - 230;;  9,911; 13,936; 11,923; 11,591;;; 11,591;
7758; ANASTACIO - 230;;  7,815;  1,926;  4,870;  5,351;;;  5,351;
2770; ANDIRA LESTE - 230;;  7,145;  0,493;  3,819;  5,351;;;  5,351;
540; ANGELIM - 500;; 10,186; 18,394; 14,290; 13,957;;; 13,957;
240; ANGELIM - 230;; 10,040; 18,423; 14,231; 13,899;;; 13,899;
3745; ANGRA - 500;;  9,633;  5,243;  7,438;  7,106;;;  7,106;
1172; ANHANGUERA GO - 230;;  9,206;  5,196;  7,201;  6,868;;;  6,868;
2901; ANHANGUERA SP - 230;;  3,697;  0,000;  1,848;  5,351;;;  5,351;
2900; ANHANGUERA - 345;;  4,036;  0,000;  2,018;  5,351;;;  5,351;
2957; APARECIDA - 230;;  8,072;  3,621;  5,846;  5,514;;;  5,514;
2758; ALTA PAULISTA - 400;;  9,009;  2,559;  5,784;  5,452;;;  5,452;
6601; APUCARANA - 230;;  6,744;  0,000;  3,372;  5,351;;;  5,351;
58771; LAGOA BARRO - 230;; 11,614; 16,654; 14,134; 13,801;;; 13,801;
11219; AQUIRAZ - 230;;  9,620; 18,699; 14,159; 13,827;;; 13,827;
1522; ARACUAI - 230;; 12,773; 10,420; 11,597; 11,264;;; 11,264;
11242; ARAPIRACA III - 230;;  6,411; 14,647; 10,529; 10,196;;; 10,196;
5203; ARARAQUARA 2 - 440;;  8,470;  3,160;  5,815;  5,482;;;  5,482;
