BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   18,124;         ;         ;         
2840; AGUA AZUL - 138;   18,124;;;
30951; AGUA AZUL - 440                                                      ;   17,817;         ;         ;         
30951; AGUA AZUL - 440;   17,817;;;
 1206; AG.LINDAS230                                                         ;   13,750;         ;         ;         
1206; AG.LINDAS230;   13,750;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,931;         ;         ;         
1943; ANGRA AMPLA - 138;   14,931;;;
  151; ACU II - 138                                                         ;    7,998;         ;         ;         
151; ACU II - 138;    7,998;;;
  251; ACU II - 230                                                         ;    7,998;         ;         ;         
251; ACU II - 230;    7,998;;;
11265; ACU III - 230                                                        ;    7,998;         ;         ;         
11265; ACU III - 230;    7,998;;;
11565; ACU III - 500                                                        ;    7,998;         ;         ;         
11565; ACU III - 500;    7,998;;;
  600; ABAIXADORA - 69                                                      ;    7,998;         ;         ;         
600; ABAIXADORA - 69;    7,998;;;
 7747; ABDON BATISTA - 230                                                  ;   18,438;         ;         ;         
7747; ABDON BATISTA - 230;   18,438;;;
 7744; ABDON BATISTA - 525                                                  ;   18,701;         ;         ;         
7744; ABDON BATISTA - 525;   18,701;;;
 9590; ABUNA - 13,8                                                         ;   23,184;         ;         ;         
9590; ABUNA - 13,8;   23,184;;;
 9636; ABUNA - 138                                                          ;   23,184;         ;         ;         
9636; ABUNA - 138;   23,184;;;
 9537; ABUNA - 230                                                          ;   23,184;         ;         ;         
9537; ABUNA - 230;   23,184;;;
  559; ACAILANDIA - 500                                                     ;    9,764;         ;         ;         
559; ACAILANDIA - 500;    9,764;;;
55412; ACARAU II – 230                                                      ;    8,665;         ;         ;         
55412; ACARAU II – 230;    8,665;;;
12907; ACARAT CE - 230                                                      ;    8,683;         ;         ;         
12907; ACARAT CE - 230;    8,683;;;
12902; ACARAT-CE500                                                         ;    8,713;         ;         ;         
12902; ACARAT-CE500;    8,713;;;
 4475; ACESITA - 230                                                        ;   15,301;         ;         ;         
4475; ACESITA - 230;   15,301;;;
 3155; EMPLAL - 138                                                         ;   15,743;         ;         ;         
3155; EMPLAL - 138;   15,743;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,341;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,341;;;
 3729; ADRIANOPOLIS - 345                                                   ;   15,284;         ;         ;         
3729; ADRIANOPOLIS - 345;   15,284;;;
 3728; ADRIANOPOLIS - 500                                                   ;   15,049;         ;         ;         
3728; ADRIANOPOLIS - 500;   15,049;;;
 3031; AGUAI - 138                                                          ;   17,324;         ;         ;         
3031; AGUAI - 138;   17,324;;;
 1637; AIMORES - 230                                                        ;   13,519;         ;         ;         
1637; AIMORES - 230;   13,519;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,164;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,164;;;
18761; ALAGOINHA 2 - 69                                                     ;   11,566;         ;         ;         
18761; ALAGOINHA 2 - 69;   11,566;;;
11760; ALAGOAS 2 - 230                                                      ;   11,566;         ;         ;         
11760; ALAGOAS 2 - 230;   11,566;;;
 7591; ALEGRETE2 - 69                                                       ;   19,903;         ;         ;         
7591; ALEGRETE2 - 69;   19,903;;;
 9002; ALEGRETE2 - 230                                                      ;   19,903;         ;         ;         
9002; ALEGRETE2 - 230;   19,903;;;
56095; ALEX - 230                                                           ;    7,998;         ;         ;         
56095; ALEX - 230;    7,998;;;
  862; ALTAMIRA - 69                                                        ;   10,764;         ;         ;         
862; ALTAMIRA - 69;   10,764;;;
  362; ALTAMIRA - 230                                                       ;   10,764;         ;         ;         
362; ALTAMIRA - 230;   10,764;;;
 2219; AMPARO - 138                                                         ;   17,937;         ;         ;         
2219; AMPARO - 138;   17,937;;;
46950; ANASTACIO - 138                                                      ;   17,248;         ;         ;         
46950; ANASTACIO - 138;   17,248;;;
 7758; ANASTACIO - 230                                                      ;   17,380;         ;         ;         
7758; ANASTACIO - 230;   17,380;;;
 2770; ANDIRA LESTE - 230                                                   ;   18,239;         ;         ;         
2770; ANDIRA LESTE - 230;   18,239;;;
 6834; ANDIRA LESTE - 138                                                   ;   18,401;         ;         ;         
6834; ANDIRA LESTE - 138;   18,401;;;
 3132; ANDRADINA - 138                                                      ;   15,768;         ;         ;         
3132; ANDRADINA - 138;   15,768;;;
  540; ANGELIM - 500                                                        ;    8,600;         ;         ;         
540; ANGELIM - 500;    8,600;;;
  640; ANGELIM - 69                                                         ;    8,660;         ;         ;         
640; ANGELIM - 69;    8,660;;;
  240; ANGELIM - 230                                                        ;    8,658;         ;         ;         
240; ANGELIM - 230;    8,658;;;
 3746; ANGRA 1 - 138                                                        ;   14,772;         ;         ;         
3746; ANGRA 1 - 138;   14,772;;;
 3745; ANGRA - 500                                                          ;   14,501;         ;         ;         
3745; ANGRA - 500;   14,501;;;
 1185; ANHANGUERA - 69                                                      ;   15,400;         ;         ;         
1185; ANHANGUERA - 69;   15,400;;;
 1171; ANHANGUERA - 138                                                     ;   15,419;         ;         ;         
1171; ANHANGUERA - 138;   15,419;;;
 1172; ANHANGUERA GO - 230                                                  ;   15,400;         ;         ;         
1172; ANHANGUERA GO - 230;   15,400;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,520;         ;         ;         
2901; ANHANGUERA SP - 230;   20,520;;;
