BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,374
1206; AG.LINDAS230;    8,639
251; ACU II - 230;   16,281
11265; ACU III - 230;   15,854
11565; ACU III - 500;   15,471
7747; ABDON BATISTA - 230;    5,374
7744; ABDON BATISTA - 525;    5,374
9537; ABUNA - 230;    5,374
559; ACAILANDIA - 500;   12,631
55412; ACARAU II – 230;   13,732
12907; ACARAT CE - 230;   13,713
12902; ACARAT-CE500;   13,684
4475; ACESITA - 230;    7,086
3729; ADRIANOPOLIS - 345;    7,103
3728; ADRIANOPOLIS - 500;    7,338
1637; AIMORES - 230;    8,870
11760; ALAGOAS 2 - 230;   10,827
9002; ALEGRETE2 - 230;    5,374
56095; ALEX - 230;   16,368
362; ALTAMIRA - 230;   11,630
7758; ANASTACIO - 230;    5,374
2770; ANDIRA LESTE - 230;    5,374
540; ANGELIM - 500;   13,797
240; ANGELIM - 230;   13,739
3745; ANGRA - 500;    7,887
1172; ANHANGUERA GO - 230;    6,987
2901; ANHANGUERA SP - 230;    5,374
2900; ANHANGUERA - 345;    5,374
2957; APARECIDA - 230;    6,225
2758; ALTA PAULISTA - 400;    6,139
6601; APUCARANA - 230;    5,374
58771; LAGOA BARRO - 230;   13,665
11219; AQUIRAZ - 230;   13,680
1522; ARACUAI - 230;   10,790
11242; ARAPIRACA III - 230;   10,002
5203; ARARAQUARA 2 - 440;    6,338
5202; ARARAQUARA 2 - 500;    6,830
2630; ARARAQUARA - 440;    5,858
3852; ARARAQUARA - 500;    6,562
2673; ARARAS SP - 440;    5,374
38906; ARAXA 3 - 345;    8,083
12203; ARCOVERDE II - 230;   13,905
7749; AREIA - 230;    5,374
7748; AREIA - 525;    5,374
39813; ARINOS 2 - 500;   10,224
9520; ARIQUEMES - 230;    5,374
302; MOXOTO - 230;   14,862
2624; ASSIS - 440;    5,460
4282; ASSIS - 525;    5,374
2626; ASSIS 2 - 230;    5,374
2677; ATIBAIA 2 - 345;    5,374
7923; ATLANTIDA 2 - 230;    5,374
2786; AVARE - 230;    5,374
2617; AGUA VERMELHA - 500;    7,493
2618; AGUA VERMELHA - 440;    7,214
3947; BARRO ALTO - 230;   10,440
3605; BARRO BRANCO - 345;    7,405
4297; B. DOS COQUEIROS - 230;    9,141
229; B.ESPERANCA - 230;   12,856
4288; B. FLUMINENSE - 500;    7,513
7304; BARRA GRANDE - 230;    5,374
6608; BAIXO IGUACU PR - 230;    5,374
11050; B.JESUS II - 230;   12,522
3236; BARRA PEIXE - 230;    6,205
13103; BACAB - MA - 500;   13,020
9010; BAGE 2 - 230;    5,374
2733; BAGUACU - 440;    5,908
1645; BAGUARI - 230;    8,926
2920; B. SANTISTA - 230;    5,374
2919; B. SANTISTA - 345;    5,374
10410; BALBINA - 230;   10,095
215; BALSAS - 230;   12,618
222; BANABUIU - 230;   14,716
3909; BANDEIRANTE GO - 345;    8,147
2934; BANDEIRANTE SP - 345;    5,374
1480; BARBACENA - 345;    6,899
11286; BARREIRAS II - 230;   10,780
286; BARREIRAS - 230;   10,430
1482; BARREIRO - 345;    7,561
846; BARREIRAS - 500;   11,872
6627; BATEIAS - 230;    5,374
3696; BATEIAS 3 - 500;    5,374
6628; BATEIAS - 525;    5,374
2628; BAURU SP - 440;    5,374
1612; BARAO DE COCAIS 3 - 230;    7,169
1485; B.DESPACHO - 500;    8,529
529; B.ESPERANCA - 500;   12,977
26454; BETIM 6 -345;    7,780
7740; BAIXO IGUACU SC - 230;    5,374
7741; BIGUACU--525;    5,374
2638; BOM JARDIM - 440;    5,374
385; B.J.LAPA II - 230;   11,329
585; BJLAPAII - 500;   11,194
285; B.J.LAPA - 230;   11,328
35351; BRASILIA LESTE - 500;    9,252
7734; BLUMENAU - 230;    5,374
7733; BLUMENAU - 525;    5,374
220; BOM NOME - 230;   15,084
243; BONGI - 230;   12,153
2777; BOTUCATU - 230;    5,374
3936; BRASILIA GERAL - 230;    7,789
3920; BRAS. SUL - 230;    8,141
3919; BRAS. SUL -345;    8,677
3300; BRASNORTE - 230;    5,813
1600; BRAUNA - 230;    8,545
205; BROT.MACAUBAS - 230;   12,462
376; BRUMADO II - 230;    9,085
12318; BURITIRAMA - 500;   12,789
38913; HELIO VALGAS MG - 345;   10,096
9266; CRUZ ALTA 2 - 230;    5,374
4481; CANA BRAVA - 230;   10,988
6615; C.COMPRIDO - 230;    5,374
270; CIC.DANTAS - 230;   13,634
11461; CAMPO FORMOSO - 230;   13,444
9020; C.INDUSTRIAL - 230;    5,374
236; COELHO NETO - 230;   10,962
11253; CURRAIS NOVOS II - 230;   15,653
3720; C. PAULISTA - 500;    7,610
38871; CACU - 230;    9,141
2649; CABREUVA - 230;    5,374
2647; CABREUVA - 440;    5,374
58008; CAETES II - 230;   13,905
51457; CAMAQUA 3 - 230;    5,374
574; CAMACARI - 500;   11,387
284; CAMACARI IV - 230;   10,761
584; CAMACARI IV - 500;   11,343
9030; CAMAQUA - 230;    5,374
3701; CAMPINAS - 345;    5,374
3700; CAMPINAS - 500;    5,483
38951; CAMPOS 2 - 500;    8,283
9015; CAMPO BOM - 230;    5,374
3785; CAMPOS - 345;    8,229
38873; CANARANA CMT - 230;    5,374
9283; CANDELARIA 2 - 230;    5,374
9040; CANDIOTA 2 - 230;    5,374
7753; CANDIOTA 2 - 525;    5,374
50209; CANDIOTA - 230;    5,374
9045; CANOA 1 - 230;    5,374
9050; CANOAS 2 - 230;    5,374
7778; CANOINHA - 230;    5,374
50215; CAPIVARI-230;    5,374
50212; CAPIVARI-525;    5,374
2622; CAPIVARA - 440;    5,839
1202; CARAJAS GO - 230;    6,774
916; CARAJAS PA - 230;   11,655
2966; CARBOCLORO - 230;    5,374
6624; CASCAVEL - 230;    5,374
44900; CASCAVEL NORT - 230;    5,374
6625; CASCAVEL OESTE - 230;    5,374
6626; CASCAVOE - 525;    5,374
6762; CAMPO ASSOBIO - 230;    5,374
235; CASTANHA - 230;   10,227
51704; CASTERTECH - 230;    5,374
7023; CASTRO NORTE - 230;    5,374
272; CATU - 230;   10,301
218; CAIUPE - 230;   13,487
9062; CAXIAS SUL 2 - 230;    5,374
9065; CAXIAS 5 -230;    5,374
9066; CAXIAS 6 - 230;    5,374
46948; CAXIAS - 230;    5,374
