GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.863,10.503,10.857,11.109,11.103,11.481,11.187,11.203,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003
EOL ACACIA,0,10.456,10.793,10.431,10.779,11.023,11.015,11.389,11.094,11.11,11.09,11.07,11.05,11.030000000000001,11.010000000000002,10.990000000000002,10.970000000000002,10.950000000000003
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.873,14.501,14.588,15.09,14.925,14.946,14.926,14.906,14.886000000000001,14.866000000000001,14.846000000000002,14.826000000000002,14.806000000000003,14.786000000000003
EOL ACAUA,0,10.528,10.863,10.503,10.857,11.109,11.103,11.481,11.187,11.203,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003
EOL ACAUA I,0,10.986,11.816,12.935,14.076,15.367,15.472,15.933,15.779,15.802,15.782,15.762,15.742,15.722000000000001,15.702000000000002,15.682000000000002,15.662000000000003,15.642000000000003
EOL ACAUA II,0,10.986,11.816,12.935,14.076,15.367,15.472,15.933,15.779,15.802,15.782,15.762,15.742,15.722000000000001,15.702000000000002,15.682000000000002,15.662000000000003,15.642000000000003
EOL ACAUA III,0,10.986,11.816,12.935,14.076,15.367,15.472,15.933,15.779,15.802,15.782,15.762,15.742,15.722000000000001,15.702000000000002,15.682000000000002,15.662000000000003,15.642000000000003
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.829,15.994,16.112,16.557,16.411,16.435,16.415,16.395,16.375,16.355,16.335,16.315,16.295,16.275000000000002
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.829,15.994,16.112,16.557,16.411,16.435,16.415,16.395,16.375,16.355,16.335,16.315,16.295,16.275000000000002
EOL AFONSO BEZERRA III,0,10.878,11.646,12.723,13.829,15.994,16.112,16.557,16.411,16.435,16.415,16.395,16.375,16.355,16.335,16.315,16.295,16.275000000000002
EOL AFONSO BEZERRA IV,0,10.878,11.646,12.723,13.829,15.994,16.112,16.557,16.411,16.435,16.415,16.395,16.375,16.355,16.335,16.315,16.295,16.275000000000002
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.812,11.742,12.873,14.501,14.588,15.09,14.925,14.946,14.926,14.906,14.886000000000001,14.866000000000001,14.846000000000002,14.826000000000002,14.806000000000003,14.786000000000003
EOL ALEGRIA I(NEW ENERGY),0,10.878,11.646,12.723,13.829,15.853,15.966,16.405,16.258,16.281,16.261,16.241,16.221,16.201,16.181,16.161,16.141000000000002,16.121000000000002
EOL ALEGRIA II(NEW ENERGY),0,10.878,11.646,12.723,13.829,15.853,15.966,16.405,16.258,16.281,16.261,16.241,16.221,16.201,16.181,16.161,16.141000000000002,16.121000000000002
EOL ALTO DOS VENTOS II A,0,0,0,0,0,15.016,15.115,15.654,15.498,15.52,15.5,15.48,15.46,15.440000000000001,15.420000000000002,15.400000000000002,15.380000000000003,15.360000000000003
EOL ALTO DOS VENTOS II B,0,0,0,0,0,15.016,15.115,15.654,15.498,15.52,15.5,15.48,15.46,15.440000000000001,15.420000000000002,15.400000000000002,15.380000000000003,15.360000000000003
EOL ALVORADA,0,10.554,10.886,10.546,10.908,11.163,11.158,11.539,11.248,11.264,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003
EOL AMESCLA,0,10.165,10.516,10.112,10.431,10.95,10.941,11.312,11.014,11.029,11.009,10.989,10.969000000000001,10.949000000000002,10.929000000000002,10.909000000000002,10.889000000000003,10.869000000000003
EOL AMETISTA,0,10.554,10.886,10.546,10.908,11.163,11.158,11.539,11.248,11.264,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,10.812,11.742,12.873,14.501,14.588,15.09,14.925,14.946,14.926,14.906,14.886000000000001,14.866000000000001,14.846000000000002,14.826000000000002,14.806000000000003,14.786000000000003
EOL ANEMUS WIND 1,0,10.97,11.795,12.917,14.067,15.367,15.472,15.933,15.779,15.802,15.782,15.762,15.742,15.722000000000001,15.702000000000002,15.682000000000002,15.662000000000003,15.642000000000003
EOL ANEMUS WIND 2,0,10.97,11.795,12.917,14.067,15.367,15.472,15.933,15.779,15.802,15.782,15.762,15.742,15.722000000000001,15.702000000000002,15.682000000000002,15.662000000000003,15.642000000000003
