CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;Grupo de fronteira;TR;Fator ponta;Fator fora ponta;Transmissora;Cód. ANEEL;Cód. ONS;Fator;EUST ponta;Eust fora ponta
ALCOA;   664;    97;170;P.CALD-MG138;    GRP 138 kV POCOS CALDAS MG;3; 0,021185; 0,021185;FURNAS;  6426;     8; 1,00000;      10174,43;      10121,80
ALCOA;   664;    97;170;P.CALD-MG138;    POCOS CALDAS-345/138 kV;2; 0,978815; 0,978815;FURNAS;  6426;     8; 1,00000;     470100,07;     467668,17
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138;    JORGE TEIXEIRA-230/138 kV;2; 1,000000; 1,000000; ENERGISA AMAZONAS;  6808;   153; 1,00000;    1976519,44;    2074125,70
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138;    LECHUGA-230/138 kV;2; 1,000000; 1,000000;ELETRONORTE (LECHUGA);  6572;    72; 1,00000;    3208864,05;    3272280,33
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069;    MANAUS-230/69 kV;2; 1,000000; 1,000000; ENERGISA AMAZONAS;  6808;   153; 1,00000;    2297171,63;    2534697,88
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138;    MAUA III-230/138 kV;2; 1,000000; 1,000000; ENERGISA AMAZONAS;  6808;   153; 1,00000;    3848936,66;    3949017,36
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013;    PRES FIGUEIREDO-230/13,8 kV;2; 1,000000; 1,000000; ENERGISA AMAZONAS;  6808;   153; 1,00000;      74091,06;      78005,30
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138;    PARINTINS-230/138 kV;2; 1,000000; 1,000000; PARINTINS;  6789;   166; 1,00000;    2314058,39;    2248493,51
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138;    SILVES-500/138 kV;2; 1,000000; 1,000000;MANAUS TR;  6477;    37; 1,00000;    1585849,60;    1481439,57
CEA;31;61;8281;MACAP1-AP069;    MACAPA-230/69 kV;2; 1,000000; 1,000000;MACAPA;  6476;    36; 1,00000;    2338513,93;    2390155,75
CEA;    31;    61;8271;LARANJ-AP069;    GRP 69 kV LARANJAL AP;3; 0,048822; 0,048822;MACAPA;  6476;    36; 1,00000;      26101,96;      26826,60
CEA;    31;    61;8271;LARANJ-AP069;    LARANJAL-230/69 kV;2; 0,951178; 0,951178;MACAPA;  6476;    36; 1,00000;     508528,34;     522646,12
CEEE-D;5707;23;1331;ATLAN2-RS069;    ATLANTIDA 2-230/69 kV;2; 1,000000; 1,000000;ELETROSUL;  6431;     6; 1,00000;     512951,54;     545693,19
CEEE-D;5707;23;1189;BAGE2--RS069;    BAGE 2-230/69 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    2688405,62;    2863245,58
CEEE-D;5707;23;9570;CAMAQ3-RS069;    CAMAQUA 3-230/69 kV;2; 1,000000; 1,000000;SUL BRASILEIRA;  6567;    70; 1,00000;     897931,62;    1014161,32
CEEE-D;5707;23;1195;CAMAQU-RS069;    CAMAQUA-230/69 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    2016246,58;    2227057,72
CEEE-D;5707;23;1038;CAPIVA-RS138;    CAPIVARI DO SUL-230/138 kV;2; 1,000000; 1,000000; PAMPA;  6786;   148; 1,00000;    1073345,22;    2245768,59
CEEE-D;5707;23;9241;ELDORA-RS023;    ELDORADO SUL-230/23 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    1377261,00;    1440083,19
CEEE-D;5707;23;1197;GUAIB2-RS069;    GUAIBA 2-230/69 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    2682841,16;    2807624,47
CEEE-D;5707;23;1232;OSORI2-RS069;    OSORIO 2-230/69 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    3584551,88;    3755245,09
CEEE-D;5707;23;9247;PAL12--RS069;    JARDIM BOTANICO-230/69 kV;2; 1,000000; 1,000000;TESB;  6548;    65; 1,00000;    2170646,80;    2371753,61
CEEE-D;5707;23;9246;PAL13A-RS013;    PORTO ALEGRE 13-230/13,8 kV;2; 1,000000; 1,000000;CEEE - GT;  6433;     9; 1,00000;    1598861,91;    1598637,63
