BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,468
1206; AG.LINDAS230;   10,110
251; ACU II - 230;   11,891
11265; ACU III - 230;   11,691
11565; ACU III - 500;   11,558
7747; ABDON BATISTA - 230;    7,991
7744; ABDON BATISTA - 525;    7,420
9537; ABUNA - 230;    5,351
559; ACAILANDIA - 500;   10,922
55412; ACARAU II – 230;   10,593
12907; ACARAT CE - 230;   10,597
12902; ACARAT-CE500;   10,623
4475; ACESITA - 230;    8,170
3729; ADRIANOPOLIS - 345;    8,526
3728; ADRIANOPOLIS - 500;    8,762
1637; AIMORES - 230;   10,358
11760; ALAGOAS 2 - 230;    8,164
9002; ALEGRETE2 - 230;    6,944
56095; ALEX - 230;   11,765
362; ALTAMIRA - 230;    9,881
7758; ANASTACIO - 230;    7,786
2770; ANDIRA LESTE - 230;    7,115
540; ANGELIM - 500;   10,156
240; ANGELIM - 230;   10,011
3745; ANGRA - 500;    9,604
1172; ANHANGUERA GO - 230;    9,177
2901; ANHANGUERA SP - 230;    5,351
2900; ANHANGUERA - 345;    5,351
2957; APARECIDA - 230;    8,043
2758; ALTA PAULISTA - 400;    8,980
6601; APUCARANA - 230;    6,715
58771; LAGOA BARRO - 230;   11,584
11219; AQUIRAZ - 230;    9,590
1522; ARACUAI - 230;   12,744
11242; ARAPIRACA III - 230;    6,382
5203; ARARAQUARA 2 - 440;    8,441
5202; ARARAQUARA 2 - 500;    8,912
2630; ARARAQUARA - 440;    7,987
3852; ARARAQUARA - 500;    8,807
2673; ARARAS SP - 440;    7,037
38906; ARAXA 3 - 345;   10,134
12203; ARCOVERDE II - 230;   10,185
7749; AREIA - 230;    7,588
7748; AREIA - 525;    7,741
39813; ARINOS 2 - 500;   12,086
9520; ARIQUEMES - 230;    5,351
302; MOXOTO - 230;   11,312
2624; ASSIS - 440;    8,281
4282; ASSIS - 525;    8,078
2626; ASSIS 2 - 230;    7,905
2677; ATIBAIA 2 - 345;    5,554
7923; ATLANTIDA 2 - 230;    6,634
2786; AVARE - 230;    5,351
2617; AGUA VERMELHA - 500;   10,061
2618; AGUA VERMELHA - 440;    9,771
3947; BARRO ALTO - 230;   11,972
3605; BARRO BRANCO - 345;    8,760
4297; B. DOS COQUEIROS - 230;   12,049
229; B.ESPERANCA - 230;   10,240
4288; B. FLUMINENSE - 500;    9,209
7304; BARRA GRANDE - 230;    8,434
6608; BAIXO IGUACU PR - 230;    8,767
11050; B.JESUS II - 230;   10,505
3236; BARRA PEIXE - 230;    9,044
13103; BACAB - MA - 500;   10,624
