Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,497;;  6,497;  6,468;;;  6,468;
1206; AG.LINDAS230;; 10,139;; 10,139; 10,110;;; 10,110;
251; ACU II - 230;; 11,920;; 11,920; 11,891;;; 11,891;
11265; ACU III - 230;; 11,720;; 11,720; 11,691;;; 11,691;
11565; ACU III - 500;; 11,587;; 11,587; 11,558;;; 11,558;
7747; ABDON BATISTA - 230;;  8,021;;  8,021;  7,991;;;  7,991;
7744; ABDON BATISTA - 525;;  7,449;;  7,449;  7,420;;;  7,420;
9537; ABUNA - 230;;  2,768;;  2,768;  5,351;;;  5,351;
559; ACAILANDIA - 500;; 10,952;; 10,952; 10,922;;; 10,922;
55412; ACARAU II – 230;; 10,622;; 10,622; 10,593;;; 10,593;
12907; ACARAT CE - 230;; 10,627;; 10,627; 10,597;;; 10,597;
12902; ACARAT-CE500;; 10,652;; 10,652; 10,623;;; 10,623;
4475; ACESITA - 230;;  8,199;;  8,199;  8,170;;;  8,170;
3729; ADRIANOPOLIS - 345;;  8,556;;  8,556;  8,526;;;  8,526;
3728; ADRIANOPOLIS - 500;;  8,791;;  8,791;  8,762;;;  8,762;
1637; AIMORES - 230;; 10,388;; 10,388; 10,358;;; 10,358;
11760; ALAGOAS 2 - 230;;  8,194;;  8,194;  8,164;;;  8,164;
9002; ALEGRETE2 - 230;;  6,973;;  6,973;  6,944;;;  6,944;
56095; ALEX - 230;; 11,794;; 11,794; 11,765;;; 11,765;
362; ALTAMIRA - 230;;  9,911;;  9,911;  9,881;;;  9,881;
7758; ANASTACIO - 230;;  7,815;;  7,815;  7,786;;;  7,786;
2770; ANDIRA LESTE - 230;;  7,145;;  7,145;  7,115;;;  7,115;
540; ANGELIM - 500;; 10,186;; 10,186; 10,156;;; 10,156;
240; ANGELIM - 230;; 10,040;; 10,040; 10,011;;; 10,011;
3745; ANGRA - 500;;  9,633;;  9,633;  9,604;;;  9,604;
1172; ANHANGUERA GO - 230;;  9,206;;  9,206;  9,177;;;  9,177;
2901; ANHANGUERA SP - 230;;  3,697;;  3,697;  5,351;;;  5,351;
2900; ANHANGUERA - 345;;  4,036;;  4,036;  5,351;;;  5,351;
2957; APARECIDA - 230;;  8,072;;  8,072;  8,043;;;  8,043;
2758; ALTA PAULISTA - 400;;  9,009;;  9,009;  8,980;;;  8,980;
6601; APUCARANA - 230;;  6,744;;  6,744;  6,715;;;  6,715;
58771; LAGOA BARRO - 230;; 11,614;; 11,614; 11,584;;; 11,584;
11219; AQUIRAZ - 230;;  9,620;;  9,620;  9,590;;;  9,590;
1522; ARACUAI - 230;; 12,773;; 12,773; 12,744;;; 12,744;
11242; ARAPIRACA III - 230;;  6,411;;  6,411;  6,382;;;  6,382;
5203; ARARAQUARA 2 - 440;;  8,470;;  8,470;  8,441;;;  8,441;
5202; ARARAQUARA 2 - 500;;  8,941;;  8,941;  8,912;;;  8,912;
2630; ARARAQUARA - 440;;  8,016;;  8,016;  7,987;;;  7,987;
3852; ARARAQUARA - 500;;  8,836;;  8,836;  8,807;;;  8,807;
2673; ARARAS SP - 440;;  7,066;;  7,066;  7,037;;;  7,037;
38906; ARAXA 3 - 345;; 10,163;; 10,163; 10,134;;; 10,134;
12203; ARCOVERDE II - 230;; 10,214;; 10,214; 10,185;;; 10,185;
7749; AREIA - 230;;  7,617;;  7,617;  7,588;;;  7,588;
7748; AREIA - 525;;  7,771;;  7,771;  7,741;;;  7,741;
39813; ARINOS 2 - 500;; 12,115;; 12,115; 12,086;;; 12,086;
9520; ARIQUEMES - 230;;  3,759;;  3,759;  5,351;;;  5,351;
302; MOXOTO - 230;; 11,342;; 11,342; 11,312;;; 11,312;
2624; ASSIS - 440;;  8,310;;  8,310;  8,281;;;  8,281;
4282; ASSIS - 525;;  8,108;;  8,108;  8,078;;;  8,078;
2626; ASSIS 2 - 230;;  7,934;;  7,934;  7,905;;;  7,905;
2677; ATIBAIA 2 - 345;;  5,583;;  5,583;  5,554;;;  5,554;
7923; ATLANTIDA 2 - 230;;  6,663;;  6,663;  6,634;;;  6,634;
2786; AVARE - 230;;  5,180;;  5,180;  5,351;;;  5,351;
2617; AGUA VERMELHA - 500;; 10,090;; 10,090; 10,061;;; 10,061;
2618; AGUA VERMELHA - 440;;  9,801;;  9,801;  9,771;;;  9,771;
3947; BARRO ALTO - 230;; 12,001;; 12,001; 11,972;;; 11,972;
3605; BARRO BRANCO - 345;;  8,789;;  8,789;  8,760;;;  8,760;
4297; B. DOS COQUEIROS - 230;; 12,079;; 12,079; 12,049;;; 12,049;
229; B.ESPERANCA - 230;; 10,270;; 10,270; 10,240;;; 10,240;
4288; B. FLUMINENSE - 500;;  9,239;;  9,239;  9,209;;;  9,209;
7304; BARRA GRANDE - 230;;  8,463;;  8,463;  8,434;;;  8,434;
6608; BAIXO IGUACU PR - 230;;  8,796;;  8,796;  8,767;;;  8,767;
11050; B.JESUS II - 230;; 10,534;; 10,534; 10,505;;; 10,505;
3236; BARRA PEIXE - 230;;  9,074;;  9,074;  9,044;;;  9,044;
13103; BACAB - MA - 500;; 10,653;; 10,653; 10,624;;; 10,624;
9010; BAGE 2 - 230;;  7,313;;  7,313;  7,284;;;  7,284;
2733; BAGUACU - 440;;  8,464;;  8,464;  8,435;;;  8,435;
1645; BAGUARI - 230;; 10,454;; 10,454; 10,424;;; 10,424;
2920; B. SANTISTA - 230;;  4,482;;  4,482;  5,351;;;  5,351;
2919; B. SANTISTA - 345;;  4,860;;  4,860;  5,351;;;  5,351;
10410; BALBINA - 230;;  8,019;;  8,019;  7,990;;;  7,990;
215; BALSAS - 230;; 10,920;; 10,920; 10,891;;; 10,891;
222; BANABUIU - 230;; 10,514;; 10,514; 10,485;;; 10,485;
3909; BANDEIRANTE GO - 345;; 10,107;; 10,107; 10,078;;; 10,078;
2934; BANDEIRANTE SP - 345;;  3,848;;  3,848;  5,351;;;  5,351;
1480; BARBACENA - 345;;  8,396;;  8,396;  8,367;;;  8,367;
11286; BARREIRAS II - 230;; 10,199;; 10,199; 10,170;;; 10,170;
286; BARREIRAS - 230;;  9,753;;  9,753;  9,723;;;  9,723;
1482; BARREIRO - 345;;  9,053;;  9,053;  9,024;;;  9,024;
846; BARREIRAS - 500;; 11,652;; 11,652; 11,622;;; 11,622;
6627; BATEIAS - 230;;  6,627;;  6,627;  6,597;;;  6,597;
