BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   17,193;         ;         ;         
2840; AGUA AZUL - 138;   17,193;;;
30951; AGUA AZUL - 440                                                      ;   16,901;         ;         ;         
30951; AGUA AZUL - 440;   16,901;;;
 1206; AG.LINDAS230                                                         ;   13,775;         ;         ;         
1206; AG.LINDAS230;   13,775;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,342;         ;         ;         
1943; ANGRA AMPLA - 138;   14,342;;;
  151; ACU II - 138                                                         ;   12,077;         ;         ;         
151; ACU II - 138;   12,077;;;
  251; ACU II - 230                                                         ;   12,077;         ;         ;         
251; ACU II - 230;   12,077;;;
11265; ACU III - 230                                                        ;   12,279;         ;         ;         
11265; ACU III - 230;   12,279;;;
11565; ACU III - 500                                                        ;   12,413;         ;         ;         
11565; ACU III - 500;   12,413;;;
  600; ABAIXADORA - 69                                                      ;   13,052;         ;         ;         
600; ABAIXADORA - 69;   13,052;;;
 7747; ABDON BATISTA - 230                                                  ;   15,645;         ;         ;         
7747; ABDON BATISTA - 230;   15,645;;;
 7744; ABDON BATISTA - 525                                                  ;   16,176;         ;         ;         
7744; ABDON BATISTA - 525;   16,176;;;
 9590; ABUNA - 13,8                                                         ;   21,347;         ;         ;         
9590; ABUNA - 13,8;   21,347;;;
 9636; ABUNA - 138                                                          ;   21,347;         ;         ;         
9636; ABUNA - 138;   21,347;;;
 9537; ABUNA - 230                                                          ;   21,347;         ;         ;         
9537; ABUNA - 230;   21,347;;;
  559; ACAILANDIA - 500                                                     ;   12,976;         ;         ;         
559; ACAILANDIA - 500;   12,976;;;
55412; ACARAU II – 230                                                      ;   13,362;         ;         ;         
55412; ACARAU II – 230;   13,362;;;
12907; ACARAT CE - 230                                                      ;   13,357;         ;         ;         
12907; ACARAT CE - 230;   13,357;;;
12902; ACARAT-CE500                                                         ;   13,329;         ;         ;         
12902; ACARAT-CE500;   13,329;;;
 4475; ACESITA - 230                                                        ;   15,677;         ;         ;         
4475; ACESITA - 230;   15,677;;;
 3155; EMPLAL - 138                                                         ;   14,005;         ;         ;         
3155; EMPLAL - 138;   14,005;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,024;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,024;;;
 3729; ADRIANOPOLIS - 345                                                   ;   14,966;         ;         ;         
3729; ADRIANOPOLIS - 345;   14,966;;;
 3728; ADRIANOPOLIS - 500                                                   ;   14,598;         ;         ;         
3728; ADRIANOPOLIS - 500;   14,598;;;
 3031; AGUAI - 138                                                          ;   16,343;         ;         ;         
3031; AGUAI - 138;   16,343;;;
 1637; AIMORES - 230                                                        ;   13,499;         ;         ;         
1637; AIMORES - 230;   13,499;;;
 2336; AJINOMOTO VAL - 138                                                  ;   14,457;         ;         ;         
2336; AJINOMOTO VAL - 138;   14,457;;;
18761; ALAGOINHA 2 - 69                                                     ;   15,845;         ;         ;         
18761; ALAGOINHA 2 - 69;   15,845;;;
11760; ALAGOAS 2 - 230                                                      ;   15,845;         ;         ;         
11760; ALAGOAS 2 - 230;   15,845;;;
 7591; ALEGRETE2 - 69                                                       ;   16,755;         ;         ;         
7591; ALEGRETE2 - 69;   16,755;;;
 9002; ALEGRETE2 - 230                                                      ;   16,755;         ;         ;         
9002; ALEGRETE2 - 230;   16,755;;;
56095; ALEX - 230                                                           ;   12,211;         ;         ;         
56095; ALEX - 230;   12,211;;;
