NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;7,537;;16,344;;;;;;2
30256;#1AIRL-SP138; ;;7,057;;16,824;;;;;;2
30222;#1ASCH-SP138; ;;7,471;;16,410;;;;;;2
30244;#1ASCP-SP138; ;;7,056;;16,824;;;;;;2
30219;#1ASCS-SP138; ;;7,514;;16,367;;;;;;2
30143;#1BRAS-SP138; ;;7,057;;16,824;;;;;;2
2530;#1COSM-SP138; ;;7,537;;16,344;;;;;;2
30208;#1CRIS-SP138; ;;7,270;;16,611;;;;;;2
30214;#1ITAP-SP138; ;;7,270;;16,611;;;;;;2
30278;#1LIND-SP138; ;;7,270;;16,611;;;;;;2
30260;#1ORIO-SP138; ;;7,057;;16,824;;;;;;2
30265;#1PAU3-SP138; ;;7,057;;16,824;;;;;;2
30286;#1PIR2-SP138; ;;7,610;;16,271;;;;;;2
30269;#1PLAS-SP138; ;;7,057;;16,824;;;;;;2
30276;#1POLY-SP138; ;;7,537;;16,344;;;;;;2
30216;#1PRAD-SP138; ;;7,270;;16,611;;;;;;2
2391;#1REPL-SP138; ;;7,057;;16,824;;;;;;2
30254;#1RHOD-SP138; ;;7,057;;16,824;;;;;;2
30274;#1SANT-SP138; ;;7,537;;16,344;;;;;;2
30247;#1SYNG-SP138; ;;7,057;;16,824;;;;;;2
29983;#1USES-SP138; ;;7,537;;16,344;;;;;;2
30262;#1WMPA-SP138; ;;7,057;;16,824;;;;;;2
30252;#2ABL--SP138; ;;7,537;;16,344;;;;;;2
30257;#2AIRL-SP138; ;;7,057;;16,824;;;;;;2
30223;#2ASCH-SP138; ;;7,769;;16,112;;;;;;2
30245;#2ASCP-SP138; ;;7,057;;16,824;;;;;;2
30220;#2ASCS-SP138; ;;7,514;;16,367;;;;;;2
30142;#2BRAS-SP138; ;;7,057;;16,824;;;;;;2
30273;#2COSM-SP138; ;;7,537;;16,344;;;;;;2
30209;#2CRIS-SP138; ;;7,270;;16,611;;;;;;2
30271;#2INTP-SP138; ;;7,537;;16,344;;;;;;2
30215;#2ITAP-SP138; ;;7,270;;16,611;;;;;;2
30279;#2LIND-SP138; ;;7,270;;16,611;;;;;;2
30261;#2ORIO-SP138; ;;7,057;;16,824;;;;;;2
30266;#2PAU3-SP138; ;;7,057;;16,824;;;;;;2
30287;#2PIR2-SP138; ;;7,607;;16,274;;;;;;2
30270;#2PLAS-SP138; ;;7,537;;16,344;;;;;;2
30277;#2POLY-SP138; ;;7,537;;16,344;;;;;;2
30217;#2PRAD-SP138; ;;7,270;;16,611;;;;;;2
30255;#2RHOD-SP138; ;;7,057;;16,824;;;;;;2
30275;#2SABT-SP138; ;;7,537;;16,344;;;;;;2
30248;#2SYNG-SP138; ;;7,537;;16,344;;;;;;2
30272;#2USES-SP138; ;;7,537;;16,344;;;;;;2
30263;#2WMPA-SP138; ;;7,057;;16,824;;;;;;2
28516;#GALVA-RJ138; ;;9,557;;14,324;;;;;;2
28428;#ROSTR-RJ069; ;;9,578;;14,303;;;;;;2
7312;14JULH-RS230; ;;7,164;;16,717;;;;;;1
7313;14JULHUHE013;B;98,0;7,164;;16,717;;;8424,50;;;1
35025;2.VEND-ES069; ;;9,611;;14,270;;;;;;2
2084;2MARIA-SP034; ;;7,266;,8;16,615;;;;154,36;;2
6931;2VIZIN-PR138; ;;8,909;56,0;14,972;;;;10061,42;;1
33130;3LAG2--SP138; ;;9,856;16,0;14,025;;;;2694,49;;2
1412;3MAIO--MT138; ;;11,058;;12,823;;;;;;2
19582;3MAIO-PCH013;U;;;;12,823;;;;;;2
2294;3PONTE-SP138; ;;7,270;19,0;16,611;;;;3791,20;;2
