GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.847,10.616,10.978,11.472,11.533,11.956,11.741,11.758,11.738,11.718,11.698,11.678,11.658000000000001,11.638000000000002,11.618000000000002,11.598000000000003
EOL ACACIA,0,10.456,10.787,10.559,10.919,11.411,11.471,11.891,11.675,11.692,11.672,11.652000000000001,11.632000000000001,11.612000000000002,11.592000000000002,11.572000000000003,11.552000000000003,11.532000000000004
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.252,10.236,10.288,10.664,10.532,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003,10.427000000000003,10.407000000000004,10.387000000000004
EOL ACAUA,0,10.528,10.847,10.616,10.978,11.472,11.533,11.956,11.741,11.758,11.738,11.718,11.698,11.678,11.658000000000001,11.638000000000002,11.618000000000002,11.598000000000003
EOL ACAUA I,0,10.986,10.064,10.232,10.463,10.911,10.976,11.355,11.23,11.247,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.463,10.911,10.976,11.355,11.23,11.247,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.463,10.911,10.976,11.355,11.23,11.247,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.252,10.236,10.288,10.664,10.532,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003,10.427000000000003,10.407000000000004,10.387000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.325,11.432,11.505,11.891,11.77,11.787,11.767000000000001,11.747000000000002,11.727000000000002,11.707000000000003,11.687000000000003,11.667000000000003,11.647000000000004,11.627000000000004
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.325,11.432,11.505,11.891,11.77,11.787,11.767000000000001,11.747000000000002,11.727000000000002,11.707000000000003,11.687000000000003,11.667000000000003,11.647000000000004,11.627000000000004
EOL ALTO DOS VENTOS II A,0,0,0,0,0,10.917,10.984,11.399,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,10.917,10.984,11.399,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL ALVORADA,0,10.554,10.856,10.635,10.995,11.485,11.545,11.969,11.756,11.773,11.753,11.733,11.713000000000001,11.693000000000001,11.673000000000002,11.653000000000002,11.633000000000003,11.613000000000003
