BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,086
1206; AG.LINDAS230;    7,852
251; ACU II - 230;   12,802
11265; ACU III - 230;   12,478
11565; ACU III - 500;   12,239
7747; ABDON BATISTA - 230;    5,648
7744; ABDON BATISTA - 525;    5,353
9537; ABUNA - 230;    4,744
559; ACAILANDIA - 500;   10,195
55412; ACARAU II – 230;   11,325
12907; ACARAT CE - 230;   11,312
12902; ACARAT-CE500;   11,288
4475; ACESITA - 230;    6,309
3729; ADRIANOPOLIS - 345;    6,425
3728; ADRIANOPOLIS - 500;    6,527
1637; AIMORES - 230;    8,100
11760; ALAGOAS 2 - 230;    9,124
9002; ALEGRETE2 - 230;    5,020
56095; ALEX - 230;   12,427
362; ALTAMIRA - 230;    9,204
7758; ANASTACIO - 230;    5,623
2770; ANDIRA LESTE - 230;    4,800
540; ANGELIM - 500;   10,809
240; ANGELIM - 230;   10,718
3745; ANGRA - 500;    6,849
1172; ANHANGUERA GO - 230;    6,798
2901; ANHANGUERA SP - 230;    4,744
2900; ANHANGUERA - 345;    4,744
2957; APARECIDA - 230;    5,407
2758; ALTA PAULISTA - 400;    6,450
6601; APUCARANA - 230;    5,002
58771; LAGOA BARRO - 230;   11,574
11219; AQUIRAZ - 230;   11,107
1522; ARACUAI - 230;    9,799
11242; ARAPIRACA III - 230;    7,509
5203; ARARAQUARA 2 - 440;    6,575
5202; ARARAQUARA 2 - 500;    6,451
2630; ARARAQUARA - 440;    6,151
3852; ARARAQUARA - 500;    6,316
2673; ARARAS SP - 440;    5,374
38906; ARAXA 3 - 345;    6,816
12203; ARCOVERDE II - 230;   10,849
7749; AREIA - 230;    5,536
7748; AREIA - 525;    5,720
39813; ARINOS 2 - 500;    9,770
9520; ARIQUEMES - 230;    4,744
302; MOXOTO - 230;   11,646
2624; ASSIS - 440;    6,052
4282; ASSIS - 525;    6,086
2626; ASSIS 2 - 230;    5,567
2677; ATIBAIA 2 - 345;    4,744
7923; ATLANTIDA 2 - 230;    4,744
2786; AVARE - 230;    4,744
2617; AGUA VERMELHA - 500;    7,240
2618; AGUA VERMELHA - 440;    6,953
3947; BARRO ALTO - 230;    8,812
3605; BARRO BRANCO - 345;    6,485
4297; B. DOS COQUEIROS - 230;    7,481
229; B.ESPERANCA - 230;   10,636
4288; B. FLUMINENSE - 500;    6,533
7304; BARRA GRANDE - 230;    5,995
6608; BAIXO IGUACU PR - 230;    5,918
11050; B.JESUS II - 230;   10,163
3236; BARRA PEIXE - 230;    6,642
13103; BACAB - MA - 500;   10,648
9010; BAGE 2 - 230;    4,983
2733; BAGUACU - 440;    6,147
1645; BAGUARI - 230;    8,038
2920; B. SANTISTA - 230;    4,744
2919; B. SANTISTA - 345;    4,744
10410; BALBINA - 230;    7,150
215; BALSAS - 230;   10,036
222; BANABUIU - 230;   12,167
3909; BANDEIRANTE GO - 345;    7,839
2934; BANDEIRANTE SP - 345;    4,744
1480; BARBACENA - 345;    6,103
11286; BARREIRAS II - 230;   10,136
286; BARREIRAS - 230;   10,057
1482; BARREIRO - 345;    6,589
846; BARREIRAS - 500;   10,368
