BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,846;    8,932;;
543; TRES IRMAOS - 138;    7,587;    7,481;;
542; TRES IRMAOS - 440;    7,494;    7,372;;
1903; TRES LAGOAS 1 - 138;    7,674;    7,586;;
8344; ABAIARA - 230;    5,198;    4,840;;
6203; ABAIXADORA - 69;    5,171;    4,786;;
9739; ABDON BATISTA - 230;    9,599;    9,895;;
9738; ABDON BATISTA - 525;    9,690;   10,007;;
6931; ABUNA - 138;    7,255;    6,894;;
6930; ABUNA - 230;    7,255;    6,894;;
6700; ACAILANDIA - 500;    5,320;    4,888;;
5923; ACARAT CE - 230;    5,080;    4,602;;
5318; ACARAT-CE500;    5,097;    4,621;;
5486; ACARAU II – 230;    5,073;    4,595;;
1596; ACESITA - 230;    8,272;    8,247;;
5463; ACU II - 69;    4,557;    4,182;;
5468; ACU II - 138;    4,690;    4,242;;
5461; ACU II - 230;    4,557;    4,182;;
5351; ACU III - 230;    4,500;    4,137;;
5350; ACU III - 500;    4,642;    4,196;;
173; ADRIANOPOLIS - 138;    8,278;    8,222;;
140; ADRIANOPOLIS - 345;    8,295;    8,242;;
106; ADRIANOPOLIS - 500;    8,260;    8,220;;
2974; AGUAS LINDAS - 69;    7,093;    6,869;;
2987; AG.LINDAS230;    7,093;    6,869;;
5106; ANGELIM - 13,8;    5,664;    5,285;;
3801; AGUAI - 138;    8,611;    8,651;;
452; AGUA AZUL - 138;    8,991;    9,072;;
453; AGUA AZUL - 440;    8,963;    9,043;;
4043; AIMORES - 230;    7,285;    7,084;;
3934; AJINOMOTO BIO - 138;    9,834;   10,073;;
5796; ALAGOINHA 2 - 69;    6,944;    6,952;;
6000; ALAGOAS 2 - 230;    6,944;    6,952;;
1185; ALEGRETE2 - 69;    9,900;   10,384;;
1186; ALEGRETE2 - 230;    9,898;   10,390;;
8163; ALEX - 230;    4,467;    4,182;;
6523; ALTAMIRA - 69;    6,435;    6,125;;
6521; ALTAMIRA - 230;    6,435;    6,125;;
668; ALTA PAULISTA - 400;    7,882;    7,828;;
2336; AMPARO - 138;    8,814;    8,879;;
1079; ANASTACIO - 138;    8,378;    8,516;;
1078; ANASTACIO - 230;    8,369;    8,505;;
