BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    8,454
8344; ABAIARA - 230;   11,088
9739; ABDON BATISTA - 230;    7,244
9738; ABDON BATISTA - 525;    6,847
6930; ABUNA - 230;    9,598
6700; ACAILANDIA - 500;   10,571
5923; ACARAT CE - 230;   10,473
5318; ACARAT-CE500;   10,436
5486; ACARAU II – 230;   10,488
1596; ACESITA - 230;    5,328
5461; ACU II - 230;   11,591
5351; ACU III - 230;   11,588
5350; ACU III - 500;   11,453
140; ADRIANOPOLIS - 345;    6,205
106; ADRIANOPOLIS - 500;    6,494
2987; AG.LINDAS230;    7,927
453; AGUA AZUL - 440;    5,493
4043; AIMORES - 230;    7,674
6000; ALAGOAS 2 - 230;    7,287
1186; ALEGRETE2 - 230;    7,336
8163; ALEX - 230;   11,605
6521; ALTAMIRA - 230;    8,559
668; ALTA PAULISTA - 400;    7,892
1078; ANASTACIO - 230;    6,218
44594; ANEMUS - 230;   11,737
5100; ANGELIM - 500;    9,979
5101; ANGELIM - 230;    9,677
105; ANGRA - 500;    6,832
760; ANHANGUERA GO - 230;    7,255
431; ANHANGUERA SP - 230;    4,932
439; ANHANGUERA - 345;    5,069
458; APARECIDA - 230;    6,033
878; APUCARANA - 230;    5,828
5381; AQUIRAZ - 230;    9,754
4070; ARACUAI - 230;   11,206
6081; ARAPIRACA III - 230;    5,615
559; ARARAQUARA - 440;    6,793
101; ARARAQUARA - 500;    7,624
99; ARARAQUARA - 525;    7,624
589; ARARAS SP - 440;    6,048
7058; ARARAQUARA 2 - 440;    7,321
7057; ARARAQUARA 2 - 500;    7,638
5092; ARCOVERDE II - 230;    9,824
934; AREIA - 230;    6,353
933; AREIA - 525;    7,037
4349; ARINOS 2 - 500;   11,066
6880; ARIQUEMES - 230;    9,228
45680; ASOLO 2 - 230;    9,634
552; ASSIS - 440;    7,331
556; ASSIS - 525;    7,341
551; ASSIS 2 - 230;    6,692
697; ATIBAIA 2 - 345;    5,376
1330; ATLANTIDA 2 - 230;    5,778
629; AVARE - 230;    4,932
3150; AVARE NOVA - 230;    4,932
536; AGUA VERMELHA - 440;    8,337
535; AGUA VERMELHA - 500;    8,561
451; AVILLAR - 230;    4,932
9892; ANDIRA LESTE - 230;    5,787
229; BARRO ALTO - 230;    8,795
4040; BARRO BRANCO - 345;    6,746
9444; B. DOS COQUEIROS - 230;   10,182
5511; B.ESPERANCA - 230;    9,610
5510; B.ESPERANCA - 500;   10,545
227; BRASILIA GERAL - 230;    7,479
574; BOM JARDIM - 440;    5,771
7181; B.JESUS II - 230;   10,110
3699; BRASILIA LESTE - 500;    9,165
5401; BOM NOME - 230;   10,830
4502; BARRA PEIXE - 230;    9,023
228; BRAS. SUL - 230;    7,931
219; BRAS. SUL -345;    8,533
5684; BACAB - MA - 500;   10,166
1188; BAGE 2 - 230;    7,009
478; BAGUACU - 440;    7,447
1495; BAGUARI - 230;    7,593
9354; BAIXO IGUACU PR - 230;    6,310
472; B. SANTISTA - 230;    4,932
471; B. SANTISTA - 345;    5,161
8501; BALBINA - 230;    8,674
5391; BALSAS - 230;   10,635
5421; BANABUIU - 230;   10,617
226; BANDEIRANTE GO - 230;    7,573
218; BANDEIRANTE GO - 345;    8,335
492; BANDEIRANTE SP - 345;    4,932
308; BARBACENA - 345;    6,142
6315; BARREIRAS II - 230;   10,720
6361; BARREIRAS - 230;   10,419
6360; BARREIRAS - 500;   10,979
313; BARREIRO - 345;    6,826
112; BATEIAS - 500;    6,397
113; BATEIAS 2 - 500;    6,397
814; BATEIAS - 230;    5,774
895; BATEIAS - 525;    6,425
114; BATEIAS 3 - 500;    6,419
561; BAURU SP - 440;    6,620
9004; BARAO DE COCAIS 3 - 230;    6,004
4050; B.DESPACHO - 500;    7,842
4337; BETIM 6 -345;    7,193
9626; B. FLUMINENSE - 500;    6,584
936; BARRA GRANDE - 230;    7,692
947; BAIXO IGUACU SC - 230;    5,978
946; BIGUACU--525;    6,414
6358; B.J.LAPA II - 230;   10,744
6349; BJLAPAII - 500;   10,888
6351; B.J.LAPA - 230;   10,740
939; BLUMENAU - 230;    5,816
938; BLUMENAU - 525;    6,333
5152; BONGI - 230;    8,089
625; BOTUCATU - 230;    4,932
7734; BRACEL - 440;    6,307
4868; BRASNORTE - 230;   10,104
9051; BRAUNA - 230;    6,839
6334; BROT.MACAUBAS - 230;   11,548
5941; BRUMADO II - 230;    5,939
6075; BURITIRAMA - 500;   11,279
5701; CIC.DANTAS - 230;    8,819
756; CACHOEIRA DOURADA - 230;    9,756
4512; C. MAGALHAES - 230;    9,270
5525; COELHO NETO - 230;    7,694
5262; CURRAIS NOVOS II - 230;   11,737
104; C. PAULISTA - 500;    6,679
7054; C.PORTO VELHO - 230;   10,473
7055; C.PORTO VELHO - 500;   15,942
8551; CRISTIANO ROCHA - 230;    8,359
590; CABREUVA - 230;    4,932
584; CABREUVA - 440;    5,543
9458; CACU - 230;   10,182
5098; CAETES II - 230;    9,866
41414; CAIACA-SC - 230;    5,298
10218; CRUZ ALTA 2 - 230;    7,006
5750; CAMACARI - 500;    8,688
5756; CAMACARI IV - 230;    7,881
5752; CAMACARI IV - 500;    8,647
9569; CAMAQUA 3 - 230;    6,564
1194; CAMAQUA - 230;    6,533
123; CAMPINAS - 345;    5,696
103; CAMPINAS - 500;    6,682
117; CAMPOS 2 - 500;    7,064
1198; CAMPO BOM - 230;    6,224
147; CAMPOS - 345;    7,344
4684; CANARANA CMT - 230;    6,663
9590; CANDELARIA 2 - 230;    7,250
9952; CANDIOTA 2 - 230;    7,095
9951; CANDIOTA 2 - 525;    6,822
9785; CANDIOTA - 230;    7,793
9786; CANDIOTA - 525;    7,793
1190; CANOA 1 - 230;    5,957
1248; CANOAS 2 - 230;    6,336
943; CANOINHA - 230;    4,932
1037; CAPIVARI-230;    6,059
1036; CAPIVARI-525;    6,628
549; CAPIVARA - 440;    7,673
3714; CARAJAS GO - 230;    7,096
6407; CARAJAS PA - 230;    9,719
477; CARBOCLORO - 230;    4,932
839; CASCAVEL - 230;    6,183
9538; CASCAVEL NORT - 230;    6,041
2458; CASCAVEL OESTE - 230;    6,406
896; CASCAVOE - 525;    7,167
10355; CASSILANDIA - 230;    8,630
2353; CAMPO ASSOBIO - 230;    5,200
6489; CASTANHA - 230;    7,664
9278; CASTERTECH - 230;    6,496
10138; CASTRO NORTE - 230;    5,387
5782; CATU - 230;    7,276
5651; CAIUPE - 230;    9,911
1200; CAXIAS SUL 2 - 230;    6,535
1192; CAXIAS 5 -230;    6,437
1386; CAXIAS 6 - 230;    6,500
965; CAXIAS - 230;    6,615
964; CAXIAS RS - 525;    6,902
10216; CAXIAS NORTE - 230;    6,737
10215; CAXIAS NORTE - 525;    6,966
607; CBA - 230;    4,932
608; CBA TERM - 440;    5,270
603; CBA 2 - 440;    5,270
9543; CBA LESTE - 230;    5,508
9542; CBA LESTE - 525;    6,315
9697; CURITIBA NORT - 230;    5,392
623; CAPAO BONITO - 230;    4,932
3964; CANA BRAVA - 230;   10,394
816; C.COMPRIDO - 230;    5,516
6132; CEAMIRIM - 230;   11,119
6130; CEA.MIRIM II - 500;   11,230
427; CENTRO - 230;    4,932
9731; CERRO CHATO - 230;    7,765
2035; CERQUILHO 3 - 230;    4,932
970; GARABI 2 - 500;    7,271
971; GARABI 1 - 500;    7,271
6107; CAMPO FORMOSO - 230;   11,522
1043; RIVERA - 230;    7,577
5222; CAMPINA GRANDE II - 230;   10,111
