BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,256;    8,310;;
543; TRES IRMAOS - 138;    7,103;    6,979;;
542; TRES IRMAOS - 440;    7,024;    6,884;;
1903; TRES LAGOAS 1 - 138;    7,168;    7,060;;
8344; ABAIARA - 230;    5,752;    5,341;;
6203; ABAIXADORA - 69;    5,955;    5,556;;
9739; ABDON BATISTA - 230;    7,678;    8,243;;
9738; ABDON BATISTA - 525;    7,877;    8,436;;
6931; ABUNA - 138;    6,471;    5,647;;
6930; ABUNA - 230;    6,471;    5,647;;
6700; ACAILANDIA - 500;    6,002;    5,565;;
5923; ACARAT CE - 230;    6,049;    5,603;;
5318; ACARAT-CE500;    6,067;    5,623;;
5486; ACARAU II – 230;    6,042;    5,596;;
1596; ACESITA - 230;    8,532;    8,451;;
5463; ACU II - 69;    5,509;    4,992;;
5468; ACU II - 138;    5,603;    5,101;;
5461; ACU II - 230;    5,509;    4,992;;
5351; ACU III - 230;    5,511;    4,993;;
5350; ACU III - 500;    5,576;    5,062;;
173; ADRIANOPOLIS - 138;    8,090;    7,964;;
140; ADRIANOPOLIS - 345;    8,109;    7,988;;
106; ADRIANOPOLIS - 500;    7,969;    7,873;;
2974; AGUAS LINDAS - 69;    7,278;    6,955;;
2987; AG.LINDAS230;    7,278;    6,955;;
5106; ANGELIM - 13,8;    6,433;    6,041;;
3801; AGUAI - 138;    8,165;    8,167;;
452; AGUA AZUL - 138;    8,466;    8,513;;
453; AGUA AZUL - 440;    8,453;    8,497;;
4043; AIMORES - 230;    7,400;    7,125;;
3934; AJINOMOTO BIO - 138;    9,059;    9,273;;
5796; ALAGOINHA 2 - 69;    7,587;    7,586;;
6000; ALAGOAS 2 - 230;    7,587;    7,586;;
1185; ALEGRETE2 - 69;    7,695;    8,520;;
1186; ALEGRETE2 - 230;    7,701;    8,532;;
8163; ALEX - 230;    5,503;    5,015;;
6523; ALTAMIRA - 69;    6,973;    6,649;;
6521; ALTAMIRA - 230;    6,973;    6,649;;
668; ALTA PAULISTA - 400;    7,295;    7,223;;
2336; AMPARO - 138;    8,317;    8,349;;
1079; ANASTACIO - 138;    8,111;    8,239;;
1078; ANASTACIO - 230;    8,103;    8,227;;
3840; AVANTI N.CORT - 138;    7,165;    7,056;;
3882; ANDRADINA - 138;    7,164;    7,052;;
44594; ANEMUS - 230;    5,439;    4,933;;
5100; ANGELIM - 500;    6,287;    5,892;;
5103; ANGELIM - 69;    6,433;    6,041;;
5101; ANGELIM - 230;    6,433;    6,041;;
185; ANGRA 1 - 138;    7,893;    7,783;;
105; ANGRA - 500;    7,806;    7,691;;
1773; ANGRA AMPLA - 138;    7,936;    7,830;;
762; ANHANGUERA - 69;    7,602;    7,477;;
761; ANHANGUERA - 138;    7,598;    7,471;;
760; ANHANGUERA GO - 230;    7,602;    7,477;;
444; ANHANGUERA - 88;    8,657;    8,729;;
431; ANHANGUERA SP - 230;    9,053;    9,218;;
439; ANHANGUERA - 345;    8,657;    8,729;;
459; APARECIDA - 88;    8,192;    8,180;;
458; APARECIDA - 230;    8,192;    8,180;;
879; APUCARANA - 138;    8,288;    8,604;;
878; APUCARANA - 230;    8,291;    8,608;;
5383; AQUIRAZ II - 69;    6,396;    6,028;;
5381; AQUIRAZ - 230;    6,396;    6,028;;
2296; ARACATUBA - 138;    7,496;    7,427;;
4081; ARACUAI 2 - 138;    5,672;    5,155;;
4070; ARACUAI - 230;    5,695;    5,180;;
6083; ARAPIRACA III - 69;    8,394;    8,308;;
6081; ARAPIRACA III - 230;    8,394;    8,308;;
3802; ARARAS 1 - 138;    8,126;    8,141;;
3803; ARARAS 2 - 138;    8,135;    8,152;;
560; ARARAQUARA CTP - 138;    7,828;    7,801;;
559; ARARAQUARA - 440;    7,825;    7,803;;
101; ARARAQUARA - 500;    7,424;    7,356;;
99; ARARAQUARA - 525;    7,424;    7,356;;
589; ARARAS SP - 440;    8,185;    8,207;;
7058; ARARAQUARA 2 - 440;    7,570;    7,512;;
7057; ARARAQUARA 2 - 500;    7,417;    7,343;;
7411; ARAXA 3 - 138;    7,034;    6,786;;
7410; ARAXA 3 - 345;    7,003;    6,750;;
5093; ARCOVERDE II - 69;    6,362;    5,944;;
5092; ARCOVERDE II - 230;    6,362;    5,944;;
9336; AREIA - 13,8;    8,118;    8,583;;
823; AREIA - 138;    8,119;    8,585;;
934; AREIA - 230;    8,108;    8,569;;
933; AREIA - 525;    7,713;    8,139;;
4349; ARINOS 2 - 500;    5,763;    5,276;;
6881; ARIQUEMES - 69;    6,650;    5,982;;
6880; ARIQUEMES - 230;    6,650;    5,982;;
3804; A.NOGUEIRA - 138;    8,192;    8,220;;
3841; ARUJA - 138;    8,476;    8,525;;
7626; ARUJA 2 - 138;    8,474;    8,522;;
45680; ASOLO 2 - 230;    6,454;    6,158;;
552; ASSIS - 440;    7,565;    7,576;;
556; ASSIS - 525;    7,561;    7,633;;
3192; ASSIS I - 88;    7,912;    8,011;;
551; ASSIS 2 - 230;    7,874;    7,972;;
3193; ASSIS III - 88;    7,904;    8,001;;
4130; PETRO ATIBAIA - 138;    8,457;    8,503;;
3842; ATIBAIA 1 - 138;    8,457;    8,502;;
697; ATIBAIA 2 - 345;    8,509;    8,557;;
3843; ATIBAIA 3 - 138;    8,462;    8,509;;
1331; ATLANTIDA 2 - 69;    8,543;    9,297;;
1330; ATLANTIDA 2 - 230;    8,543;    9,297;;
2337; AUXILIADORA - 138;    8,680;    8,821;;
629; AVARE - 230;    8,869;    9,057;;
3150; AVARE NOVA - 230;    8,869;    9,057;;
537; AGUA VERMELHA - 138;    7,154;    7,020;;
536; AGUA VERMELHA - 440;    7,080;    6,928;;
535; AGUA VERMELHA - 500;    6,972;    6,788;;
451; AVILLAR - 230;    8,785;    8,884;;
3058; VILA DE PAIVA - 88;    8,683;    8,736;;
9891; ANDIRA LESTE - 138;    8,335;    8,573;;
9892; ANDIRA LESTE - 230;    8,311;    8,525;;
229; BARRO ALTO - 230;    6,859;    6,409;;
2980; BARRO ALTO - 69;    6,859;    6,409;;
4040; BARRO BRANCO - 345;    7,848;    7,660;;
3146; BERNAR.CAMPOS - 88;    8,417;    8,569;;
9444; B. DOS COQUEIROS - 230;    6,189;    5,855;;
5511; B.ESPERANCA - 230;    6,465;    6,094;;
5510; B.ESPERANCA - 500;    6,014;    5,579;;
5678; UB.ESPERANCA - 69;    6,466;    6,094;;
221; BRAS. GERAL - 34,5;    7,494;    7,304;;
227; BRASILIA GERAL - 230;    7,494;    7,304;;
576; BOM JARDIM - 88;    8,319;    8,360;;
575; BOM JARDIM - 138;    8,366;    8,407;;
574; BOM JARDIM - 440;    8,319;    8,360;;
7183; BOM JESUS II - 69;    6,224;    5,842;;
7181; B.JESUS II - 230;    6,224;    5,842;;
3698; BRAS. LESTE - 138;    6,740;    6,413;;
3699; BRASILIA LESTE - 500;    6,680;    6,342;;
5403; BOM NOME - 69;    5,877;    5,496;;
5402; BOM NOME - 138;    5,877;    5,496;;
5401; BOM NOME - 230;    5,877;    5,496;;
4503; BARRA PEIXE - 138;    6,794;    6,568;;
4502; BARRA PEIXE - 230;    6,749;    6,518;;
236; BRAS. SUL - 138;    6,927;    6,636;;
228; BRAS. SUL - 230;    7,276;    7,039;;
219; BRAS. SUL -345;    6,986;    6,705;;
5684; BACAB - MA - 500;    6,197;    5,773;;
1189; BAGE2 - 69;    7,858;    8,547;;
1188; BAGE 2 - 230;    7,858;    8,547;;
479; BAGUACU - 138;    7,496;    7,427;;
478; BAGUACU - 440;    7,509;    7,441;;
1495; BAGUARI - 230;    7,439;    7,166;;
9354; BAIXO IGUACU PR - 230;    8,060;    8,421;;
473; B. SANTISTA - 88;    8,651;    8,739;;
472; B. SANTISTA - 230;    8,864;    8,957;;
471; B. SANTISTA - 345;    8,613;    8,698;;
8501; BALBINA - 230;    6,917;    6,613;;
5393; BALSAS - 69;    5,971;    5,576;;
5391; BALSAS - 230;    5,971;    5,576;;
5423; BANABUIU - 69;    5,980;    5,547;;
5421; BANABUIU - 230;    5,980;    5,547;;
3494; BANDEIRANTES - 34,5;    8,733;    8,826;;
226; BANDEIRANTE GO - 230;    7,449;    7,290;;
218; BANDEIRANTE GO - 345;    7,081;    6,837;;
493; ECH BANDEIRAN - 88;    8,733;    8,826;;
492; BANDEIRANTE SP - 345;    8,733;    8,826;;
309; BARBACENA 2 - 138;    8,111;    7,998;;
308; BARBACENA - 345;    8,140;    8,036;;
633; BARIRI - 138;    8,040;    8,062;;
3056; BARRA DO UNA - 138;    8,535;    8,595;;
6315; BARREIRAS II - 230;    5,930;    5,810;;
6363; BARREIRAS - 69;    6,075;    6,163;;
6365; BARREIRAS - 138;    6,087;    6,207;;
6361; BARREIRAS - 230;    6,075;    6,163;;
6360; BARREIRAS - 500;    5,805;    5,359;;
314; BARREIRO 1 - 138;    7,809;    7,597;;
313; BARREIRO - 345;    7,809;    7,597;;
3190; BASTOS - 138;    7,401;    7,337;;
112; BATEIAS - 500;    8,016;    8,398;;
113; BATEIAS 2 - 500;    8,016;    8,398;;
2359; BATEIAS - 138;    8,487;    9,036;;
814; BATEIAS - 230;    8,402;    8,925;;
895; BATEIAS - 525;    8,014;    8,424;;
114; BATEIAS 3 - 500;    8,006;    8,396;;
562; BAURU - 138;    7,933;    7,937;;
561; BAURU SP - 440;    7,909;    7,909;;
3427; BADY BASSITT - 138;    7,521;    7,449;;
635; BARRA BONITA - 138;    8,337;    8,412;;
9004; BARAO DE COCAIS 3 - 230;    8,206;    8,027;;
4050; B.DESPACHO - 500;    7,319;    7,080;;
709; BERTIOGA II - 138;    8,577;    8,645;;
3844; BERTIOGA 1 - 138;    8,602;    8,674;;
3846; BERTIOGA 3 - 138;    8,550;    8,612;;
4170; BERTIOGA 4 - 138;    8,569;    8,635;;
5513; B. ESPERANCA - 69;    6,466;    6,094;;
4339; BETIM 6 - 138;    7,652;    7,427;;
4337; BETIM 6 -345;    7,632;    7,404;;
9626; B. FLUMINENSE - 500;    7,926;    7,832;;
5158; BONGI - 13,8;    7,199;    7,010;;
936; BARRA GRANDE - 230;    7,448;    7,991;;
7628; COL BOA HORA - 138;    7,161;    7,028;;
948; BIGUACU - 138;    8,432;    9,104;;
947; BAIXO IGUACU SC - 230;    8,368;    9,025;;
946; BIGUACU--525;    8,102;    8,675;;
6584; BIRIGUI 3 - 138;    7,415;    7,339;;
3051; BIRITIBA - 138;    8,490;    8,542;;
6358; B.J.LAPA II - 230;    5,918;    5,470;;
6349; BJLAPAII - 500;    5,849;    5,367;;
6353; B.J.LAPA II - 69;    5,920;    5,474;;
6351; B.J.LAPA - 230;    5,920;    5,474;;
940; BLUMENAU - 138;    8,471;    9,122;;
939; BLUMENAU - 230;    8,432;    9,074;;
938; BLUMENAU - 525;    8,126;    8,666;;
5406; BOM NOME - 13,8;    5,877;    5,496;;
2113; BROTAS - 138;    8,338;    8,412;;
3423; BOITUVA 2 - 138;    9,198;    9,444;;
3054; BOISSUCANGA - 138;    8,511;    8,566;;
5156; BONGI - 69;    7,199;    7,010;;
5152; BONGI - 230;    7,199;    7,010;;
3155; BORBOREMA - 138;    7,803;    7,782;;
626; BOTUCATU - 138;    8,735;    8,886;;
625; BOTUCATU - 230;    8,816;    8,981;;
4506; BARRA PEIXE - 13,8;    6,798;    6,573;;
7770; BRANCO PERES - 138;    7,315;    7,239;;
7734; BRACEL - 440;    8,060;    8,082;;
3158; BRA. PAULISTA - 138;    8,397;    8,437;;
4868; BRASNORTE - 230;    6,227;    5,968;;
4871; BRASNORTE - 138;    6,261;    6,006;;
9064; BRAUNAS - 138;    7,791;    7,536;;
9063; BRAUNAS - 161;    7,803;    7,542;;
9051; BRAUNA - 230;    7,803;    7,542;;
276; BRISAMAR - 138;    8,010;    7,910;;
6334; BROT.MACAUBAS - 230;    5,530;    4,987;;
5944; BRUMADO II - 69;    8,237;    7,976;;
5947; BRUMADO II - 138;    8,237;    7,976;;
5941; BRUMADO II - 230;    8,237;    7,976;;
3917; BURI - 138;    9,372;    9,697;;
6075; BURITIRAMA - 500;    5,660;    5,177;;
5703; CIC. DANTAS - 69;    6,847;    6,654;;
5701; CIC.DANTAS - 230;    6,847;    6,654;;
756; CACHOEIRA DOURADA - 230;    6,395;    6,083;;
755; C. DOURADA - 138;    6,530;    6,234;;
4513; C. MAGALHAES - 138;    6,741;    6,509;;
4512; C. MAGALHAES - 230;    6,630;    6,389;;
3197; CANDIDO MOTA - 88;    8,113;    8,243;;
5526; COELHO NETO - 69;    7,375;    7,073;;
5525; COELHO NETO - 230;    7,390;    7,091;;
5263; CUR.NOVOS II - 69;    5,439;    4,933;;
5262; CURRAIS NOVOS II - 230;    5,439;    4,933;;
183; C. PAULISTA - 138;    7,894;    7,822;;
104; C. PAULISTA - 500;    7,880;    7,812;;
9014; CONSE. PENA - 69;    7,502;    7,253;;
7054; C.PORTO VELHO - 230;    6,049;    5,168;;
7055; C.PORTO VELHO - 500;    3,836;    3,836;;
7049; C. PORTO VELHO - 138;    6,090;    5,217;;
8551; CRISTIANO ROCHA - 230;    7,069;    6,784;;
591; CABREUVA - 138;    8,442;    8,494;;
590; CABREUVA - 230;    8,780;    8,888;;
584; CABREUVA - 440;    8,428;    8,482;;
9305; CACHOEIRINHA 3 - 138;    8,348;    9,079;;
683; CACONDE - 138;    8,028;    8,013;;
9458; CACU - 230;    6,189;    5,855;;
5098; CAETES II - 230;    6,342;    5,928;;
41414; CAIACA-SC - 230;    8,759;    9,498;;
3862; MELHORAMENTOS - 138;    8,458;    8,507;;
9675; CRUZ ALTA 1 – 23;    7,707;    8,462;;
10219; CRUZ ALTA 2 - 69;    7,857;    8,619;;
10218; CRUZ ALTA 2 - 230;    7,901;    8,665;;
5750; CAMACARI - 500;    6,910;    6,664;;
5756; CAMACARI IV - 230;    7,300;    7,163;;
5752; CAMACARI IV - 500;    6,931;    6,694;;
5757; CAMACARI II - 69;    7,314;    7,144;;
9570; CAMAQUA 3 - 69;    8,109;    8,805;;
9569; CAMAQUA 3 - 230;    8,099;    8,789;;
1195; CAMAQUA - 69;    8,113;    8,810;;
1194; CAMAQUA - 230;    8,124;    8,827;;
171; CAMPINAS - 138;    8,273;    8,339;;
123; CAMPINAS - 345;    8,355;    8,428;;
103; CAMPINAS - 500;    7,879;    7,921;;
117; CAMPOS 2 - 500;    7,695;    7,515;;
1196; CAMPO BOM - 69;    8,265;    8,969;;
1198; CAMPO BOM - 230;    8,265;    8,969;;
175; CAMPOS - 138;    7,594;    7,341;;
147; CAMPOS - 345;    7,559;    7,297;;
4684; CANARANA CMT - 230;    7,888;    7,805;;
4683; CANARANA CMT - 138;    7,723;    7,611;;
9591; CANDELARIA 2 - 69;    7,766;    8,477;;
9590; CANDELARIA 2 - 230;    7,766;    8,477;;
9952; CANDIOTA 2 - 230;    7,801;    8,453;;
9951; CANDIOTA 2 - 525;    7,938;    8,579;;
9785; CANDIOTA - 230;    7,442;    8,078;;
9786; CANDIOTA - 525;    7,442;    8,078;;
1324; CANOAS 1 - 23;    8,434;    9,173;;
1190; CANOA 1 - 230;    8,434;    9,173;;
1248; CANOAS 2 - 230;    8,225;    8,936;;
2725; CANOINHAS ESU - 138;    8,903;    9,559;;
943; CANOINHA - 230;    8,916;    9,567;;
1038; CAPIVARI SUL - 138;    8,373;    9,087;;
1037; CAPIVARI-230;    8,373;    9,087;;
1036; CAPIVARI-525;    8,039;    8,684;;
549; CAPIVARA - 440;    7,401;    7,373;;
550; CAPIVARA - 138;    7,418;    7,393;;
3885; CARDOSO - 138;    7,244;    7,126;;
3057; CARAGUATATUBA - 88;    8,449;    8,493;;
3715; CARAJAS GO - 138;    7,679;    7,571;;
3714; CARAJAS GO - 230;    7,679;    7,571;;
6397; CARAJAS PA - 138;    6,413;    6,013;;
6407; CARAJAS PA - 230;    6,413;    6,013;;
7182; CARAUBAS II - 69;    5,511;    4,993;;
477; CARBOCLORO - 230;    8,918;    9,015;;
45467; CARGILL - 138;    7,172;    7,065;;
840; CASCAVEL - 138;    8,180;    8,581;;
839; CASCAVEL - 230;    8,148;    8,552;;
9538; CASCAVEL NORT - 230;    8,211;    8,603;;
2458; CASCAVEL OESTE - 230;    8,012;    8,366;;
896; CASCAVOE - 525;    7,645;    7,901;;
9539; CASCAVEL NORT - 138;    8,170;    8,563;;
9332; CAMPO ASSOBIO - 13,8;    8,757;    9,363;;
10355; CASSILANDIA - 230;    6,939;    6,775;;
2354; CAMPO ASSOBIO - 138;    8,737;    9,334;;
2353; CAMPO ASSOBIO - 230;    8,757;    9,363;;
6489; CASTANHA - 230;    7,405;    7,125;;
