CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  6,660;  6,427;       ;       ;376,5;398,5
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  6,554;  6,310;       ;       ;152,5;167,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  6,814;  6,619;       ;       ;348,5;378,5
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  6,699;  6,469;       ;       ;464,0;483,5
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  6,392;  6,138;       ;       ;13,70;14,40
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  6,138;  6,138;       ;       ;32,50;31,20
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  6,138;  6,138;       ;       ;44,35;41,10
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  6,138;  6,138;       ;       ; 2,21; 2,22
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  6,138;  6,138;       ;       ;257,6;263,3
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  9,955; 10,326;       ;       ;90,00;90,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  9,333;  9,619;       ;       ;65,00;70,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  9,547;  9,854;       ;       ;19,50;21,50
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  9,554;  9,862;       ;       ;70,00;78,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  9,755; 10,096;       ;       ; 6,88;21,75
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  9,690; 10,004;       ;       ;23,10;23,10
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  9,746; 10,088;       ;       ;23,00;25,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  9,768; 10,121;       ;       ;96,04;105,0
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  9,567;  9,870;       ;       ;50,00;50,00
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  9,661;  9,973;       ;       ;87,50;87,50
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69; 10,147; 10,568;       ;       ;61,50;61,50
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8; 10,253; 10,656;       ;       ;60,00;60,00
CEEE-D;5707;23;9245;PALE10-RS013; PORTOALEGRE10 - 13,8; 10,211; 10,646;       ;       ;37,00;37,00
CEEE-D;5707;23;9234;PALE1A-RS069; PORTO ALEGRE 1 - 69;  9,990; 10,389;       ;       ;56,65;63,70
CEEE-D;5707;23;9243;PALE4A-RS013; PORTOALEGRE 4 - 13,8; 10,105; 10,525;       ;       ;93,00;110,0
CEEE-D;5707;23;9244;PALEG6-RS013; PORTOALEGRE6 - 13,8; 10,076; 10,471;       ;       ;35,00;35,00
CEEE-D;5707;23;1352;PALEG9-RS013; PORTO ALEGRE9 - 13,8;  9,863; 10,239;       ;       ;25,00;30,00
CEEE-D;5707;23;1269;PALG10-RS069; PORTOALEGRE10 - 69; 10,156; 10,578;       ;       ;60,00;65,00
CEEE-D;5707;23;1262;PALGR6-RS069; PORTOALEGRE6 - 69; 10,130; 10,544;       ;       ;67,50;72,50
CEEE-D;5707;23;1271;PALGR8-RS069; PORTO ALEGRE8 - 69;  9,941; 10,330;       ;       ;60,00;60,00
CEEE-D;5707;23;1266;PALGR9-RS069; PORTO ALEGRE9 - 69;  9,924; 10,311;       ;       ; 9,55;10,06
CEEE-D;5707;23;1240;PELOT3-RS138; PELOTAS3 - 138;  9,445;  9,731;       ;       ;130,0;140,0
CEEE-D;5707;23;1238;PMEDIC-RS138; P.MEDICI - 138;  9,143;  9,375;       ;       ;30,00;40,00
CEEE-D;5707;23;1245;QUINTA-RS069; QUINTA - 69;  9,368;  9,638;       ;       ;82,50;85,00
CEEE-D;5707;23;1247;QUINTA-RS138; QUINTA - 138;  9,383;  9,656;       ;       ;34,50;38,00
CEEE-D;5707;23;9303;RESTIN-RS069; RESTINGA - 69; 10,290; 10,689;       ;       ;90,00;90,00
CEEE-D;5707;23;9559;SJERUT-RS069; N.S. JERONIMO - 69;  9,690; 10,003;       ;       ; 6,00; 6,00
CEEE-D;5707;23;9823;SVPAL2-RS138; S V PALMAR 2 - 138;  9,071;  9,305;       ;       ;15,00;40,00
CEEE-D;5707;23;9694;TORRE2-RS069; TORRES 2- 69;  9,932; 10,323;       ;       ;23,50;25,85
CEEE-D;5707;23;9264;VIAMA3-RS069; VIAMAO 3 - 69;  9,981; 10,351;       ;       ;95,00;95,00
CELESC-DIS;5697;25;948;BIGUAC-SC138; BIGUACU - 138;  9,636;  9,986;       ;       ;425,0;487,0
CELESC-DIS;5697;25;940;BLUMEN-SC138; BLUMENAU - 138;  9,580;  9,937;       ;       ;309,0;381,0
CELESC-DIS;5697;25;2725;CANOIN-SC138; CANOINHAS ESU - 138;  9,925; 10,312;       ;       ;250,0;280,0
CELESC-DIS;5697;25;958;CNOVOE-SC138; C.NOVOS - 138;  8,987;  9,187;       ;       ;268,0;290,0
CELESC-DIS;5697;25;2706;DESTER-SC138; DESTERRO - 138;  9,978; 10,390;       ;       ;123,0;140,0
CELESC-DIS;5697;25;2749;FORQUI-SC069; FORQUILHINHA - 69;  9,758; 10,142;       ;       ;55,00;71,00
CELESC-DIS;5697;25;9534;GASPA2-SC138; GASPAR-2-138;  9,908; 10,363;       ;       ;301,0;379,0
CELESC-DIS;5697;25;2780;INDAIA-SC138; INDAIAL - 138;  9,878; 10,325;       ;       ;147,0;190,0
CELESC-DIS;5697;25;10071;ITAJA2-SC138; ITAJAI 2 - 138;  9,609;  9,963;       ;       ;195,0;230,0
CELESC-DIS;5697;25;2775;ITAJFZ-SC138; ITAJAI - 138;  9,613;  9,967;       ;       ;375,0;321,0
CELESC-DIS;5697;25;2783;JARAGU-SC138; JARAGUA DO SUL - 138;  9,657; 10,032;       ;       ;133,0;179,0
CELESC-DIS;5697;25;1008;JLAC-A-SC069; U.JLACERDA-A - 69;  9,432;  9,735;       ;       ;102,0;108,0
CELESC-DIS;5697;25;1007;JLAC-A-SC138; U.JLACERDA-A - 138;  9,451;  9,758;       ;       ;113,0;114,0
CELESC-DIS;5697;25;2724;JOINOR-SC138; JOINV.NORTE - 138;  9,845; 10,267;       ;       ;319,0;394,0
CELESC-DIS;5697;25;1017;JOINVI-SC069; JOINVILLE - 69;  9,847; 10,268;       ;       ;81,00;104,0
CELESC-DIS;5697;25;1016;JOINVI-SC138; JOINVILLE - 138;  9,822; 10,237;       ;       ;337,0;394,0
CELESC-DIS;5697;25;10057;JOISUL-SC138; JOINVILLE SUL - 138;  9,594;  9,953;       ;       ;178,0;211,0
CELESC-DIS;5697;25;2805;LAGES--SC138; LAGES - 138;  9,393;  9,698;       ;       ;198,0;223,0
CELESC-DIS;5697;25;1035;PALH-E-SC138; PALHOCA ESU - 138;  9,801; 10,183;       ;       ;336,0;369,0
CELESC-DIS;5697;25;9841;PINHA2-SC138; PINHALZINHO 2 - 138;  9,067;  9,273;       ;       ;252,0;284,0
CELESC-DIS;5697;25;2847;RIOSUL-SC138; RIO DO SUL - 138;  9,824; 10,255;       ;       ;191,0;246,0
CELESC-DIS;5697;25;9993;Ratones--138; RATONES - 138;  9,836; 10,221;       ;       ;205,0;215,0
CELESC-DIS;5697;25;2857;SIDERO-SC069; SIDEROPOL.ESU - 69;  9,563;  9,908;       ;       ;17,26;21,32
CELESC-DIS;5697;25;1065;TUBARAOS--69; TUBARAO SUL - 69;  9,521;  9,852;       ;       ;50,00;58,00
CELESC-DIS;5697;25;1064;TUBARAOS-138; TUBARAO SUL – 138;  9,562;  9,900;       ;       ;88,00;107,0
CELESC-DIS;5697;25;2891;VIDEI2-SC138; VIDEIRA - 138;  9,269;  9,510;       ;       ;245,0;263,0
CELESC-DIS;5697;25;2896;XANXER-SC138; XANXERE ESU - 138;  9,025;  9,216;       ;       ;400,0;445,0
CEMIG-D;4950;2;4081;ARACUA-MG138; ARACUAI 2 - 138;  6,138;  6,138;       ;       ;239,0;239,0
CEMIG-D;4950;2;7411;ARAXA3-MG138; ARAXA 3 - 138;  6,661;  6,454;       ;       ;147,0;162,0
CEMIG-D;4950;2;309;BARBA-PCH138; BARBACENA 2 - 138;  7,774;  7,699;       ;       ;209,0;266,0
CEMIG-D;4950;2;314;BARREI-MG138; BARREIRO 1 - 138;  7,204;  7,010;       ;       ;690,0;690,0
CEMIG-D;4950;2;4339;BETIM6---138; BETIM 6 - 138;  7,044;  6,837;       ;       ;347,0;363,0
CEMIG-D;4950;2;9064;BRAUNA-MG138; BRAUNAS - 138;  7,163;  6,943;       ;       ;137,0;137,0
CEMIG-D;4950;2;9063;BRAUNA-MG161; BRAUNAS - 161;  7,165;  6,941;       ;       ;26,00;26,00
CEMIG-D;4950;2;9014;C.PENA-MG069; CONSE. PENA - 69;  6,931;  6,707;       ;       ;30,00;29,00
CEMIG-D;4950;2;9009;CPENA--MG013; CONSE. PENA - 13,8;  6,931;  6,707;       ;       ;30,00;29,00
CEMIG-D;4950;2;321;EMBORC-MG138; EMBORCACAO - 138;  6,468;  6,230;       ;       ;128,2;133,5
CEMIG-D;4950;2;9007;GVA-T9-MG013; G.VALADARES 2 - 13,8;  6,940;  6,713;       ;       ;66,00;65,00
CEMIG-D;4950;2;1532;IPATD-PCH161; IPATINGA 1 - 161;  7,225;  7,020;       ;       ;160,5;160,5
CEMIG-D;4950;2;9011;IPATI1-MG013; IPATINGA 1 - 13,8;  7,226;  7,021;       ;       ;44,00;44,00
CEMIG-D;4950;2;1535;IPATIN-MG138; IPATINGA 1 - 138;  7,231;  7,027;       ;       ;210,0;210,0
CEMIG-D;4950;2;1537;ITABI2-MG069; ITABIRA 2 - 69;  7,228;  7,028;       ;       ;58,50;58,50
CEMIG-D;4950;2;9020;ITABI2PCH013; ITABIRA 2 - 13,8;  7,067;  6,846;       ;       ;32,00;32,00
CEMIG-D;4950;2;1504;ITAJU3PCH138; ITAJUBA 3 - 138;  7,784;  7,711;       ;       ;340,0;340,0
CEMIG-D;4950;2;323;ITUTIN-MG138; ITUTINGA-SE - 138;  7,719;  7,620;       ;       ;270,0;270,0
CEMIG-D;4950;2;332;J.FORAPCH138; JUIZ DE FORA1 - 138;  7,821;  7,758;       ;       ;313,0;375,0
CEMIG-D;4950;2;330;JAGUAR-MG138; JAGUARA-SE - 138;  6,833;  6,647;       ;       ;185,0;197,0
CEMIG-D;4950;2;4391;JAIBA--MG138; JAIBA - 138;  6,138;  6,138;       ;       ;100,0;112,0
CEMIG-D;4950;2;4312;JANAU3-MG138; JANAUBA 3 - 138;  6,138;  6,138;       ;       ;137,0;137,0
CEMIG-D;4950;2;4326;JMONLEV4--69; J. MONLEVADE 4 - 69;  7,340;  7,154;       ;       ;58,50;58,50
CEMIG-D;4950;2;337;LAFAIE-MG138; LAFAIETE 1 - 138;  7,622;  7,512;       ;       ;331,0;340,0
CEMIG-D;4950;2;187;M.MORA-MG138; M. MORAES - 138;  7,338;  7,216;       ;       ;277,4;310,5
CEMIG-D;4950;2;7409;MALGR2-MG138; M A DE MINAS 2 -138;  6,778;  6,590;       ;       ;203,0;213,0
CEMIG-D;4950;2;342;MCLAR2-MG138; MONTESCLAROS2 - 138;  6,138;  6,138;       ;       ;288,0;292,0
CEMIG-D;4950;2;353;NEVES-BIO138; NEVES 1 - 138;  6,735;  6,497;       ;       ;750,0;750,0
