USINA;CEG;CÓD. ONS;UF;MUST;CLASSIFICAÇÃO;CICLO TC N-1;CICLO TB N;TC N;TUST Estab.;TUST RB
EOL ABIL;031402-1;1763;BA;23,1;ENVOLTÓRIA;;10,817;10,817;;10,817
EOL ACACIA;031418-8;1768;BA;15,8;ENVOLTÓRIA;;10,747;10,747;;10,747
EOL ACARI (RIACHAO I);030870-6;1458;RN;28,7;ENVOLTÓRIA;;10,750;10,750;;10,750
EOL ACAUA;031433-1;2036;BA;5,9;ENVOLTÓRIA;;10,817;10,817;;10,817
EOL ACAUA I;033597-5;2756;RN;24,4;ENVOLTÓRIA;;11,758;11,758;;11,758
EOL ACAUA II;033598-3;2753;RN;20,4;ENVOLTÓRIA;;11,758;11,758;;11,758
EOL ACAUA III;033864-8;2754;RN;16,3;ENVOLTÓRIA;;11,758;11,758;;11,758
EOL AFONSO BEZERRA I;035158-0;2627;RN;28,8;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL AFONSO BEZERRA II;035159-8;2628;RN;28,8;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL AFONSO BEZERRA III;035160-1;2632;RN;28,8;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL AFONSO BEZERRA IV;035161-0;2633;RN;16,5;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL ALBUQUERQUE (RIACHAO II);030871-4;1459;RN;26,4;ENVOLTÓRIA;;10,750;10,750;;10,750
EOL ALEGRIA I(NEW ENERGY);028444-0;259;RN;49,2;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL ALEGRIA II(NEW ENERGY);028443-2;260;RN;96,7;ENVOLTÓRIA;;11,591;11,591;;11,591
EOL ALVORADA;030320-8;1246;BA;8,0;ENVOLTÓRIA;;10,841;10,841;;10,841
EOL AMESCLA;032090-0;1941;BA;13,2;ENVOLTÓRIA;;10,468;10,468;;10,468
EOL AMETISTA;030779-3;1670;BA;28,1;ENVOLTÓRIA;;10,841;10,841;;10,841
EOL ANEMOI (RIACHAO IV);030874-9;1460;RN;29,0;ENVOLTÓRIA;;10,750;10,750;;10,750
EOL ANEMUS WIND 1;034498-2;3334;RN;37,8;ENVOLTÓRIA;;11,737;11,737;;11,737
