Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
542; TRES IRMAOS - 440;;  7,879;  0,000;  4,728;  4,408;;;  4,408;
8344; ABAIARA - 230;;  8,120; 17,096; 11,710; 11,312;;; 11,312;
9739; ABDON BATISTA - 230;;  3,560;  0,000;  2,136;  4,408;;;  4,408;
9738; ABDON BATISTA - 525;;  3,296;  0,000;  1,977;  4,408;;;  4,408;
6930; ABUNA - 230;;  9,251;  0,000;  5,551;  5,152;;;  5,152;
6700; ACAILANDIA - 500;;  9,316; 13,560; 11,014; 10,615;;; 10,615;
5923; ACARAT CE - 230;;  9,003; 16,047; 11,821; 11,422;;; 11,422;
5318; ACARAT-CE500;;  9,006; 15,921; 11,772; 11,373;;; 11,373;
5486; ACARAU II – 230;;  9,007; 16,084; 11,838; 11,439;;; 11,439;
1596; ACESITA - 230;;  4,823;  2,239;  3,789;  4,408;;;  4,408;
5461; ACU II - 230;;  9,701; 18,028; 13,032; 12,633;;; 12,633;
5351; ACU III - 230;;  9,819; 18,170; 13,159; 12,760;;; 12,760;
5350; ACU III - 500;;  9,665; 17,560; 12,823; 12,424;;; 12,424;
140; ADRIANOPOLIS - 345;;  5,210;  0,372;  3,275;  4,408;;;  4,408;
106; ADRIANOPOLIS - 500;;  5,399;  0,296;  3,358;  4,408;;;  4,408;
2987; AG.LINDAS230;;  8,002;  4,762;  6,706;  6,307;;;  6,307;
453; AGUA AZUL - 440;;  4,213;  0,000;  2,528;  4,408;;;  4,408;
4043; AIMORES - 230;;  7,164;  3,645;  5,756;  5,358;;;  5,358;
6000; ALAGOAS 2 - 230;;  5,058; 12,181;  7,907;  7,508;;;  7,508;
1186; ALEGRETE2 - 230;;  3,018;  0,000;  1,811;  4,408;;;  4,408;
8163; ALEX - 230;;  9,750; 18,552; 13,271; 12,872;;; 12,872;
6521; ALTAMIRA - 230;;  6,924; 11,115;  8,601;  8,202;;;  8,202;
668; ALTA PAULISTA - 400;;  7,058;  0,000;  4,235;  4,408;;;  4,408;
1078; ANASTACIO - 230;;  6,968;  0,000;  4,181;  4,408;;;  4,408;
44594; ANEMUS - 230;;  9,810; 18,575; 13,316; 12,917;;; 12,917;
5100; ANGELIM - 500;;  7,835; 15,568; 10,928; 10,529;;; 10,529;
5101; ANGELIM - 230;;  7,459; 15,548; 10,695; 10,296;;; 10,296;
105; ANGRA - 500;;  5,741;  0,287;  3,559;  4,408;;;  4,408;
760; ANHANGUERA GO - 230;;  7,100;  1,536;  4,874;  4,475;;;  4,475;
431; ANHANGUERA SP - 230;;  2,688;  0,000;  1,613;  4,408;;;  4,408;
439; ANHANGUERA - 345;;  3,554;  0,000;  2,132;  4,408;;;  4,408;
458; APARECIDA - 230;;  4,724;  0,000;  2,834;  4,408;;;  4,408;
878; APUCARANA - 230;;  3,625;  0,000;  2,175;  4,408;;;  4,408;
5381; AQUIRAZ - 230;;  8,156; 16,635; 11,547; 11,149;;; 11,149;
4070; ARACUAI - 230;; 12,382;  7,656; 10,491; 10,092;;; 10,092;
6081; ARAPIRACA III - 230;;  3,034; 11,433;  6,393;  5,994;;;  5,994;
559; ARARAQUARA - 440;;  5,725;  0,000;  3,435;  4,408;;;  4,408;
101; ARARAQUARA - 500;;  6,500;  0,000;  3,900;  4,408;;;  4,408;
99; ARARAQUARA - 525;;  6,500;  0,000;  3,900;  4,408;;;  4,408;
589; ARARAS SP - 440;;  4,871;  0,000;  2,923;  4,408;;;  4,408;
7058; ARARAQUARA 2 - 440;;  6,218;  0,000;  3,731;  4,408;;;  4,408;
7057; ARARAQUARA 2 - 500;;  6,488;  0,000;  3,893;  4,408;;;  4,408;
5092; ARCOVERDE II - 230;;  7,560; 15,691; 10,812; 10,413;;; 10,413;
934; AREIA - 230;;  3,125;  0,000;  1,875;  4,408;;;  4,408;
933; AREIA - 525;;  4,040;  0,000;  2,424;  4,408;;;  4,408;
4349; ARINOS 2 - 500;; 12,111;  8,846; 10,805; 10,406;;; 10,406;
6880; ARIQUEMES - 230;;  8,873;  0,000;  5,324;  4,925;;;  4,925;
45680; ASOLO 2 - 230;;  9,888;  2,544;  6,950;  6,551;;;  6,551;
552; ASSIS - 440;;  6,122;  0,000;  3,673;  4,408;;;  4,408;
556; ASSIS - 525;;  5,801;  0,000;  3,481;  4,408;;;  4,408;
551; ASSIS 2 - 230;;  5,194;  0,000;  3,117;  4,408;;;  4,408;
697; ATIBAIA 2 - 345;;  4,015;  0,000;  2,409;  4,408;;;  4,408;
1330; ATLANTIDA 2 - 230;;  1,394;  0,000;  0,836;  4,408;;;  4,408;
629; AVARE - 230;;  2,867;  0,000;  1,720;  4,408;;;  4,408;
3150; AVARE NOVA - 230;;  2,867;  0,000;  1,720;  4,408;;;  4,408;
536; AGUA VERMELHA - 440;;  7,680;  0,377;  4,758;  4,408;;;  4,408;
535; AGUA VERMELHA - 500;;  7,930;  1,092;  5,195;  4,796;;;  4,796;
451; AVILLAR - 230;;  3,265;  0,000;  1,959;  4,408;;;  4,408;
9892; ANDIRA LESTE - 230;;  3,914;  0,000;  2,348;  4,408;;;  4,408;
229; BARRO ALTO - 230;;  9,168;  6,229;  7,992;  7,593;;;  7,593;
4040; BARRO BRANCO - 345;;  6,234;  2,012;  4,545;  4,408;;;  4,408;
9444; B. DOS COQUEIROS - 230;;  9,852;  2,532;  6,924;  6,525;;;  6,525;
5511; B.ESPERANCA - 230;;  8,091; 13,962; 10,440; 10,041;;; 10,041;
5510; B.ESPERANCA - 500;;  9,291; 13,933; 11,148; 10,749;;; 10,749;
227; BRASILIA GERAL - 230;;  7,335;  3,656;  5,863;  5,464;;;  5,464;
574; BOM JARDIM - 440;;  4,524;  0,000;  2,715;  4,408;;;  4,408;
7181; B.JESUS II - 230;;  8,865; 13,404; 10,680; 10,282;;; 10,282;
3699; BRASILIA LESTE - 500;;  9,152;  6,014;  7,897;  7,498;;;  7,498;
5401; BOM NOME - 230;;  8,082; 16,666; 11,516; 11,117;;; 11,117;
4502; BARRA PEIXE - 230;;  8,792;  0,832;  5,608;  5,209;;;  5,209;
228; BRAS. SUL - 230;;  7,834;  4,017;  6,307;  5,908;;;  5,908;
219; BRAS. SUL -345;;  8,417;  4,782;  6,963;  6,564;;;  6,564;
5684; BACAB - MA - 500;;  8,783; 14,689; 11,145; 10,747;;; 10,747;
1188; BAGE 2 - 230;;  2,843;  0,000;  1,706;  4,408;;;  4,408;
478; BAGUACU - 440;;  6,629;  0,000;  3,978;  4,408;;;  4,408;
1495; BAGUARI - 230;;  7,148;  3,916;  5,855;  5,456;;;  5,456;
9354; BAIXO IGUACU PR - 230;;  3,761;  0,000;  2,256;  4,408;;;  4,408;
472; B. SANTISTA - 230;;  2,920;  0,000;  1,752;  4,408;;;  4,408;
471; B. SANTISTA - 345;;  3,394;  0,000;  2,036;  4,408;;;  4,408;
8501; BALBINA - 230;;  6,880; 11,538;  8,743;  8,345;;;  8,345;
5391; BALSAS - 230;;  9,369; 13,489; 11,017; 10,618;;; 10,618;
5421; BANABUIU - 230;;  9,094; 17,869; 12,604; 12,205;;; 12,205;
226; BANDEIRANTE GO - 230;;  7,396;  2,152;  5,298;  4,900;;;  4,900;
218; BANDEIRANTE GO - 345;;  8,085;  3,822;  6,380;  5,981;;;  5,981;
492; BANDEIRANTE SP - 345;;  3,327;  0,000;  1,996;  4,408;;;  4,408;
308; BARBACENA - 345;;  5,369;  0,729;  3,513;  4,408;;;  4,408;
6315; BARREIRAS II - 230;; 10,390; 11,129; 10,686; 10,287;;; 10,287;
6361; BARREIRAS - 230;; 10,030; 10,927; 10,389;  9,990;;;  9,990;
6360; BARREIRAS - 500;; 10,933; 10,849; 10,899; 10,500;;; 10,500;
313; BARREIRO - 345;;  6,617;  2,534;  4,984;  4,585;;;  4,585;
112; BATEIAS - 500;;  3,750;  0,000;  2,250;  4,408;;;  4,408;
113; BATEIAS 2 - 500;;  3,750;  0,000;  2,250;  4,408;;;  4,408;
814; BATEIAS - 230;;  2,678;  0,000;  1,607;  4,408;;;  4,408;
895; BATEIAS - 525;;  3,663;  0,000;  2,198;  4,408;;;  4,408;
114; BATEIAS 3 - 500;;  3,749;  0,000;  2,250;  4,408;;;  4,408;
561; BAURU SP - 440;;  5,553;  0,000;  3,332;  4,408;;;  4,408;
9004; BARAO DE COCAIS 3 - 230;;  5,711;  2,423;  4,396;  4,408;;;  4,408;
4050; B.DESPACHO - 500;;  7,539;  3,075;  5,753;  5,354;;;  5,354;
4337; BETIM 6 -345;;  7,064;  2,933;  5,412;  5,013;;;  5,013;
9626; B. FLUMINENSE - 500;;  5,480;  0,258;  3,391;  4,408;;;  4,408;
936; BARRA GRANDE - 230;;  3,922;  0,000;  2,353;  4,408;;;  4,408;
947; BAIXO IGUACU SC - 230;;  2,204;  0,000;  1,323;  4,408;;;  4,408;
946; BIGUACU--525;;  2,927;  0,000;  1,756;  4,408;;;  4,408;
6358; B.J.LAPA II - 230;; 11,178; 11,241; 11,203; 10,804;;; 10,804;
6349; BJLAPAII - 500;; 11,156; 10,507; 10,896; 10,498;;; 10,498;
6351; B.J.LAPA - 230;; 11,169; 11,313; 11,227; 10,828;;; 10,828;
939; BLUMENAU - 230;;  2,242;  0,000;  1,345;  4,408;;;  4,408;
938; BLUMENAU - 525;;  3,015;  0,000;  1,809;  4,408;;;  4,408;
5152; BONGI - 230;;  5,688; 14,321;  9,141;  8,742;;;  8,742;
625; BOTUCATU - 230;;  3,074;  0,000;  1,845;  4,408;;;  4,408;
7734; BRACEL - 440;;  5,174;  0,000;  3,104;  4,408;;;  4,408;
4868; BRASNORTE - 230;;  9,907;  0,798;  6,263;  5,864;;;  5,864;
9051; BRAUNA - 230;;  6,504;  3,338;  5,237;  4,839;;;  4,839;
6334; BROT.MACAUBAS - 230;; 11,843; 14,025; 12,716; 12,317;;; 12,317;
5941; BRUMADO II - 230;;  5,346;  5,260;  5,312;  4,913;;;  4,913;
6075; BURITIRAMA - 500;; 10,718; 12,834; 11,564; 11,165;;; 11,165;
5701; CIC.DANTAS - 230;;  6,536; 14,412;  9,686;  9,287;;;  9,287;
756; CACHOEIRA DOURADA - 230;;  9,991;  2,839;  7,130;  6,732;;;  6,732;
4512; C. MAGALHAES - 230;;  9,081;  0,892;  5,805;  5,406;;;  5,406;
5525; COELHO NETO - 230;;  6,056; 12,855;  8,776;  8,377;;;  8,377;
5262; CURRAIS NOVOS II - 230;;  9,810; 18,575; 13,316; 12,917;;; 12,917;
104; C. PAULISTA - 500;;  5,528;  0,000;  3,317;  4,408;;;  4,408;
7054; C.PORTO VELHO - 230;; 10,208;  0,000;  6,125;  5,726;;;  5,726;
