BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,164
1206; AG.LINDAS230;    8,056
251; ACU II - 230;   12,842
11265; ACU III - 230;   12,523
11565; ACU III - 500;   12,288
7747; ABDON BATISTA - 230;    5,443
7744; ABDON BATISTA - 525;    5,191
9537; ABUNA - 230;    4,784
559; ACAILANDIA - 500;   10,345
55412; ACARAU II – 230;   11,427
12907; ACARAT CE - 230;   11,414
12902; ACARAT-CE500;   11,390
4475; ACESITA - 230;    6,341
3729; ADRIANOPOLIS - 345;    6,456
3728; ADRIANOPOLIS - 500;    6,585
1637; AIMORES - 230;    8,056
11760; ALAGOAS 2 - 230;    9,164
9002; ALEGRETE2 - 230;    4,784
56095; ALEX - 230;   12,476
362; ALTAMIRA - 230;    9,376
7758; ANASTACIO - 230;    5,939
2770; ANDIRA LESTE - 230;    4,784
540; ANGELIM - 500;   10,834
240; ANGELIM - 230;   10,719
3745; ANGRA - 500;    6,933
1172; ANHANGUERA GO - 230;    6,900
2901; ANHANGUERA SP - 230;    4,784
2900; ANHANGUERA - 345;    4,784
2957; APARECIDA - 230;    5,470
2758; ALTA PAULISTA - 400;    6,519
6601; APUCARANA - 230;    4,902
58771; LAGOA BARRO - 230;   11,711
11219; AQUIRAZ - 230;   11,091
1522; ARACUAI - 230;    9,970
11242; ARAPIRACA III - 230;    7,496
5203; ARARAQUARA 2 - 440;    6,665
5202; ARARAQUARA 2 - 500;    6,537
2630; ARARAQUARA - 440;    6,238
3852; ARARAQUARA - 500;    6,383
2673; ARARAS SP - 440;    5,456
38906; ARAXA 3 - 345;    6,960
12203; ARCOVERDE II - 230;   10,852
7749; AREIA - 230;    5,335
7748; AREIA - 525;    5,597
39813; ARINOS 2 - 500;    9,924
9520; ARIQUEMES - 230;    4,784
302; MOXOTO - 230;   11,716
2624; ASSIS - 440;    6,068
4282; ASSIS - 525;    6,077
2626; ASSIS 2 - 230;    5,561
2677; ATIBAIA 2 - 345;    4,784
7923; ATLANTIDA 2 - 230;    4,784
2786; AVARE - 230;    4,784
2617; AGUA VERMELHA - 500;    7,349
2618; AGUA VERMELHA - 440;    7,064
3947; BARRO ALTO - 230;    9,093
3605; BARRO BRANCO - 345;    6,544
4297; B. DOS COQUEIROS - 230;    7,595
229; B.ESPERANCA - 230;   10,784
4288; B. FLUMINENSE - 500;    6,592
7304; BARRA GRANDE - 230;    5,779
6608; BAIXO IGUACU PR - 230;    5,741
11050; B.JESUS II - 230;   10,343
3236; BARRA PEIXE - 230;    6,736
13103; BACAB - MA - 500;   10,775
9010; BAGE 2 - 230;    4,784
2733; BAGUACU - 440;    6,250
1645; BAGUARI - 230;    8,058
2920; B. SANTISTA - 230;    4,784
2919; B. SANTISTA - 345;    4,784
10410; BALBINA - 230;    7,131
215; BALSAS - 230;   10,192
222; BANABUIU - 230;   12,194
3909; BANDEIRANTE GO - 345;    7,953
2934; BANDEIRANTE SP - 345;    4,784
1480; BARBACENA - 345;    6,136
11286; BARREIRAS II - 230;   10,257
286; BARREIRAS - 230;   10,170
1482; BARREIRO - 345;    6,699
846; BARREIRAS - 500;   10,558
6627; BATEIAS - 230;    4,784
3696; BATEIAS 3 - 500;    5,402
6628; BATEIAS - 525;    5,399
2628; BAURU SP - 440;    5,492
1612; BARAO DE COCAIS 3 - 230;    6,507
1485; B.DESPACHO - 500;    7,978
529; B.ESPERANCA - 500;   10,736
26454; BETIM 6 -345;    6,942
7740; BAIXO IGUACU SC - 230;    4,784
7741; BIGUACU--525;    4,784
2638; BOM JARDIM - 440;    5,136
385; B.J.LAPA II - 230;   10,599
585; BJLAPAII - 500;   10,215
285; B.J.LAPA - 230;   10,600
35351; BRASILIA LESTE - 500;    8,611
7734; BLUMENAU - 230;    4,784
7733; BLUMENAU - 525;    4,784
220; BOM NOME - 230;   11,809
243; BONGI - 230;    9,733
2777; BOTUCATU - 230;    4,784
3936; BRASILIA GERAL - 230;    7,196
3920; BRAS. SUL - 230;    7,573
3919; BRAS. SUL -345;    8,129
30984; BRACEL - 440;    5,095
3300; BRASNORTE - 230;    6,159
1600; BRAUNA - 230;    7,797
205; BROT.MACAUBAS - 230;   12,064
376; BRUMADO II - 230;    7,943
38913; HELIO VALGAS MG - 345;    9,813
12318; BURITIRAMA - 500;   10,805
9266; CRUZ ALTA 2 - 230;    4,784
4481; CANA BRAVA - 230;    9,800
6615; C.COMPRIDO - 230;    4,784
270; CIC.DANTAS - 230;   10,319
11461; CAMPO FORMOSO - 230;   12,450
9020; C.INDUSTRIAL - 230;    4,784
236; COELHO NETO - 230;    8,954
11253; CURRAIS NOVOS II - 230;   12,409
3720; C. PAULISTA - 500;    6,458
38871; CACU - 230;    7,595
2649; CABREUVA - 230;    4,784
2647; CABREUVA - 440;    4,784
58008; CAETES II - 230;   10,852
51457; CAMAQUA 3 - 230;    4,784
574; CAMACARI - 500;    9,943
284; CAMACARI IV - 230;    9,222
584; CAMACARI IV - 500;    9,831
9030; CAMAQUA - 230;    4,784
3701; CAMPINAS - 345;    4,784
3700; CAMPINAS - 500;    5,853
38951; CAMPOS 2 - 500;    7,215
9015; CAMPO BOM - 230;    4,784
3785; CAMPOS - 345;    7,231
38873; CANARANA CMT - 230;    5,919
9283; CANDELARIA 2 - 230;    4,784
9040; CANDIOTA 2 - 230;    4,875
7753; CANDIOTA 2 - 525;    4,945
50209; CANDIOTA - 230;    4,875
9045; CANOA 1 - 230;    4,784
9050; CANOAS 2 - 230;    4,784
7778; CANOINHA - 230;    4,784
50215; CAPIVARI-230;    4,784
50212; CAPIVARI-525;    4,784
2622; CAPIVARA - 440;    6,364
1202; CARAJAS GO - 230;    6,861
916; CARAJAS PA - 230;    9,391
2966; CARBOCLORO - 230;    4,784
6624; CASCAVEL - 230;    5,647
44900; CASCAVEL NORT - 230;    5,366
6625; CASCAVEL OESTE - 230;    5,635
6626; CASCAVOE - 525;    6,139
6762; CAMPO ASSOBIO - 230;    4,784
235; CASTANHA - 230;    8,239
51704; CASTERTECH - 230;    4,784
7023; CASTRO NORTE - 230;    4,784
272; CATU - 230;    8,660
218; CAIUPE - 230;   11,019
9062; CAXIAS SUL 2 - 230;    4,784
9065; CAXIAS 5 -230;    4,784
9066; CAXIAS 6 - 230;    4,784
46948; CAXIAS - 230;    4,784
46947; CAXIAS NORTE - 525;    4,784
9060; CAXIAS NORTE - 230;    4,784
7751; CAXIAS RS - 525;    4,784
4532; CBA - 230;    4,784
2672; CBA TERM - 440;    4,784
7299; CBA LESTE - 230;    4,867
7300; CBA LESTE - 525;    5,286
44655; CURITIBA NORT - 230;    4,785
2802; CAPAO BONITO - 230;    4,784
1153; CACHOEIRA DOURADA - 230;    8,364
2941; TR.CENTRO 1 - 230;    4,784
2942; TR.CENTRO 2 - 230;    4,784
2943; CENTRO - 230;    4,784
44906; CERQUILHO 3 - 230;    4,784
39850; CAMPO GRANDE II - 230;    6,627
11244; CAMPINA GRANDE II - 230;   11,061
12244; CAMPINA GRANDE III - 230;   11,238
544; CAMPINA GRANDE III - 500;   11,544
58208; CHAPADA 1 PI - 230;   11,610
58217; CHAPADA 2 PI - 230;   11,857
58227; CHAPADA 3 PI - 230;   12,232
13020; CHAPADINHA II - 230;    9,162
38853; CHAPADAO - 230;    8,064
7882; CHARQUEADAS 3 - 230;    4,784
7780; CHARQUEADAS (SE) - 230;    4,784
2773; CHAVANTES - 230;    4,784
6617; C.IND. CURITIBA - 230;    4,784
4582; CLAUDIA - 500;    7,253
