GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.805,10.086,10.174,10.09,10.085,10.45,10.459,10.439,10.439,10.419,10.399000000000001,10.379000000000001,10.359000000000002,10.339000000000002,10.319000000000003,10.299000000000003,10.279000000000003
EOL ACACIA,0,10.456,10.747,10.026,10.109,10.043,10.038,10.399,10.408,10.388,10.388,10.368,10.348,10.328000000000001,10.308000000000002,10.288000000000002,10.268000000000002,10.248000000000003,10.228000000000003
EOL ACARI (RIACHAO I),0,10.042,10.096,10.73,11.652,11.305,11.382,11.505,11.55,11.530000000000001,11.530000000000001,11.510000000000002,11.490000000000002,11.470000000000002,11.450000000000003,11.430000000000003,11.410000000000004,11.390000000000004,11.370000000000005
EOL ACAUA,0,10.528,10.805,10.086,10.174,10.167,10.145,10.532,10.542,10.522,10.522,10.502,10.482000000000001,10.462000000000002,10.442000000000002,10.422000000000002,10.402000000000003,10.382000000000003,10.362000000000004
EOL ACAUA I,0,10.986,11.193,12.002,12.939,12.13,12.225,12.362,12.421,12.401,12.401,12.381,12.361,12.341000000000001,12.321000000000002,12.301000000000002,12.281000000000002,12.261000000000003,12.241000000000003
EOL ACAUA II,0,10.986,11.193,12.002,12.939,12.13,12.225,12.362,12.421,12.401,12.401,12.381,12.361,12.341000000000001,12.321000000000002,12.301000000000002,12.281000000000002,12.261000000000003,12.241000000000003
EOL ACAUA III,0,10.986,11.193,12.002,12.939,12.13,12.225,12.362,12.421,12.401,12.401,12.381,12.361,12.341000000000001,12.321000000000002,12.301000000000002,12.281000000000002,12.261000000000003,12.241000000000003
EOL AFONSO BEZERRA I,0,10.878,10.977,11.738,12.633,12.502,12.603,12.747,12.813,12.793000000000001,12.793000000000001,12.773000000000001,12.753000000000002,12.733000000000002,12.713000000000003,12.693000000000003,12.673000000000004,12.653000000000004,12.633000000000004
EOL AFONSO BEZERRA II,0,10.878,10.977,11.738,12.633,12.502,12.603,12.747,12.813,12.793000000000001,12.793000000000001,12.773000000000001,12.753000000000002,12.733000000000002,12.713000000000003,12.693000000000003,12.673000000000004,12.653000000000004,12.633000000000004
EOL AFONSO BEZERRA III,0,10.878,10.977,11.738,12.633,12.502,12.603,12.747,12.813,12.793000000000001,12.793000000000001,12.773000000000001,12.753000000000002,12.733000000000002,12.713000000000003,12.693000000000003,12.673000000000004,12.653000000000004,12.633000000000004
EOL AFONSO BEZERRA IV,0,10.878,10.977,11.738,12.633,12.502,12.603,12.747,12.813,12.793000000000001,12.793000000000001,12.773000000000001,12.753000000000002,12.733000000000002,12.713000000000003,12.693000000000003,12.673000000000004,12.653000000000004,12.633000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,-0.02,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16,-0.18
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.096,10.73,11.652,11.305,11.382,11.505,11.55,11.530000000000001,11.530000000000001,11.510000000000002,11.490000000000002,11.470000000000002,11.450000000000003,11.430000000000003,11.410000000000004,11.390000000000004,11.370000000000005
EOL ALEGRIA I(NEW ENERGY),0,10.878,10.977,11.738,12.633,12.386,12.485,12.623,12.687,12.667,12.667,12.647,12.627,12.607000000000001,12.587000000000002,12.567000000000002,12.547000000000002,12.527000000000003,12.507000000000003
EOL ALEGRIA II(NEW ENERGY),0,10.878,10.977,11.738,12.633,12.386,12.485,12.623,12.687,12.667,12.667,12.647,12.627,12.607000000000001,12.587000000000002,12.567000000000002,12.547000000000002,12.527000000000003,12.507000000000003
EOL ALTO DOS VENTOS II A,0,0,0,0,0,11.927,12.008,12.176,12.23,12.21,12.21,12.190000000000001,12.170000000000002,12.150000000000002,12.130000000000003,12.110000000000003,12.090000000000003,12.070000000000004,12.050000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,11.927,12.008,12.176,12.23,12.21,12.21,12.190000000000001,12.170000000000002,12.150000000000002,12.130000000000003,12.110000000000003,12.090000000000003,12.070000000000004,12.050000000000004
EOL ALVORADA,0,10.554,10.832,10.137,10.235,10.03,10.025,10.379,10.387,10.367,10.367,10.347000000000001,10.327000000000002,10.307000000000002,10.287000000000003,10.267000000000003,10.247000000000003,10.227000000000004,10.207000000000004
EOL AMESCLA,0,10.165,10.498,9.732,9.783,9.859,9.853,10.209,10.216,10.196,10.196,10.176,10.156,10.136000000000001,10.116000000000001,10.096000000000002,10.076000000000002,10.056000000000003,10.036000000000003
EOL AMETISTA,0,10.554,10.832,10.137,10.235,10.03,10.025,10.379,10.387,10.367,10.367,10.347000000000001,10.327000000000002,10.307000000000002,10.287000000000003,10.267000000000003,10.247000000000003,10.227000000000004,10.207000000000004
