Distribuidora;Encargo (R$/ano)
;TUSDg-T;TUSDg-ONS
CEA;0,0;      171738,86
CEEE-D;0,0;      272003,44
CELESC-DIS;0,0;     2377645,84
CEMIG-D;    18397934,78;    13006917,27
COPEL-DIS;0,0;     3006739,14
CPFL PAULISTA;0,0;     6278978,58
CPFL PIRATININGA;0,0;      173500,29
CPFL SANTA CRUZ;0,0;     1073675,54
EDP ES;0,0;     2046252,45
EDP SAO PAULO;0,0;      234972,57
ENEL RIO;0,0;      729444,19
ENEL SAO PAULO;0,0;      558151,31
ENERGISA M.G. DO SUL - EMS;0,0;     1744521,25
ENERGISA MATO GROSSO - EMT;    44369388,21;     2880614,91
ENERGISA MINAS GERAIS - EMG;0,0;      557139,90
ENERGISA RONDONIA;     4845917,77;      226783,37
ENERGISA SUL SUDESTE - ESS;0,0;     1001557,22
ENERGISA TOCANTINS - ETO;0,0;      219945,54
EQUATORIAL GOIAS;     4800129,66;     1939136,02
EQUATORIAL PARA;0,0;      194155,00
EQUATORIAL PIAUI;      164047,55;      574347,28
LIGHT;0,0;     7575395,43
NEOENEGIA BRASILIA;0,0;      454747,62
NEOENERGIA COELBA;0,0;      478546,93
NEOENERGIA COSERN;     3282087,91;      886060,49
NEOENERGIA ELEKTRO;0,0;     8616300,03
NEOENERGIA PE;0,0;      921335,35
RGE SUL;0,0;     1138305,36
