BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,707
8344; ABAIARA - 230;   12,880
9739; ABDON BATISTA - 230;    5,319
9738; ABDON BATISTA - 525;    5,007
6930; ABUNA - 230;    7,152
6700; ACAILANDIA - 500;   11,902
5923; ACARAT CE - 230;   12,559
5318; ACARAT-CE500;   12,499
5486; ACARAU II – 230;   12,580
1596; ACESITA - 230;    4,974
5461; ACU II - 230;   13,841
5351; ACU III - 230;   13,887
5350; ACU III - 500;   13,553
140; ADRIANOPOLIS - 345;    5,082
106; ADRIANOPOLIS - 500;    5,302
2987; AG.LINDAS230;    7,823
453; AGUA AZUL - 440;    4,974
4043; AIMORES - 230;    6,990
6000; ALAGOAS 2 - 230;    8,752
1186; ALEGRETE2 - 230;    5,404
8163; ALEX - 230;   13,970
6521; ALTAMIRA - 230;    9,729
668; ALTA PAULISTA - 400;    6,146
1078; ANASTACIO - 230;    4,978
44594; ANEMUS - 230;   14,078
5100; ANGELIM - 500;   11,778
5101; ANGELIM - 230;   11,535
105; ANGRA - 500;    5,568
760; ANHANGUERA GO - 230;    6,388
431; ANHANGUERA SP - 230;    4,974
439; ANHANGUERA - 345;    4,974
458; APARECIDA - 230;    4,974
878; APUCARANA - 230;    4,974
5381; AQUIRAZ - 230;   11,987
4070; ARACUAI - 230;   10,696
6081; ARAPIRACA III - 230;    7,273
559; ARARAQUARA - 440;    5,223
101; ARARAQUARA - 500;    6,113
99; ARARAQUARA - 525;    6,112
589; ARARAS SP - 440;    4,974
7058; ARARAQUARA 2 - 440;    5,757
7057; ARARAQUARA 2 - 500;    6,067
5092; ARCOVERDE II - 230;   11,681
934; AREIA - 230;    4,974
933; AREIA - 525;    5,156
4349; ARINOS 2 - 500;   11,014
6880; ARIQUEMES - 230;    6,974
45680; ASOLO 2 - 230;    8,638
552; ASSIS - 440;    5,607
556; ASSIS - 525;    5,604
551; ASSIS 2 - 230;    4,974
697; ATIBAIA 2 - 345;    4,974
1330; ATLANTIDA 2 - 230;    4,974
629; AVARE - 230;    4,974
3150; AVARE NOVA - 230;    4,974
536; AGUA VERMELHA - 440;    6,752
535; AGUA VERMELHA - 500;    7,120
451; AVILLAR - 230;    4,974
9892; ANDIRA LESTE - 230;    4,974
229; BARRO ALTO - 230;    9,061
4040; BARRO BRANCO - 345;    5,896
9444; B. DOS COQUEIROS - 230;    8,729
5511; B.ESPERANCA - 230;   11,317
5510; B.ESPERANCA - 500;   11,971
227; BRASILIA GERAL - 230;    7,033
574; BOM JARDIM - 440;    4,974
7181; B.JESUS II - 230;   11,289
3699; BRASILIA LESTE - 500;    8,817
5401; BOM NOME - 230;   12,585
4502; BARRA PEIXE - 230;    7,459
228; BRAS. SUL - 230;    7,477
219; BRAS. SUL -345;    8,056
5684; BACAB - MA - 500;   11,927
1188; BAGE 2 - 230;    5,137
478; BAGUACU - 440;    5,756
1495; BAGUARI - 230;    6,969
9354; BAIXO IGUACU PR - 230;    4,974
472; B. SANTISTA - 230;    4,974
471; B. SANTISTA - 345;    4,974
8501; BALBINA - 230;    9,944
5391; BALSAS - 230;   11,803
5421; BANABUIU - 230;   12,962
226; BANDEIRANTE GO - 230;    6,748
218; BANDEIRANTE GO - 345;    7,649
492; BANDEIRANTE SP - 345;    4,974
308; BARBACENA - 345;    5,114
6315; BARREIRAS II - 230;   11,241
6361; BARREIRAS - 230;   10,954
6360; BARREIRAS - 500;   11,376
313; BARREIRO - 345;    6,056
112; BATEIAS - 500;    4,974
113; BATEIAS 2 - 500;    4,974
814; BATEIAS - 230;    4,974
895; BATEIAS - 525;    4,974
114; BATEIAS 3 - 500;    4,974
561; BAURU SP - 440;    4,974
9004; BARAO DE COCAIS 3 - 230;    5,392
4050; B.DESPACHO - 500;    7,031
