CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  6,559;  6,168;       ;       ;262,1;273,0
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  6,460;  6,058;       ;       ;193,9;202,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  6,716;  6,362;       ;       ;340,8;355,0
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  6,593;  6,203;       ;       ;520,3;542,0
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  6,277;  5,851;       ;       ;14,50;15,10
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  5,801;  5,304;       ;       ;34,20;32,50
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  5,670;  5,166;       ;       ;46,90;43,00
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  5,228;  4,657;       ;       ; 2,39; 2,40
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  5,298;  4,722;       ;       ;190,4;190,4
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  9,625; 10,402;       ;       ;80,00;80,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  8,971;  9,682;       ;       ;60,00;60,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  9,207;  9,927;       ;       ;18,00;20,00
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  9,212;  9,934;       ;       ;60,00;70,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  9,447; 10,186;       ;       ; 6,00;20,00
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  9,359; 10,081;       ;       ;23,20;23,20
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  9,432; 10,174;       ;       ;21,00;23,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  9,458; 10,210;       ;       ;97,50;106,6
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  9,251;  9,957;       ;       ;45,00;45,00
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  9,285; 10,026;       ;       ;80,00;80,00
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69;  9,829; 10,648;       ;       ;60,00;60,00
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8;  9,930; 10,733;       ;       ;55,00;55,00
CEEE-D;5707;23;9245;PALE10-RS013; PORTOALEGRE10 - 13,8;  9,891; 10,724;       ;       ;30,00;30,00
CEEE-D;5707;23;9234;PALE1A-RS069; PORTO ALEGRE 1 - 69;  9,676; 10,473;       ;       ;50,00;50,00
CEEE-D;5707;23;9243;PALE4A-RS013; PORTOALEGRE 4 - 13,8;  9,786; 10,605;       ;       ;80,00;80,00
CEEE-D;5707;23;9244;PALEG6-RS013; PORTOALEGRE6 - 13,8;  9,757; 10,551;       ;       ;30,00;30,00
CEEE-D;5707;23;1352;PALEG9-RS013; PORTO ALEGRE9 - 13,8;  9,550; 10,324;       ;       ;25,00;30,00
CEEE-D;5707;23;1269;PALG10-RS069; PORTOALEGRE10 - 69;  9,838; 10,658;       ;       ;60,00;60,00
