BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,194
1206; AG.LINDAS230;    8,158
251; ACU II - 230;   15,988
11265; ACU III - 230;   15,592
11565; ACU III - 500;   15,078
7747; ABDON BATISTA - 230;    5,194
7744; ABDON BATISTA - 525;    5,194
9537; ABUNA - 230;    5,194
559; ACAILANDIA - 500;   12,280
55412; ACARAU II – 230;   13,408
12907; ACARAT CE - 230;   13,390
12902; ACARAT-CE500;   13,359
4475; ACESITA - 230;    6,880
3729; ADRIANOPOLIS - 345;    6,393
3728; ADRIANOPOLIS - 500;    6,422
1637; AIMORES - 230;    8,662
11760; ALAGOAS 2 - 230;   10,713
9002; ALEGRETE2 - 230;    5,194
56095; ALEX - 230;   16,005
362; ALTAMIRA - 230;   11,293
7758; ANASTACIO - 230;    5,194
2770; ANDIRA LESTE - 230;    5,194
540; ANGELIM - 500;   13,505
240; ANGELIM - 230;   13,450
3745; ANGRA - 500;    6,979
1172; ANHANGUERA GO - 230;    6,749
2901; ANHANGUERA SP - 230;    5,194
2900; ANHANGUERA - 345;    5,194
2957; APARECIDA - 230;    5,483
2758; ALTA PAULISTA - 400;    5,389
6601; APUCARANA - 230;    5,194
58771; LAGOA BARRO - 230;   13,501
11219; AQUIRAZ - 230;   13,429
1522; ARACUAI - 230;   10,887
11242; ARAPIRACA III - 230;    9,891
5203; ARARAQUARA 2 - 440;    5,422
5202; ARARAQUARA 2 - 500;    5,841
2630; ARARAQUARA - 440;    5,194
3852; ARARAQUARA - 500;    5,759
2673; ARARAS SP - 440;    5,194
38906; ARAXA 3 - 345;    7,535
12203; ARCOVERDE II - 230;   13,608
7749; AREIA - 230;    5,194
7748; AREIA - 525;    5,194
39813; ARINOS 2 - 500;   10,309
9520; ARIQUEMES - 230;    5,194
302; MOXOTO - 230;   14,527
2624; ASSIS - 440;    5,194
4282; ASSIS - 525;    5,194
2626; ASSIS 2 - 230;    5,194
2677; ATIBAIA 2 - 345;    5,194
7923; ATLANTIDA 2 - 230;    5,194
2786; AVARE - 230;    5,194
2617; AGUA VERMELHA - 500;    6,898
2618; AGUA VERMELHA - 440;    6,444
3947; BARRO ALTO - 230;    9,507
3605; BARRO BRANCO - 345;    6,914
4297; B. DOS COQUEIROS - 230;    8,528
229; B.ESPERANCA - 230;   12,596
4288; B. FLUMINENSE - 500;    6,634
7304; BARRA GRANDE - 230;    5,194
6608; BAIXO IGUACU PR - 230;    5,194
11050; B.JESUS II - 230;   12,294
3236; BARRA PEIXE - 230;    6,055
13103; BACAB - MA - 500;   12,698
9010; BAGE 2 - 230;    5,194
2733; BAGUACU - 440;    5,194
1645; BAGUARI - 230;    8,934
2920; B. SANTISTA - 230;    5,194
2919; B. SANTISTA - 345;    5,194
10410; BALBINA - 230;    9,863
215; BALSAS - 230;   12,496
222; BANABUIU - 230;   14,420
3909; BANDEIRANTE GO - 345;    7,870
2934; BANDEIRANTE SP - 345;    5,194
1480; BARBACENA - 345;    6,327
11286; BARREIRAS II - 230;   10,604
286; BARREIRAS - 230;   10,276
1482; BARREIRO - 345;    7,056
846; BARREIRAS - 500;   11,611
6627; BATEIAS - 230;    5,194
