Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,533;  1,798;  4,165;  5,361;;;  5,361;
1206; AG.LINDAS230;; 10,163;  7,811;  8,987;  8,657;;;  8,657;
251; ACU II - 230;; 11,924; 21,589; 16,757; 16,427;;; 16,427;
11265; ACU III - 230;; 11,725; 20,936; 16,330; 16,000;;; 16,000;
11565; ACU III - 500;; 11,592; 20,306; 15,949; 15,619;;; 15,619;
7747; ABDON BATISTA - 230;;  8,062;  0,000;  4,031;  5,361;;;  5,361;
7744; ABDON BATISTA - 525;;  7,491;  0,000;  3,745;  5,361;;;  5,361;
9537; ABUNA - 230;;  2,881;  0,000;  1,440;  5,361;;;  5,361;
559; ACAILANDIA - 500;; 10,961; 15,031; 12,996; 12,666;;; 12,666;
55412; ACARAU II – 230;; 10,630; 17,707; 14,169; 13,839;;; 13,839;
12907; ACARAT CE - 230;; 10,634; 17,665; 14,150; 13,820;;; 13,820;
12902; ACARAT-CE500;; 10,660; 17,576; 14,118; 13,788;;; 13,788;
4475; ACESITA - 230;;  8,185;  6,656;  7,421;  7,091;;;  7,091;
3729; ADRIANOPOLIS - 345;;  8,573;  5,126;  6,850;  6,520;;;  6,520;
3728; ADRIANOPOLIS - 500;;  8,817;  4,926;  6,872;  6,542;;;  6,542;
1637; AIMORES - 230;; 10,394;  8,115;  9,255;  8,925;;;  8,925;
11760; ALAGOAS 2 - 230;;  8,195; 14,581; 11,388; 11,058;;; 11,058;
9002; ALEGRETE2 - 230;;  7,015;  0,000;  3,507;  5,361;;;  5,361;
56095; ALEX - 230;; 11,799; 21,892; 16,846; 16,516;;; 16,516;
362; ALTAMIRA - 230;;  9,922; 13,960; 11,941; 11,611;;; 11,611;
7758; ANASTACIO - 230;;  7,868;  1,941;  4,904;  5,361;;;  5,361;
2770; ANDIRA LESTE - 230;;  7,191;  0,509;  3,850;  5,361;;;  5,361;
540; ANGELIM - 500;; 10,188; 18,421; 14,304; 13,974;;; 13,974;
240; ANGELIM - 230;; 10,043; 18,450; 14,246; 13,916;;; 13,916;
3745; ANGRA - 500;;  9,664;  5,251;  7,457;  7,127;;;  7,127;
1172; ANHANGUERA GO - 230;;  9,238;  5,204;  7,221;  6,891;;;  6,891;
2901; ANHANGUERA SP - 230;;  3,736;  0,000;  1,868;  5,361;;;  5,361;
2900; ANHANGUERA - 345;;  4,076;  0,000;  2,038;  5,361;;;  5,361;
2957; APARECIDA - 230;;  8,104;  3,629;  5,867;  5,537;;;  5,537;
2758; ALTA PAULISTA - 400;;  9,058;  2,573;  5,815;  5,485;;;  5,485;
6601; APUCARANA - 230;;  6,787;  0,000;  3,393;  5,361;;;  5,361;
58771; LAGOA BARRO - 230;; 11,618; 16,674; 14,146; 13,816;;; 13,816;
11219; AQUIRAZ - 230;;  9,625; 18,730; 14,178; 13,848;;; 13,848;
1522; ARACUAI - 230;; 12,769; 10,414; 11,592; 11,262;;; 11,262;
11242; ARAPIRACA III - 230;;  6,412; 14,670; 10,541; 10,211;;; 10,211;
5203; ARARAQUARA 2 - 440;;  8,507;  3,170;  5,838;  5,509;;;  5,509;
5202; ARARAQUARA 2 - 500;;  8,977;  3,573;  6,275;  5,945;;;  5,945;
2630; ARARAQUARA - 440;;  8,054;  2,750;  5,402;  5,361;;;  5,361;
3852; ARARAQUARA - 500;;  8,871;  3,494;  6,183;  5,853;;;  5,853;
2673; ARARAS SP - 440;;  7,103;  2,067;  4,585;  5,361;;;  5,361;
38906; ARAXA 3 - 345;; 10,180;  5,922;  8,051;  7,721;;;  7,721;
12203; ARCOVERDE II - 230;; 10,217; 18,606; 14,412; 14,082;;; 14,082;
7749; AREIA - 230;;  7,659;  0,000;  3,829;  5,361;;;  5,361;
7748; AREIA - 525;;  7,812;  0,000;  3,906;  5,361;;;  5,361;
39813; ARINOS 2 - 500;; 12,117;  9,836; 10,977; 10,647;;; 10,647;
9520; ARIQUEMES - 230;;  3,861;  0,000;  1,930;  5,361;;;  5,361;
302; MOXOTO - 230;; 11,344; 19,402; 15,373; 15,043;;; 15,043;
2624; ASSIS - 440;;  8,355;  1,953;  5,154;  5,361;;;  5,361;
4282; ASSIS - 525;;  8,148;  1,494;  4,821;  5,361;;;  5,361;
2626; ASSIS 2 - 230;;  7,980;  1,351;  4,665;  5,361;;;  5,361;
2677; ATIBAIA 2 - 345;;  5,618;  0,903;  3,261;  5,361;;;  5,361;
7923; ATLANTIDA 2 - 230;;  6,705;  0,000;  3,352;  5,361;;;  5,361;
2786; AVARE - 230;;  5,227;  0,000;  2,614;  5,361;;;  5,361;
2617; AGUA VERMELHA - 500;; 10,126;  4,647;  7,386;  7,057;;;  7,057;
2618; AGUA VERMELHA - 440;;  9,841;  3,987;  6,914;  6,584;;;  6,584;
3947; BARRO ALTO - 230;; 12,035;  9,549; 10,792; 10,462;;; 10,462;
3605; BARRO BRANCO - 345;;  8,771;  6,091;  7,431;  7,101;;;  7,101;
4297; B. DOS COQUEIROS - 230;; 12,117;  6,090;  9,103;  8,773;;;  8,773;
229; B.ESPERANCA - 230;; 10,278; 16,312; 13,295; 12,965;;; 12,965;
4288; B. FLUMINENSE - 500;;  9,268;  4,906;  7,087;  6,757;;;  6,757;
7304; BARRA GRANDE - 230;;  8,505;  0,000;  4,252;  5,361;;;  5,361;
6608; BAIXO IGUACU PR - 230;;  8,839;  0,416;  4,628;  5,361;;;  5,361;
11050; B.JESUS II - 230;; 10,539; 15,494; 13,016; 12,687;;; 12,687;
3236; BARRA PEIXE - 230;;  9,128;  3,760;  6,444;  6,114;;;  6,114;
13103; BACAB - MA - 500;; 10,662; 16,192; 13,427; 13,097;;; 13,097;
9010; BAGE 2 - 230;;  7,354;  0,000;  3,677;  5,361;;;  5,361;
2733; BAGUACU - 440;;  8,509;  2,608;  5,558;  5,361;;;  5,361;
1645; BAGUARI - 230;; 10,451;  8,636;  9,543;  9,213;;;  9,213;
2920; B. SANTISTA - 230;;  4,524;  0,000;  2,262;  5,361;;;  5,361;
2919; B. SANTISTA - 345;;  4,901;  0,000;  2,450;  5,361;;;  5,361;
10410; BALBINA - 230;;  8,031; 12,843; 10,437; 10,107;;; 10,107;
