BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
 2840; AGUA AZUL - 138                                                      ;   18,122;         ;         ;         
2840; AGUA AZUL - 138;   18,122;;;
30951; AGUA AZUL - 440                                                      ;   17,815;         ;         ;         
30951; AGUA AZUL - 440;   17,815;;;
 1206; AG.LINDAS230                                                         ;   13,750;         ;         ;         
1206; AG.LINDAS230;   13,750;;;
 1943; ANGRA AMPLA - 138                                                    ;   14,935;         ;         ;         
1943; ANGRA AMPLA - 138;   14,935;;;
  151; ACU II - 138                                                         ;    7,998;         ;         ;         
151; ACU II - 138;    7,998;;;
  251; ACU II - 230                                                         ;    7,998;         ;         ;         
251; ACU II - 230;    7,998;;;
11265; ACU III - 230                                                        ;    7,998;         ;         ;         
11265; ACU III - 230;    7,998;;;
11565; ACU III - 500                                                        ;    7,998;         ;         ;         
11565; ACU III - 500;    7,998;;;
  600; ABAIXADORA - 69                                                      ;    7,998;         ;         ;         
600; ABAIXADORA - 69;    7,998;;;
 7747; ABDON BATISTA - 230                                                  ;   18,428;         ;         ;         
7747; ABDON BATISTA - 230;   18,428;;;
 7744; ABDON BATISTA - 525                                                  ;   18,691;         ;         ;         
7744; ABDON BATISTA - 525;   18,691;;;
 9590; ABUNA - 13,8                                                         ;   23,130;         ;         ;         
9590; ABUNA - 13,8;   23,130;;;
 9636; ABUNA - 138                                                          ;   23,130;         ;         ;         
9636; ABUNA - 138;   23,130;;;
 9537; ABUNA - 230                                                          ;   23,130;         ;         ;         
9537; ABUNA - 230;   23,130;;;
  559; ACAILANDIA - 500                                                     ;    9,766;         ;         ;         
559; ACAILANDIA - 500;    9,766;;;
55412; ACARAU II – 230                                                      ;    8,665;         ;         ;         
55412; ACARAU II – 230;    8,665;;;
12907; ACARAT CE - 230                                                      ;    8,683;         ;         ;         
12907; ACARAT CE - 230;    8,683;;;
12902; ACARAT-CE500                                                         ;    8,713;         ;         ;         
12902; ACARAT-CE500;    8,713;;;
 4475; ACESITA - 230                                                        ;   15,329;         ;         ;         
4475; ACESITA - 230;   15,329;;;
 3155; EMPLAL - 138                                                         ;   15,733;         ;         ;         
3155; EMPLAL - 138;   15,733;;;
 3730; ADRIANOPOLIS - 138                                                   ;   15,351;         ;         ;         
3730; ADRIANOPOLIS - 138;   15,351;;;
 3729; ADRIANOPOLIS - 345                                                   ;   15,294;         ;         ;         
3729; ADRIANOPOLIS - 345;   15,294;;;
 3728; ADRIANOPOLIS - 500                                                   ;   15,054;         ;         ;         
3728; ADRIANOPOLIS - 500;   15,054;;;
 3031; AGUAI - 138                                                          ;   17,324;         ;         ;         
3031; AGUAI - 138;   17,324;;;
 1637; AIMORES - 230                                                        ;   13,533;         ;         ;         
1637; AIMORES - 230;   13,533;;;
 2336; AJINOMOTO VAL - 138                                                  ;   16,154;         ;         ;         
2336; AJINOMOTO VAL - 138;   16,154;;;
18761; ALAGOINHA 2 - 69                                                     ;   11,573;         ;         ;         
18761; ALAGOINHA 2 - 69;   11,573;;;
11760; ALAGOAS 2 - 230                                                      ;   11,573;         ;         ;         
11760; ALAGOAS 2 - 230;   11,573;;;
 7591; ALEGRETE2 - 69                                                       ;   19,891;         ;         ;         
7591; ALEGRETE2 - 69;   19,891;;;
 9002; ALEGRETE2 - 230                                                      ;   19,891;         ;         ;         
9002; ALEGRETE2 - 230;   19,891;;;
56095; ALEX - 230                                                           ;    7,998;         ;         ;         
56095; ALEX - 230;    7,998;;;
  862; ALTAMIRA - 69                                                        ;   10,764;         ;         ;         
862; ALTAMIRA - 69;   10,764;;;
  362; ALTAMIRA - 230                                                       ;   10,764;         ;         ;         
362; ALTAMIRA - 230;   10,764;;;
 2219; AMPARO - 138                                                         ;   17,935;         ;         ;         
2219; AMPARO - 138;   17,935;;;
46950; ANASTACIO - 138                                                      ;   17,233;         ;         ;         
46950; ANASTACIO - 138;   17,233;;;
 7758; ANASTACIO - 230                                                      ;   17,365;         ;         ;         
7758; ANASTACIO - 230;   17,365;;;
 2770; ANDIRA LESTE - 230                                                   ;   18,228;         ;         ;         
2770; ANDIRA LESTE - 230;   18,228;;;
 6834; ANDIRA LESTE - 138                                                   ;   18,390;         ;         ;         
6834; ANDIRA LESTE - 138;   18,390;;;
 3132; ANDRADINA - 138                                                      ;   15,757;         ;         ;         
3132; ANDRADINA - 138;   15,757;;;
  540; ANGELIM - 500                                                        ;    8,602;         ;         ;         
540; ANGELIM - 500;    8,602;;;
  640; ANGELIM - 69                                                         ;    8,662;         ;         ;         
640; ANGELIM - 69;    8,662;;;
  240; ANGELIM - 230                                                        ;    8,660;         ;         ;         
240; ANGELIM - 230;    8,660;;;
 3746; ANGRA 1 - 138                                                        ;   14,775;         ;         ;         
3746; ANGRA 1 - 138;   14,775;;;
 3745; ANGRA - 500                                                          ;   14,503;         ;         ;         
3745; ANGRA - 500;   14,503;;;
 1185; ANHANGUERA - 69                                                      ;   15,397;         ;         ;         
1185; ANHANGUERA - 69;   15,397;;;
 1171; ANHANGUERA - 138                                                     ;   15,415;         ;         ;         
1171; ANHANGUERA - 138;   15,415;;;
 1172; ANHANGUERA GO - 230                                                  ;   15,397;         ;         ;         
1172; ANHANGUERA GO - 230;   15,397;;;
 2901; ANHANGUERA SP - 230                                                  ;   20,515;         ;         ;         
2901; ANHANGUERA SP - 230;   20,515;;;
 2900; ANHANGUERA - 345                                                     ;   20,308;         ;         ;         
2900; ANHANGUERA - 345;   20,308;;;
 2958; APARECIDA - 88                                                       ;   16,160;         ;         ;         
2958; APARECIDA - 88;   16,160;;;
 2957; APARECIDA - 230                                                      ;   16,160;         ;         ;         
2957; APARECIDA - 230;   16,160;;;
 2758; ALTA PAULISTA - 400                                                  ;   16,235;         ;         ;         
2758; ALTA PAULISTA - 400;   16,235;;;
 6818; APUCARANA - 138                                                      ;   18,739;         ;         ;         
6818; APUCARANA - 138;   18,739;;;
 6601; APUCARANA - 230                                                      ;   18,824;         ;         ;         
6601; APUCARANA - 230;   18,824;;;
58771; LAGOA BARRO - 230                                                    ;    8,737;         ;         ;         
58771; LAGOA BARRO - 230;    8,737;;;
11619; AQUIRAZ II - 69                                                      ;    8,715;         ;         ;         
11619; AQUIRAZ II - 69;    8,715;;;
11219; AQUIRAZ - 230                                                        ;    8,715;         ;         ;         
11219; AQUIRAZ - 230;    8,715;;;
 2329; ARACATUBA - 138                                                      ;   16,405;         ;         ;         
2329; ARACATUBA - 138;   16,405;;;
 1647; ARACUAI 2 - 138                                                      ;   11,594;         ;         ;         
1647; ARACUAI 2 - 138;   11,594;;;
 1522; ARACUAI - 230                                                        ;   11,625;         ;         ;         
1522; ARACUAI - 230;   11,625;;;
17502; ARAPIRACA III - 69                                                   ;   12,394;         ;         ;         
17502; ARAPIRACA III - 69;   12,394;;;
11242; ARAPIRACA III - 230                                                  ;   12,394;         ;         ;         
11242; ARAPIRACA III - 230;   12,394;;;
 3033; ARARAS 2 - 138                                                       ;   17,260;         ;         ;         
3033; ARARAS 2 - 138;   17,260;;;
 5203; ARARAQUARA 2 - 440                                                   ;   16,046;         ;         ;         
5203; ARARAQUARA 2 - 440;   16,046;;;
 5202; ARARAQUARA 2 - 500                                                   ;   15,555;         ;         ;         
5202; ARARAQUARA 2 - 500;   15,555;;;
 2631; ARARAQUARA CTP - 138                                                 ;   16,486;         ;         ;         
2631; ARARAQUARA CTP - 138;   16,486;;;
 2630; ARARAQUARA - 440                                                     ;   16,524;         ;         ;         
2630; ARARAQUARA - 440;   16,524;;;
 3852; ARARAQUARA - 500                                                     ;   15,822;         ;         ;         
3852; ARARAQUARA - 500;   15,822;;;
 2673; ARARAS SP - 440                                                      ;   17,364;         ;         ;         
2673; ARARAS SP - 440;   17,364;;;
 3032; ARARAS 1 - 138                                                       ;   17,229;         ;         ;         
3032; ARARAS 1 - 138;   17,229;;;
38907; ARAXA 3 - 138                                                        ;   14,270;         ;         ;         
38907; ARAXA 3 - 138;   14,270;;;
38906; ARAXA 3 - 345                                                        ;   14,314;         ;         ;         
38906; ARAXA 3 - 345;   14,314;;;
12203; ARCOVERDE II - 230                                                   ;    8,494;         ;         ;         
12203; ARCOVERDE II - 230;    8,494;;;
47083; AREIA - 13,8                                                         ;   18,496;         ;         ;         
