GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ABIL,0,10.528,10.863,10.503,10.846,11.108,11.102,11.48,11.186,11.202,11.182,11.162,11.142000000000001,11.122000000000002,11.102000000000002,11.082000000000003,11.062000000000003,11.042000000000003
EOL ACACIA,0,10.456,10.793,10.431,10.769,11.022,11.014,11.387,11.093,11.109,11.089,11.069,11.049000000000001,11.029000000000002,11.009000000000002,10.989000000000003,10.969000000000003,10.949000000000003
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.883,14.52,14.608,15.11,14.946,14.967,14.947000000000001,14.927000000000001,14.907000000000002,14.887000000000002,14.867000000000003,14.847000000000003,14.827000000000004,14.807000000000004
EOL ACAUA,0,10.528,10.863,10.503,10.846,11.108,11.102,11.48,11.186,11.202,11.182,11.162,11.142000000000001,11.122000000000002,11.102000000000002,11.082000000000003,11.062000000000003,11.042000000000003
EOL ACAUA I,0,10.986,11.816,12.935,14.087,15.388,15.493,15.954,15.801,15.824,15.804,15.784,15.764000000000001,15.744000000000002,15.724000000000002,15.704000000000002,15.684000000000003,15.664000000000003
EOL ACAUA II,0,10.986,11.816,12.935,14.087,15.388,15.493,15.954,15.801,15.824,15.804,15.784,15.764000000000001,15.744000000000002,15.724000000000002,15.704000000000002,15.684000000000003,15.664000000000003
EOL ACAUA III,0,10.986,11.816,12.935,14.087,15.388,15.493,15.954,15.801,15.824,15.804,15.784,15.764000000000001,15.744000000000002,15.724000000000002,15.704000000000002,15.684000000000003,15.664000000000003
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL AFONSO BEZERRA III,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL AFONSO BEZERRA IV,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,10.812,11.742,12.883,14.52,14.608,15.11,14.946,14.967,14.947000000000001,14.927000000000001,14.907000000000002,14.887000000000002,14.867000000000003,14.847000000000003,14.827000000000004,14.807000000000004
EOL ALEGRIA I(NEW ENERGY),0,10.878,11.646,12.723,13.841,15.874,15.988,16.427,16.28,16.304,16.284,16.264,16.244,16.224,16.204,16.184,16.164,16.144000000000002
EOL ALEGRIA II(NEW ENERGY),0,10.878,11.646,12.723,13.841,15.874,15.988,16.427,16.28,16.304,16.284,16.264,16.244,16.224,16.204,16.184,16.164,16.144000000000002
EOL ALTO DOS VENTOS II A,0,0,0,0,0,15.035,15.134,15.674,15.518,15.541,15.521,15.501000000000001,15.481000000000002,15.461000000000002,15.441000000000003,15.421000000000003,15.401000000000003,15.381000000000004
EOL ALTO DOS VENTOS II B,0,0,0,0,0,15.035,15.134,15.674,15.518,15.541,15.521,15.501000000000001,15.481000000000002,15.461000000000002,15.441000000000003,15.421000000000003,15.401000000000003,15.381000000000004
EOL ALVORADA,0,10.554,10.886,10.546,10.898,11.162,11.157,11.538,11.248,11.264,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003
EOL AMESCLA,0,10.165,10.516,10.112,10.42,10.949,10.939,11.31,11.012,11.028,11.008000000000001,10.988000000000001,10.968000000000002,10.948000000000002,10.928000000000003,10.908000000000003,10.888000000000003,10.868000000000004
