NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
7739;EEAB--GO138; ;;8,725;;6,873;;6,574;;;;2
98251;U.LASA-ES13;U;;;;7,727;;7,486;;;;2
1168;14JUL-UHE002; ;;6,788;;7,934;;8,576;;;;1
1153;14JULH-RS230; ;;6,788;;7,934;;8,576;;;;1
2338;2CORRE-SP138; ;;5,822;13,9;8,275;14,0;8,332;;1385,18;1399,74;2
1184;2IRMAO-RS138; ;;6,010;;8,387;;9,126;;;;1
2627;2VENDA-ES069; ;;7,088;;7,663;;7,418;;;;2
7632;3.LAG2-SP138; ;;8,081;;7,184;;7,078;;;;2
3901;3.LAGO-SP138; ;;8,074;;7,188;;7,082;;;;2
1290;3COROA-RS138; ;;6,139;;8,314;;9,035;;;;1
3900;3IRMA--SP138; ;;8,210;;7,122;;7,000;;;;2
543;3IRMAO-SP138;U;;;6,9;7,122;10,0;7,000;;589,70;840,04;2
542;3IRMAO-SP440;B;803,3;8,374;;7,043;;6,905;80723,30;;;2
520;3IRMAOUHE005; ;;8,374;;7,043;;6,905;;;;2
17632;3L2-1Y-SP138; ;;8,081;;7,184;;7,078;;;;2
27632;3L2-2Y-SP138; ;;8,081;;7,184;;7,078;;;;2
1903;3LA-1Y-SP138; ;;8,074;47,0;7,188;53,0;7,082;;4053,92;4504,26;2
1940;3LA-2Y-SP138; ;;8,088;;7,181;;7,072;;;;2
2253;3M-----SP069; ;;6,019;;8,180;;8,232;;;;2
4970;3MAIO--MT138; ;;9,873;;6,319;;6,098;;;;2
4991;3MAIO-PCH013;U;;;;6,319;;6,098;;;;2
2246;3PONTA-SP138; ;;5,895;;8,239;;8,263;;;;2
4609;7QUED-PCH013;U;;;;6,616;;6,376;;;;2
96495;A. BELAS-138; ;;11,076;;5,739;;5,192;;;;3
96891;A.BONITA-GER;U;;;;7,923;;8,023;;;;2
1696;A.BRAN-RJ138; ;;6,407;;7,992;;7,897;;;;2
4973;A.FLOR-MT138; ;;10,046;;6,236;;5,991;;;;2
1638;A.FRAN-RJ138; ;;6,367;;8,012;;7,911;;;;2
1608;A.GRAN-RJ138; ;;6,338;;8,025;;7,929;;;;2
98361;A.INGAZEI138; ;;10,864;;5,841;;5,453;;;;3
2609;A.LAGE-ES138; ;;6,916;;7,746;;7,514;;;;2
97639;A.MACHA2-138; ;;7,513;;7,458;;7,438;;;;2
3881;A.VERM-SP138; ;;8,108;;7,171;;7,039;;;;2
500;A.VERMUHE006; ;;8,263;;7,096;;6,947;;;;2
2460;AALEGR-PR138; ;;5,974;;8,201;;8,559;;;;1
6040;AB-MT--RN230; ;;11,660;;5,457;;4,968;;;;3
1778;ABADIA-RJ069; ;;7,215;;7,602;;7,350;;;;2
8344;ABAIAR-CE230;B;163,7;11,123;;5,716;;5,298;21849,07;;;3
6203;ABAIXA-BA069; ;;10,701;67,7;5,920;69,5;5,515;;4805,71;4599,28;3
9739;ABATIS-SC230;B;330,0;7,182;;7,696;;8,264;28438,98;;;1
9738;ABATIS-SC525; ;;6,783;;7,895;;8,457;;;;1
9922;ABELUZ-SC138; ;;7,316;;7,645;;8,216;;;;1
2716;ABENO1-SC138; ;;5,521;;8,629;;9,420;;;;1
6281;ABILI__BA230; ;;10,863;;5,842;;5,341;;;;3
6043;ABMT-AEOL010; ;;11,660;;5,457;;4,968;;;;3
6042;ABMT-BEOL014; ;;11,660;;5,457;;4,968;;;;3
7709;ABOAVI-MT138; ;;6,296;;8,046;;7,907;;;;2
4694;ABOAVI-MT138; ;;6,296;;8,046;;7,907;;;;2
4912;ABRAN-PCH034; ;;9,266;;6,612;;6,371;;;;2
4404;ABRAV-PCH034;U;;;;6,612;;6,371;;;;2
4867;ABRE--PCH138;U;;;;6,542;;6,249;;;;2
280;ABRTAP-RJ138; ;;6,407;;7,992;;7,897;;;;2
6931;ABUNA--RO138; ;;9,481;34,6;6,508;35,3;5,688;;2699,14;2411,37;2
6930;ABUNA--RO230; ;;9,481;;6,508;;5,688;;;;2
6701;AC-MB1CAP500; ;;10,575;;5,980;;5,538;;;;4
6703;AC-MB2CAP500; ;;10,611;;5,963;;5,519;;;;4
6702;AC-PD3CAP500; ;;10,563;;5,987;;5,543;;;;4
1924;ACA-1Y-SP069; ;;7,921;;7,261;;7,145;;;;2
8213;ACACIA-BA230; ;;10,793;;5,875;;5,382;;;;3
6625;ACACIAEOL000; ;;10,793;;5,875;;5,382;;;;3
6700;ACAILA-MA500; ;;10,579;;5,979;;5,537;;;;4
3911;ACAMP--SP069; ;;7,921;;7,261;;7,145;;;;2
1655;ACAMPI-RJ138; ;;6,245;;8,070;;7,982;;;;2
1896;ACARAC-MS138; ;;6,942;;7,734;;7,770;;;;2
5923;ACARAT-CE230; ;;10,505;;6,014;;5,562;;;;3
5318;ACARAT-CE500; ;;10,467;;6,032;;5,582;;;;3
5486;ACARAU-CE230;B;343,3;10,520;41,6;6,007;52,0;5,554;43332,42;2998,75;3465,82;3
8796;ACAUA--RN230; ;;11,816;;5,382;;4,865;;;;3
6624;ACAUA-EOL000; ;;10,863;;5,842;;5,341;;;;3
8798;ACAUA-EOL026; ;;11,816;;5,382;;4,865;;;;3
1597;ACESIT-MG069; ;;5,282;;8,535;;8,453;;;;2
1596;ACESIT-MG230;B;,1;5,282;107,5;8,535;127,5;8,453;6,34;11010,38;12933,62;2
838;ACHATE-PR138; ;;6,187;;8,098;;8,429;;;;1
4405;ACLAR-PCH034;U;;;;6,612;;6,371;;;;2
1135;ACLARA-MS138; ;;7,674;;7,381;;7,325;;;;2
9552;ACLTAP-RS069; ;;5,630;;8,604;;9,355;;;;1
7007;ACRELA-AC069; ;;8,625;;6,921;;6,142;;;;2
3775;ACREUN-GO069; ;;8,887;;6,795;;6,557;;;;2
3706;ACREUN-GO138; ;;8,887;;6,795;;6,557;;;;2
11630;ACT-1Y-SP138; ;;7,626;;7,404;;7,328;;;;2
22630;ACT-2Y-SP138; ;;7,631;;7,402;;7,326;;;;2
3590;ACU----RJ138; ;;7,206;;7,607;;7,355;;;;2
5463;ACU2---RN069; ;;11,646;55,6;5,464;70,1;4,938;;3647,99;4150,83;3
5468;ACU2---RN138;U;;;14,1;5,560;15,5;5,049;;938,73;941,61;3
5461;ACU2---RN230;B;800,3;11,646;;5,464;;4,938;111840,80;;;3
5351;ACU3---RN230;B;677,7;11,646;;5,464;;4,937;94705,21;;;3
5350;ACU3---RN500;B;3069,2;11,514;;5,527;;5,004;424073,00;;;3
3177;ADAMANBIO069; ;;7,760;;7,339;;7,271;;;;2
2793;ADAMI--SC138; ;;6,875;;7,889;;8,504;;;;1
9070;ADELAI-MG138; ;;7,759;;7,339;;7,080;;;;2
7177;ADM-UB-MG138; ;;8,942;;6,769;;6,482;;;;2
10120;ADOCE-EOL034; ;;7,208;;7,702;;8,285;;;;1
173;ADRIAN-RJ138; ;;6,182;741,2;8,101;761,0;7,976;;72052,45;72837,72;2
140;ADRIAN-RJ345; ;;6,141;;8,121;;8,000;;;;2
106;ADRIAN-RJ500; ;;6,430;;7,981;;7,886;;;;2
14231;AER-1Y-SP138; ;;7,330;;7,547;;7,476;;;;2
24231;AER-2Y-SP138; ;;7,330;;7,547;;7,476;;;;2
3045;AERGUA-SP138; ;;5,388;;8,484;;8,533;;;;2
764;AEROP1-GO138; ;;7,080;;7,667;;7,561;;;;2
1680;AEROPO-RJ138; ;;6,338;;8,026;;7,929;;;;2
9256;AEROPO-RS069; ;;5,675;;8,575;;9,342;;;;1
4231;AEROPO-SP138; ;;7,330;;7,547;;7,476;;;;2
8747;AFBEZA-RN230; ;;11,646;;5,464;;4,938;;;;3
8749;AFBEZAEOL028; ;;11,646;;5,464;;4,938;;;;3
9313;AFLORE-PR138; ;;5,594;;8,385;;8,692;;;;1
9419;AFOPEN-PR069; ;;5,196;;8,744;;9,369;;;;1
1202;AFPIRA-RS069; ;;6,196;;8,289;;8,990;;;;1
2974;AG.LIN-GO069; ;;7,887;56,0;7,278;53,0;6,955;;4890,88;4423,09;2
2987;AG.LIN-GO230; ;;7,887;;7,278;;6,955;;;;2
3477;AGA+PE-SP088; ;;4,999;;8,672;;8,762;;;;2
95404;AGA------138; ;;6,338;;8,025;;7,926;;;;2
44852;AGA----RJ138; ;;6,338;;8,025;;7,926;;;;2
3124;AGA----SP088; ;;5,002;;8,670;;8,760;;;;2
13124;AGA-3Y-SP088; ;;5,002;;8,670;;8,760;;;;2
23124;AGA-4Y-SP088; ;;5,002;;8,670;;8,760;;;;2
9599;AGDO3P-SC138; ;;7,208;;7,702;;8,285;;;;1
9905;AGDOCEEOL138; ;;6,512;;8,021;;8,499;;;;1
7395;AGLGLD-MG230; ;;7,047;;7,683;;7,431;;;;2
5106;AGLTIP-PE013; ;;9,725;3,9;6,391;3,4;5,990;;297,55;241,53;3
4617;AGREN-BIO013; ;;8,962;;6,759;;6,530;;;;2
4612;AGRENC-MT138; ;;8,962;;6,759;;6,530;;;;2
2812;AGRONO-SC138; ;;5,464;;8,649;;9,371;;;;1
97778;AGROTRAF-GER;U;;;;5,924;;5,497;;;;4
6783;AGRPOT-RN500; ;;11,467;;5,550;;5,030;;;;3
6791;AGRPOTCGE015; ;;11,467;;5,550;;5,030;;;;3
11926;AGU-1Y-SP138; ;;6,015;;8,181;;8,185;;;;2
21926;AGU-2Y-SP138; ;;6,015;;8,181;;8,185;;;;2
4673;AGUA.B-MT138; ;;7,288;;7,567;;7,435;;;;2
9565;AGUAEM-MS138; ;;8,717;;6,877;;6,686;;;;2
9768;AGUAEMBIO013; ;;8,717;;6,877;;6,686;;;;2
3801;AGUAI--SP138; ;;6,015;22,0;8,181;20,4;8,185;;2159,89;2003,77;2
97786;AGUALIMP-GER;U;;;;5,924;;5,497;;;;4
3544;AGUAQ-PCH034; ;;9,953;;6,281;;6,028;;;;2
452;AGUAZUL--138; ;;5,388;62,5;8,484;61,4;8,533;;6364,94;6285,22;2
453;AGUAZUL--440; ;;5,416;;8,470;;8,517;;;;2
1149;AGUCGR-MS138; ;;7,291;;7,565;;7,557;;;;2
9275;AGUCLA-RS069; ;;5,630;;8,604;;9,355;;;;1
2146;AGUDOS-SP138; ;;6,507;;7,944;;7,950;;;;2
97762;AGUIARNO-138; ;;9,311;;6,591;;6,276;;;;4
9365;AGUVER-PR069; ;;5,203;;8,735;;9,359;;;;1
7634;AGVFV--SP138; ;;8,094;;7,178;;7,047;;;;2
