BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    6,633
8344; ABAIARA - 230;   12,838
9739; ABDON BATISTA - 230;    5,293
9738; ABDON BATISTA - 525;    4,981
6930; ABUNA - 230;    7,070
6700; ACAILANDIA - 500;   11,860
5923; ACARAT CE - 230;   12,540
5318; ACARAT-CE500;   12,480
5486; ACARAU II – 230;   12,561
1596; ACESITA - 230;    4,959
5461; ACU II - 230;   13,855
5351; ACU III - 230;   13,907
5350; ACU III - 500;   13,582
140; ADRIANOPOLIS - 345;    5,012
106; ADRIANOPOLIS - 500;    5,232
2987; AG.LINDAS230;    7,760
453; AGUA AZUL - 440;    4,959
4043; AIMORES - 230;    6,923
6000; ALAGOAS 2 - 230;    8,714
1186; ALEGRETE2 - 230;    5,378
8163; ALEX - 230;   13,981
6521; ALTAMIRA - 230;    9,679
668; ALTA PAULISTA - 400;    6,071
1078; ANASTACIO - 230;    4,959
44594; ANEMUS - 230;   14,096
5100; ANGELIM - 500;   11,772
5101; ANGELIM - 230;   11,533
105; ANGRA - 500;    5,497
760; ANHANGUERA GO - 230;    6,320
431; ANHANGUERA SP - 230;    4,959
439; ANHANGUERA - 345;    4,959
458; APARECIDA - 230;    4,959
878; APUCARANA - 230;    4,959
5381; AQUIRAZ - 230;   11,983
4070; ARACUAI - 230;   10,630
6081; ARAPIRACA III - 230;    7,245
559; ARARAQUARA - 440;    5,150
101; ARARAQUARA - 500;    6,040
99; ARARAQUARA - 525;    6,040
589; ARARAS SP - 440;    4,959
7058; ARARAQUARA 2 - 440;    5,684
7057; ARARAQUARA 2 - 500;    5,994
5092; ARCOVERDE II - 230;   11,675
934; AREIA - 230;    4,959
933; AREIA - 525;    5,130
4349; ARINOS 2 - 500;   10,952
6880; ARIQUEMES - 230;    6,894
45680; ASOLO 2 - 230;    8,567
552; ASSIS - 440;    5,533
556; ASSIS - 525;    5,530
551; ASSIS 2 - 230;    4,959
697; ATIBAIA 2 - 345;    4,959
1330; ATLANTIDA 2 - 230;    4,959
629; AVARE - 230;    4,959
3150; AVARE NOVA - 230;    4,959
536; AGUA VERMELHA - 440;    6,679
535; AGUA VERMELHA - 500;    7,048
451; AVILLAR - 230;    4,959
9892; ANDIRA LESTE - 230;    4,959
229; BARRO ALTO - 230;    9,000
4040; BARRO BRANCO - 345;    5,828
9444; B. DOS COQUEIROS - 230;    8,658
5511; B.ESPERANCA - 230;   11,279
5510; B.ESPERANCA - 500;   11,931
227; BRASILIA GERAL - 230;    6,968
574; BOM JARDIM - 440;    4,959
7181; B.JESUS II - 230;   11,243
3699; BRASILIA LESTE - 500;    8,755
5401; BOM NOME - 230;   12,542
4502; BARRA PEIXE - 230;    7,386
228; BRAS. SUL - 230;    7,412
219; BRAS. SUL -345;    7,992
5684; BACAB - MA - 500;   11,896
1188; BAGE 2 - 230;    5,112
478; BAGUACU - 440;    5,682
1495; BAGUARI - 230;    6,904
9354; BAIXO IGUACU PR - 230;    4,959
472; B. SANTISTA - 230;    4,959
471; B. SANTISTA - 345;    4,959
8501; BALBINA - 230;    9,898
5391; BALSAS - 230;   11,757
5421; BANABUIU - 230;   12,962
226; BANDEIRANTE GO - 230;    6,681
218; BANDEIRANTE GO - 345;    7,585
492; BANDEIRANTE SP - 345;    4,959
308; BARBACENA - 345;    5,044
6315; BARREIRAS II - 230;   11,183
6361; BARREIRAS - 230;   10,896
6360; BARREIRAS - 500;   11,320
313; BARREIRO - 345;    5,988
112; BATEIAS - 500;    4,959
113; BATEIAS 2 - 500;    4,959
814; BATEIAS - 230;    4,959
895; BATEIAS - 525;    4,959
114; BATEIAS 3 - 500;    4,959
561; BAURU SP - 440;    4,959
9004; BARAO DE COCAIS 3 - 230;    5,325
4050; B.DESPACHO - 500;    6,964
4337; BETIM 6 -345;    6,369
9626; B. FLUMINENSE - 500;    5,295
936; BARRA GRANDE - 230;    5,644
947; BAIXO IGUACU SC - 230;    4,959
946; BIGUACU--525;    4,959
6358; B.J.LAPA II - 230;   11,144
6349; BJLAPAII - 500;   11,012
6351; B.J.LAPA - 230;   11,167
939; BLUMENAU - 230;    4,959
938; BLUMENAU - 525;    4,959
5152; BONGI - 230;   10,003
625; BOTUCATU - 230;    4,959
7734; BRACEL - 440;    4,959
4868; BRASNORTE - 230;    8,182
9051; BRAUNA - 230;    6,196
6334; BROT.MACAUBAS - 230;   12,123
5941; BRUMADO II - 230;    5,947
6075; BURITIRAMA - 500;   12,027
5701; CIC.DANTAS - 230;   10,464
756; CACHOEIRA DOURADA - 230;    8,706
4512; C. MAGALHAES - 230;    7,603
5525; COELHO NETO - 230;    9,543
5262; CURRAIS NOVOS II - 230;   14,096
104; C. PAULISTA - 500;    5,306
7054; C.PORTO VELHO - 230;    7,903
7055; C.PORTO VELHO - 500;   13,686
8551; CRISTIANO ROCHA - 230;    9,559
590; CABREUVA - 230;    4,959
584; CABREUVA - 440;    4,959
9458; CACU - 230;    8,658
5098; CAETES II - 230;   11,712
41414; CAIACA-SC - 230;    4,959
10218; CRUZ ALTA 2 - 230;    5,109
5750; CAMACARI - 500;    9,656
5756; CAMACARI IV - 230;    8,874
5752; CAMACARI IV - 500;    9,652
9569; CAMAQUA 3 - 230;    4,959
1194; CAMAQUA - 230;    4,959
123; CAMPINAS - 345;    4,959
103; CAMPINAS - 500;    5,036
117; CAMPOS 2 - 500;    6,077
1198; CAMPO BOM - 230;    4,959
147; CAMPOS - 345;    6,247
