BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,948;    9,055;;
543; TRES IRMAOS - 138;    7,839;    7,777;;
542; TRES IRMAOS - 440;    7,766;    7,691;;
1903; TRES LAGOAS 1 - 138;    7,902;    7,855;;
8344; ABAIARA - 230;    4,771;    4,228;;
6203; ABAIXADORA - 69;    5,064;    4,547;;
9739; ABDON BATISTA - 230;    8,748;    9,341;;
9738; ABDON BATISTA - 525;    8,910;    9,498;;
6931; ABUNA - 138;    7,555;    6,890;;
6930; ABUNA - 230;    7,555;    6,890;;
6700; ACAILANDIA - 500;    5,243;    4,681;;
5923; ACARAT CE - 230;    4,915;    4,295;;
5318; ACARAT-CE500;    4,944;    4,326;;
5486; ACARAU II – 230;    4,905;    4,283;;
1596; ACESITA - 230;    8,675;    8,589;;
5463; ACU II - 69;    4,280;    4,009;;
5468; ACU II - 138;    4,427;    4,009;;
5461; ACU II - 230;    4,280;    4,009;;
5351; ACU III - 230;    4,255;    4,009;;
5350; ACU III - 500;    4,412;    4,009;;
173; ADRIANOPOLIS - 138;    8,530;    8,435;;
140; ADRIANOPOLIS - 345;    8,549;    8,458;;
106; ADRIANOPOLIS - 500;    8,442;    8,376;;
2974; AGUAS LINDAS - 69;    7,222;    6,867;;
2987; AG.LINDAS230;    7,222;    6,867;;
5106; ANGELIM - 13,8;    5,402;    4,865;;
3801; AGUAI - 138;    8,769;    8,815;;
452; AGUA AZUL - 138;    9,103;    9,196;;
453; AGUA AZUL - 440;    9,087;    9,178;;
4043; AIMORES - 230;    7,626;    7,359;;
3934; AJINOMOTO BIO - 138;    9,808;   10,076;;
5796; ALAGOINHA 2 - 69;    6,762;    6,607;;
6000; ALAGOAS 2 - 230;    6,762;    6,607;;
1185; ALEGRETE2 - 69;    8,849;    9,693;;
1186; ALEGRETE2 - 230;    8,853;    9,702;;
8163; ALEX - 230;    4,220;    4,009;;
6523; ALTAMIRA - 69;    6,296;    5,849;;
6521; ALTAMIRA - 230;    6,296;    5,849;;
668; ALTA PAULISTA - 400;    8,037;    8,025;;
2336; AMPARO - 138;    8,939;    9,015;;
1079; ANASTACIO - 138;    8,609;    8,741;;
1078; ANASTACIO - 230;    8,601;    8,730;;
