Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
542; TRES IRMAOS - 440;;  9,551;  2,369;  6,678;  6,633;;;  6,633;
8344; ABAIARA - 230;;  9,037; 18,652; 12,883; 12,838;;; 12,838;
9739; ABDON BATISTA - 230;;  8,897;  0,000;  5,338;  5,293;;;  5,293;
9738; ABDON BATISTA - 525;;  8,378;  0,000;  5,027;  4,981;;;  4,981;
6930; ABUNA - 230;; 10,911;  1,422;  7,116;  7,070;;;  7,070;
6700; ACAILANDIA - 500;;  9,787; 15,083; 11,905; 11,860;;; 11,860;
5923; ACARAT CE - 230;;  9,475; 17,252; 12,585; 12,540;;; 12,540;
5318; ACARAT-CE500;;  9,464; 17,119; 12,526; 12,480;;; 12,480;
5486; ACARAU II – 230;;  9,483; 17,291; 12,607; 12,561;;; 12,561;
1596; ACESITA - 230;;  5,363;  3,941;  4,794;  4,959;;;  4,959;
5461; ACU II - 230;; 10,327; 19,261; 13,901; 13,855;;; 13,855;
5351; ACU III - 230;; 10,388; 19,299; 13,952; 13,907;;; 13,907;
5350; ACU III - 500;; 10,225; 18,730; 13,627; 13,582;;; 13,582;
140; ADRIANOPOLIS - 345;;  6,693;  2,602;  5,057;  5,012;;;  5,012;
106; ADRIANOPOLIS - 500;;  7,070;  2,588;  5,277;  5,232;;;  5,232;
2987; AG.LINDAS230;;  8,617;  6,588;  7,805;  7,760;;;  7,760;
453; AGUA AZUL - 440;;  6,210;  0,539;  3,941;  4,959;;;  4,959;
4043; AIMORES - 230;;  7,951;  5,495;  6,968;  6,923;;;  6,923;
6000; ALAGOAS 2 - 230;;  5,635; 13,445;  8,759;  8,714;;;  8,714;
1186; ALEGRETE2 - 230;;  9,040;  0,000;  5,424;  5,378;;;  5,378;
8163; ALEX - 230;; 10,304; 19,609; 14,026; 13,981;;; 13,981;
6521; ALTAMIRA - 230;;  7,546; 12,992;  9,725;  9,679;;;  9,679;
668; ALTA PAULISTA - 400;;  9,007;  1,781;  6,116;  6,071;;;  6,071;
1078; ANASTACIO - 230;;  7,591;  0,987;  4,949;  4,959;;;  4,959;
44594; ANEMUS - 230;; 10,422; 19,721; 14,141; 14,096;;; 14,096;
5100; ANGELIM - 500;;  8,458; 16,857; 11,818; 11,772;;; 11,772;
5101; ANGELIM - 230;;  8,086; 16,816; 11,578; 11,533;;; 11,533;
105; ANGRA - 500;;  7,487;  2,626;  5,542;  5,497;;;  5,497;
760; ANHANGUERA GO - 230;;  8,246;  3,543;  6,365;  6,320;;;  6,320;
431; ANHANGUERA SP - 230;;  4,912;  0,000;  2,947;  4,959;;;  4,959;
439; ANHANGUERA - 345;;  5,863;  0,000;  3,518;  4,959;;;  4,959;
458; APARECIDA - 230;;  6,738;  1,490;  4,639;  4,959;;;  4,959;
878; APUCARANA - 230;;  6,998;  0,000;  4,199;  4,959;;;  4,959;
5381; AQUIRAZ - 230;;  8,453; 17,392; 12,028; 11,983;;; 11,983;
4070; ARACUAI - 230;; 11,751;  9,061; 10,675; 10,630;;; 10,630;
6081; ARAPIRACA III - 230;;  3,650; 12,750;  7,290;  7,245;;;  7,245;
559; ARARAQUARA - 440;;  7,668;  1,485;  5,195;  5,150;;;  5,150;
101; ARARAQUARA - 500;;  8,591;  2,327;  6,085;  6,040;;;  6,040;
99; ARARAQUARA - 525;;  8,591;  2,326;  6,085;  6,040;;;  6,040;
589; ARARAS SP - 440;;  6,835;  0,948;  4,480;  4,959;;;  4,959;
7058; ARARAQUARA 2 - 440;;  8,252;  1,946;  5,730;  5,684;;;  5,684;
7057; ARARAQUARA 2 - 500;;  8,617;  2,172;  6,039;  5,994;;;  5,994;
5092; ARCOVERDE II - 230;;  8,210; 16,986; 11,720; 11,675;;; 11,675;
934; AREIA - 230;;  7,737;  0,000;  4,642;  4,959;;;  4,959;
933; AREIA - 525;;  8,626;  0,000;  5,175;  5,130;;;  5,130;
4349; ARINOS 2 - 500;; 11,613; 10,073; 10,997; 10,952;;; 10,952;
6880; ARIQUEMES - 230;; 10,483;  1,625;  6,940;  6,894;;;  6,894;
45680; ASOLO 2 - 230;; 11,127;  4,840;  8,612;  8,567;;;  8,567;
552; ASSIS - 440;;  8,417;  1,320;  5,578;  5,533;;;  5,533;
556; ASSIS - 525;;  8,487;  1,207;  5,575;  5,530;;;  5,530;
551; ASSIS 2 - 230;;  7,781;  0,486;  4,863;  4,959;;;  4,959;
697; ATIBAIA 2 - 345;;  6,138;  0,485;  3,877;  4,959;;;  4,959;
1330; ATLANTIDA 2 - 230;;  6,982;  0,000;  4,189;  4,959;;;  4,959;
629; AVARE - 230;;  5,449;  0,000;  3,269;  4,959;;;  4,959;
3150; AVARE NOVA - 230;;  5,449;  0,000;  3,269;  4,959;;;  4,959;
536; AGUA VERMELHA - 440;;  9,350;  2,785;  6,724;  6,679;;;  6,679;
535; AGUA VERMELHA - 500;;  9,538;  3,426;  7,093;  7,048;;;  7,048;
