USINA;CEG;CÓD. ONS;UF;MUST;CLASSIFICAÇÃO;CICLO TC N-1;CICLO TB N;TC N;TUST Estab.;TUST RB
AAA ASAS_PUREZA;;;RN;547,7;ENVOLTÓRIA;;15,768;15,768;;15,768
EOL ABIL;031402-1;;BA;23,1;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ACACIA;031418-8;;BA;15,8;ENVOLTÓRIA;;11,019;11,019;;11,019
EOL ACARI (RIACHAO I);030870-6;;RN;28,7;ENVOLTÓRIA;;15,048;15,048;;15,048
EOL ACAUA;031433-1;;BA;5,9;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ACAUA I;033597-5;;RN;24,4;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL ACAUA II;033598-3;;RN;20,4;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL ACAUA III;033864-8;;RN;16,3;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL AFONSO BEZERRA I;035158-0;;RN;28,8;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL AFONSO BEZERRA II;035159-8;;RN;28,8;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL AFONSO BEZERRA III;035160-1;;RN;28,8;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL AFONSO BEZERRA IV;035161-0;;RN;16,5;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL ALBUQUERQUE (RIACHAO II);030871-4;;RN;26,4;ENVOLTÓRIA;;15,048;15,048;;15,048
EOL ALEGRIA I(NEW ENERGY);028444-0;;RN;49,2;ENVOLTÓRIA;;16,295;16,295;;16,295
EOL ALEGRIA II(NEW ENERGY);028443-2;;RN;96,7;ENVOLTÓRIA;;16,295;16,295;;16,295
EOL ALTO DOS VENTOS II A;034536-9;;RN;22,4;ENVOLTÓRIA;;15,671;15,671;;15,671
EOL ALTO DOS VENTOS II B;034537-7;;RN;28,8;ENVOLTÓRIA;;15,671;15,671;;15,671
EOL ALVORADA;030320-8;;BA;8,0;ENVOLTÓRIA;;11,173;11,173;;11,173
EOL AMESCLA;032090-0;;BA;13,2;ENVOLTÓRIA;;10,938;10,938;;10,938
EOL AMETISTA;030779-3;;BA;28,1;ENVOLTÓRIA;;11,173;11,173;;11,173
EOL ANEMOI (RIACHAO IV);030874-9;;RN;29,0;ENVOLTÓRIA;;15,048;15,048;;15,048
EOL ANEMUS WIND 1;034498-2;;RN;37,8;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL ANEMUS WIND 2;034499-0;;RN;46,2;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL ANEMUS WIND 3;051067-0;;RN;54,6;ENVOLTÓRIA;;15,834;15,834;;15,834
EOL ANGELIM;032091-9;;BA;21,1;ENVOLTÓRIA;;10,890;10,890;;10,890
EOL ANGICAL;030732-7;;BA;12,8;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ANGICAL 2;031435-8;;BA;9,8;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ANGICO;031404-8;;BA;7,9;ENVOLTÓRIA;;11,019;11,019;;11,019
EOL ANGICOS I;035165-2;;RN;24,7;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL ANGICOS II;035166-0;;RN;28,8;ENVOLTÓRIA;;16,448;16,448;;16,448
EOL APELIOTES(RIACHAO VI);030872-2;;RN;29,0;ENVOLTÓRIA;;15,048;15,048;;15,048
EOL ARAPAPA;031434-0;;BA;3,9;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ARARINHA AZUL;037001-0;;BA;20,8;ENVOLTÓRIA;;11,111;11,111;;11,111
EOL ARENA (RIACHAO VII);030873-0;;RN;29,1;ENVOLTÓRIA;;15,048;15,048;;15,048
EOL AROEIRA;031801-9;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL AROEIRA 1;044940-7;;BA;46,5;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 2;044947-4;;BA;42,3;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 3;044948-2;;BA;42,3;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 4;044949-0;;BA;42,3;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 5;044950-4;;BA;42,3;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 6;044951-2;;BA;38,0;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 7;044952-0;;BA;46,5;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL AROEIRA 8;044953-9;;BA;42,3;ENVOLTÓRIA;;12,448;12,448;;12,448
EOL ASA BRANCA I;030505-7;;BA;26,5;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA II;030547-2;;BA;25,8;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA III;030548-0;;BA;26,5;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA IV;030498-0;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA V;030507-3;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA VI;030520-0;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA VII;030513-8;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASA BRANCA VIII;030508-1;;RN;30,0;ENVOLTÓRIA;;15,384;15,384;;15,384
EOL ASSURUA 4 I;050463-7;;BA;35,1;ENVOLTÓRIA;;12,951;12,951;;12,951
EOL ASSURUA 4 II;050464-5;;BA;30,7;ENVOLTÓRIA;;12,951;12,951;;12,951
