BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    5,368
1206; AG.LINDAS230;    8,584
251; ACU II - 230;   16,318
11265; ACU III - 230;   15,890
11565; ACU III - 500;   15,508
7747; ABDON BATISTA - 230;    5,368
7744; ABDON BATISTA - 525;    5,368
9537; ABUNA - 230;    5,368
559; ACAILANDIA - 500;   12,589
55412; ACARAU II – 230;   13,718
12907; ACARAT CE - 230;   13,700
12902; ACARAT-CE500;   13,670
4475; ACESITA - 230;    7,002
3729; ADRIANOPOLIS - 345;    7,033
3728; ADRIANOPOLIS - 500;    7,274
1637; AIMORES - 230;    8,799
11760; ALAGOAS 2 - 230;   10,796
9002; ALEGRETE2 - 230;    5,368
56095; ALEX - 230;   16,384
362; ALTAMIRA - 230;   11,581
7758; ANASTACIO - 230;    5,368
2770; ANDIRA LESTE - 230;    5,368
540; ANGELIM - 500;   13,818
240; ANGELIM - 230;   13,759
3745; ANGRA - 500;    7,824
1172; ANHANGUERA GO - 230;    6,930
2901; ANHANGUERA SP - 230;    5,368
2900; ANHANGUERA - 345;    5,368
2957; APARECIDA - 230;    6,163
2758; ALTA PAULISTA - 400;    6,086
6601; APUCARANA - 230;    5,368
58771; LAGOA BARRO - 230;   13,627
11219; AQUIRAZ - 230;   13,688
1522; ARACUAI - 230;   10,711
11242; ARAPIRACA III - 230;    9,991
5203; ARARAQUARA 2 - 440;    6,278
5202; ARARAQUARA 2 - 500;    6,769
2630; ARARAQUARA - 440;    5,798
3852; ARARAQUARA - 500;    6,502
2673; ARARAS SP - 440;    5,368
38906; ARAXA 3 - 345;    8,014
12203; ARCOVERDE II - 230;   13,923
7749; AREIA - 230;    5,368
7748; AREIA - 525;    5,368
39813; ARINOS 2 - 500;   10,154
9520; ARIQUEMES - 230;    5,368
302; MOXOTO - 230;   14,849
2624; ASSIS - 440;    5,405
4282; ASSIS - 525;    5,368
2626; ASSIS 2 - 230;    5,368
2677; ATIBAIA 2 - 345;    5,368
7923; ATLANTIDA 2 - 230;    5,368
2786; AVARE - 230;    5,368
2617; AGUA VERMELHA - 500;    7,434
2618; AGUA VERMELHA - 440;    7,157
3947; BARRO ALTO - 230;   10,392
3605; BARRO BRANCO - 345;    7,313
4297; B. DOS COQUEIROS - 230;    9,084
229; B.ESPERANCA - 230;   12,823
4288; B. FLUMINENSE - 500;    7,450
7304; BARRA GRANDE - 230;    5,368
6608; BAIXO IGUACU PR - 230;    5,368
11050; B.JESUS II - 230;   12,477
3236; BARRA PEIXE - 230;    6,158
13103; BACAB - MA - 500;   12,992
9010; BAGE 2 - 230;    5,368
2733; BAGUACU - 440;    5,852
1645; BAGUARI - 230;    8,852
2920; B. SANTISTA - 230;    5,368
2919; B. SANTISTA - 345;    5,368
10410; BALBINA - 230;   10,046
215; BALSAS - 230;   12,573
222; BANABUIU - 230;   14,726
3909; BANDEIRANTE GO - 345;    8,087
2934; BANDEIRANTE SP - 345;    5,368
1480; BARBACENA - 345;    6,815
11286; BARREIRAS II - 230;   10,721
286; BARREIRAS - 230;   10,371
1482; BARREIRO - 345;    7,425
846; BARREIRAS - 500;   11,818
6627; BATEIAS - 230;    5,368
3696; BATEIAS 3 - 500;    5,368
6628; BATEIAS - 525;    5,368
2628; BAURU SP - 440;    5,368
1612; BARAO DE COCAIS 3 - 230;    7,063
1485; B.DESPACHO - 500;    8,444
529; B.ESPERANCA - 500;   12,940
26454; BETIM 6 -345;    7,634
7740; BAIXO IGUACU SC - 230;    5,368
7741; BIGUACU--525;    5,368
2638; BOM JARDIM - 440;    5,368
385; B.J.LAPA II - 230;   11,256
585; BJLAPAII - 500;   11,124
285; B.J.LAPA - 230;   11,255
35351; BRASILIA LESTE - 500;    9,190
7734; BLUMENAU - 230;    5,368
7733; BLUMENAU - 525;    5,368
220; BOM NOME - 230;   15,074
243; BONGI - 230;   12,185
2777; BOTUCATU - 230;    5,368
3936; BRASILIA GERAL - 230;    7,729
3920; BRAS. SUL - 230;    8,082
3919; BRAS. SUL -345;    8,616
3300; BRASNORTE - 230;    5,777
