GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA ASAS_PUREZA,0,0,0,0,13.736,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL ABIL,0,10.528,10.863,10.503,10.782,11.036,11.029,11.404,11.111,11.127,11.107000000000001,11.087000000000002,11.067000000000002,11.047000000000002,11.027000000000003,11.007000000000003,10.987000000000004,10.967000000000004
EOL ACACIA,0,10.456,10.793,10.431,10.705,10.95,10.941,11.311,11.019,11.034,11.014000000000001,10.994000000000002,10.974000000000002,10.954000000000002,10.934000000000003,10.914000000000003,10.894000000000004,10.874000000000004
EOL ACARI (RIACHAO I),0,10.042,10.812,11.742,12.953,14.615,14.704,15.211,15.048,15.07,15.05,15.030000000000001,15.010000000000002,14.990000000000002,14.970000000000002,14.950000000000003,14.930000000000003,14.910000000000004
EOL ACAUA,0,10.528,10.863,10.503,10.782,11.036,11.029,11.404,11.111,11.127,11.107000000000001,11.087000000000002,11.067000000000002,11.047000000000002,11.027000000000003,11.007000000000003,10.987000000000004,10.967000000000004
EOL ACAUA I,0,10.986,11.816,12.935,14.105,15.417,15.523,15.986,15.834,15.857,15.837,15.817,15.797,15.777000000000001,15.757000000000001,15.737000000000002,15.717000000000002,15.697000000000003
EOL ACAUA II,0,10.986,11.816,12.935,14.105,15.417,15.523,15.986,15.834,15.857,15.837,15.817,15.797,15.777000000000001,15.757000000000001,15.737000000000002,15.717000000000002,15.697000000000003
EOL ACAUA III,0,10.986,11.816,12.935,14.105,15.417,15.523,15.986,15.834,15.857,15.837,15.817,15.797,15.777000000000001,15.757000000000001,15.737000000000002,15.717000000000002,15.697000000000003
EOL AFONSO BEZERRA I,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL AFONSO BEZERRA II,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL AFONSO BEZERRA III,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL AFONSO BEZERRA IV,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
