BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,365;    8,395;;
543; TRES IRMAOS - 138;    7,089;    6,916;;
542; TRES IRMAOS - 440;    7,008;    6,819;;
1903; TRES LAGOAS 1 - 138;    7,151;    6,994;;
8344; ABAIARA - 230;    7,228;    6,936;;
6203; ABAIXADORA - 69;    7,216;    6,903;;
9739; ABDON BATISTA - 230;    7,319;    7,921;;
9738; ABDON BATISTA - 525;    7,569;    8,164;;
6931; ABUNA - 138;    6,383;    5,407;;
6930; ABUNA - 230;    6,383;    5,407;;
6700; ACAILANDIA - 500;    6,870;    6,464;;
5923; ACARAT CE - 230;    7,019;    6,610;;
5318; ACARAT-CE500;    7,025;    6,615;;
5486; ACARAU II – 230;    7,015;    6,605;;
1596; ACESITA - 230;    8,999;    8,901;;
5463; ACU II - 69;    6,608;    6,142;;
5468; ACU II - 138;    6,685;    6,234;;
5461; ACU II - 230;    6,608;    6,142;;
5351; ACU III - 230;    6,578;    6,106;;
5350; ACU III - 500;    6,657;    6,192;;
173; ADRIANOPOLIS - 138;    8,351;    8,194;;
140; ADRIANOPOLIS - 345;    8,372;    8,219;;
106; ADRIANOPOLIS - 500;    8,192;    8,067;;
2974; AGUAS LINDAS - 69;    7,441;    7,043;;
2987; AG.LINDAS230;    7,441;    7,043;;
5106; ANGELIM - 13,8;    7,688;    7,373;;
3801; AGUAI - 138;    8,298;    8,272;;
452; AGUA AZUL - 138;    8,625;    8,648;;
453; AGUA AZUL - 440;    8,614;    8,636;;
4043; AIMORES - 230;    7,757;    7,446;;
3934; AJINOMOTO BIO - 138;    9,209;    9,414;;
5796; ALAGOINHA 2 - 69;    8,871;    9,001;;
6000; ALAGOAS 2 - 230;    8,871;    9,001;;
1185; ALEGRETE2 - 69;    7,241;    8,133;;
1186; ALEGRETE2 - 230;    7,250;    8,148;;
8163; ALEX - 230;    6,619;    6,181;;
6523; ALTAMIRA - 69;    7,952;    7,686;;
6521; ALTAMIRA - 230;    7,952;    7,686;;
668; ALTA PAULISTA - 400;    7,270;    7,154;;
2336; AMPARO - 138;    8,455;    8,461;;
1079; ANASTACIO - 138;    7,965;    8,007;;
1078; ANASTACIO - 230;    7,955;    7,994;;
3840; AVANTI N.CORT - 138;    7,145;    6,987;;
3882; ANDRADINA - 138;    7,154;    6,994;;
44594; ANEMUS - 230;    6,562;    6,087;;
5100; ANGELIM - 500;    7,509;    7,188;;
5103; ANGELIM - 69;    7,688;    7,373;;
5101; ANGELIM - 230;    7,689;    7,373;;
185; ANGRA 1 - 138;    8,095;    7,954;;
105; ANGRA - 500;    7,993;    7,844;;
1773; ANGRA AMPLA - 138;    8,146;    8,009;;
762; ANHANGUERA - 69;    7,628;    7,446;;
761; ANHANGUERA - 138;    7,628;    7,445;;
760; ANHANGUERA GO - 230;    7,628;    7,446;;
444; ANHANGUERA - 88;    8,782;    8,830;;
431; ANHANGUERA SP - 230;    9,242;    9,395;;
439; ANHANGUERA - 345;    8,782;    8,830;;
459; APARECIDA - 88;    8,356;    8,318;;
458; APARECIDA - 230;    8,356;    8,318;;
879; APUCARANA - 138;    8,231;    8,551;;
878; APUCARANA - 230;    8,236;    8,557;;
5383; AQUIRAZ II - 69;    7,512;    7,200;;
5381; AQUIRAZ - 230;    7,512;    7,200;;
2296; ARACATUBA - 138;    7,535;    7,426;;
4081; ARACUAI 2 - 138;    5,887;    5,322;;
4070; ARACUAI - 230;    5,913;    5,350;;
6083; ARAPIRACA III - 69;    9,830;    9,851;;
6081; ARAPIRACA III - 230;    9,830;    9,851;;
3802; ARARAS 1 - 138;    8,250;    8,237;;
3803; ARARAS 2 - 138;    8,259;    8,248;;
560; ARARAQUARA CTP - 138;    7,921;    7,863;;
559; ARARAQUARA - 440;    7,911;    7,858;;
101; ARARAQUARA - 500;    7,464;    7,361;;
99; ARARAQUARA - 525;    7,464;    7,361;;
589; ARARAS SP - 440;    8,313;    8,309;;
7058; ARARAQUARA 2 - 440;    7,629;    7,536;;
7057; ARARAQUARA 2 - 500;    7,453;    7,342;;
7411; ARAXA 3 - 138;    7,154;    6,859;;
7410; ARAXA 3 - 345;    7,117;    6,816;;
5093; ARCOVERDE II - 69;    7,629;    7,287;;
5092; ARCOVERDE II - 230;    7,629;    7,287;;
9336; AREIA - 13,8;    7,886;    8,375;;
823; AREIA - 138;    7,887;    8,377;;
934; AREIA - 230;    7,879;    8,364;;
933; AREIA - 525;    7,450;    7,897;;
4349; ARINOS 2 - 500;    5,983;    5,432;;
6881; ARIQUEMES - 69;    6,583;    5,786;;
6880; ARIQUEMES - 230;    6,583;    5,786;;
3804; A.NOGUEIRA - 138;    8,318;    8,321;;
3841; ARUJA - 138;    8,635;    8,661;;
7626; ARUJA 2 - 138;    8,633;    8,658;;
45680; ASOLO 2 - 230;    6,244;    5,849;;
552; ASSIS - 440;    7,553;    7,531;;
556; ASSIS - 525;    7,516;    7,566;;
3192; ASSIS I - 88;    7,902;    7,978;;
551; ASSIS 2 - 230;    7,860;    7,935;;
3193; ASSIS III - 88;    7,894;    7,967;;
4130; PETRO ATIBAIA - 138;    8,604;    8,625;;
3842; ATIBAIA 1 - 138;    8,602;    8,623;;
697; ATIBAIA 2 - 345;    8,647;    8,671;;
3843; ATIBAIA 3 - 138;    8,612;    8,635;;
1331; ATLANTIDA 2 - 69;    8,243;    9,056;;
1330; ATLANTIDA 2 - 230;    8,243;    9,056;;
2337; AUXILIADORA - 138;    8,803;    8,927;;
629; AVARE - 230;    8,988;    9,163;;
