CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  8,301;  8,105;       ;       ;262,1;273,0
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  8,182;  7,973;       ;       ;193,9;202,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  8,469;  8,314;       ;       ;340,8;355,0
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  8,347;  8,154;       ;       ;520,3;542,0
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  8,015;  7,787;       ;       ;14,50;15,10
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  7,351;  7,017;       ;       ;34,20;32,50
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  7,333;  7,007;       ;       ;46,90;43,00
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  6,759;  6,357;       ;       ; 2,39; 2,40
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  6,899;  6,505;       ;       ;190,4;190,4
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  8,243;  9,056;       ;       ;80,00;80,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  7,465;  8,205;       ;       ;60,00;60,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  7,756;  8,504;       ;       ;18,00;20,00
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  7,758;  8,509;       ;       ;60,00;70,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  8,065;  8,834;       ;       ; 6,00;20,00
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  7,939;  8,689;       ;       ;23,20;23,20
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  8,040;  8,814;       ;       ;21,00;23,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  8,075;  8,858;       ;       ;97,50;106,6
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  7,831;  8,564;       ;       ;45,00;45,00
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  7,805;  8,578;       ;       ;80,00;80,00
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69;  8,490;  9,350;       ;       ;60,00;60,00
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8;  8,599;  9,441;       ;       ;55,00;55,00
CEEE-D;5707;23;9245;PALE10-RS013; PORTOALEGRE10 - 13,8;  8,559;  9,434;       ;       ;30,00;30,00
CEEE-D;5707;23;9234;PALE1A-RS069; PORTO ALEGRE 1 - 69;  8,320;  9,155;       ;       ;50,00;50,00
CEEE-D;5707;23;9243;PALE4A-RS013; PORTOALEGRE 4 - 13,8;  8,440;  9,299;       ;       ;80,00;80,00
CEEE-D;5707;23;9244;PALEG6-RS013; PORTOALEGRE6 - 13,8;  8,406;  9,238;       ;       ;30,00;30,00
CEEE-D;5707;23;1352;PALEG9-RS013; PORTO ALEGRE9 - 13,8;  8,176;  8,985;       ;       ;25,00;30,00
CEEE-D;5707;23;1269;PALG10-RS069; PORTOALEGRE10 - 69;  8,500;  9,360;       ;       ;60,00;60,00
CEEE-D;5707;23;1262;PALGR6-RS069; PORTOALEGRE6 - 69;  8,469;  9,321;       ;       ;65,00;70,00
CEEE-D;5707;23;1271;PALGR8-RS069; PORTO ALEGRE8 - 69;  8,267;  9,089;       ;       ;60,00;60,00
CEEE-D;5707;23;1266;PALGR9-RS069; PORTO ALEGRE9 - 69;  8,245;  9,066;       ;       ; 9,70;10,20
CEEE-D;5707;23;1240;PELOT3-RS138; PELOTAS3 - 138;  7,560;  8,304;       ;       ;130,0;140,0
CEEE-D;5707;23;1238;PMEDIC-RS138; P.MEDICI - 138;  7,144;  7,845;       ;       ;30,00;40,00
CEEE-D;5707;23;1245;QUINTA-RS069; QUINTA - 69;  7,520;  8,236;       ;       ;80,00;80,00
CEEE-D;5707;23;1247;QUINTA-RS138; QUINTA - 138;  7,527;  8,250;       ;       ;30,00;35,00
CEEE-D;5707;23;9303;RESTIN-RS069; RESTINGA - 69;  8,637;  9,475;       ;       ;80,00;80,00
CEEE-D;5707;23;9559;SJERUT-RS069; N.S. JERONIMO - 69;  7,938;  8,689;       ;       ; 5,00; 5,00
CEEE-D;5707;23;9823;SVPAL2-RS138; S V PALMAR 2 - 138;  7,210;  7,882;       ;       ;15,00;40,00
CEEE-D;5707;23;9694;TORRE2-RS069; TORRES 2- 69;  8,274;  9,095;       ;       ;20,00;22,00
CEEE-D;5707;23;9264;VIAMA3-RS069; VIAMAO 3 - 69;  8,294;  9,100;       ;       ;80,00;80,00
CELESC-DIS;5697;25;948;BIGUAC-SC138; BIGUACU - 138;  8,187;  8,907;       ;       ;425,0;487,0
CELESC-DIS;5697;25;940;BLUMEN-SC138; BLUMENAU - 138;  8,261;  8,955;       ;       ;309,0;381,0
CELESC-DIS;5697;25;2725;CANOIN-SC138; CANOINHAS ESU - 138;  8,766;  9,465;       ;       ;250,0;280,0
CELESC-DIS;5697;25;958;CNOVOE-SC138; C.NOVOS - 138;  7,250;  7,855;       ;       ;268,0;290,0
CELESC-DIS;5697;25;2706;DESTER-SC138; DESTERRO - 138;  8,534;  9,330;       ;       ;123,0;140,0
CELESC-DIS;5697;25;2749;FORQUI-SC069; FORQUILHINHA - 69;  8,139;  8,939;       ;       ;56,00;72,00
CELESC-DIS;5697;25;9534;GASPA2-SC138; GASPAR-2-138;  8,374;  9,235;       ;       ;301,0;379,0
CELESC-DIS;5697;25;2780;INDAIA-SC138; INDAIAL - 138;  8,362;  9,210;       ;       ;147,0;190,0
CELESC-DIS;5697;25;10071;ITAJA2-SC138; ITAJAI 2 - 138;  8,261;  8,961;       ;       ;195,0;230,0
CELESC-DIS;5697;25;2775;ITAJFZ-SC138; ITAJAI - 138;  8,249;  8,952;       ;       ;375,0;321,0
CELESC-DIS;5697;25;2783;JARAGU-SC138; JARAGUA DO SUL - 138;  8,371;  9,079;       ;       ;133,0;179,0
CELESC-DIS;5697;25;1008;JLAC-A-SC069; U.JLACERDA-A - 69;  7,674;  8,409;       ;       ;102,0;108,0
