Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,456;;  6,456;  6,425;;;  6,425;
1206; AG.LINDAS230;; 10,098;; 10,098; 10,068;;; 10,068;
251; ACU II - 230;; 11,914;; 11,914; 11,884;;; 11,884;
11265; ACU III - 230;; 11,716;; 11,716; 11,686;;; 11,686;
11565; ACU III - 500;; 11,585;; 11,585; 11,555;;; 11,555;
7747; ABDON BATISTA - 230;;  7,979;;  7,979;  7,949;;;  7,949;
7744; ABDON BATISTA - 525;;  7,408;;  7,408;  7,378;;;  7,378;
9537; ABUNA - 230;;  2,727;;  2,727;  5,335;;;  5,335;
559; ACAILANDIA - 500;; 10,915;; 10,915; 10,885;;; 10,885;
55412; ACARAU II – 230;; 10,593;; 10,593; 10,563;;; 10,563;
12907; ACARAT CE - 230;; 10,598;; 10,598; 10,568;;; 10,568;
12902; ACARAT-CE500;; 10,624;; 10,624; 10,594;;; 10,594;
4475; ACESITA - 230;;  8,157;;  8,157;  8,127;;;  8,127;
3729; ADRIANOPOLIS - 345;;  8,514;;  8,514;  8,484;;;  8,484;
3728; ADRIANOPOLIS - 500;;  8,749;;  8,749;  8,719;;;  8,719;
1637; AIMORES - 230;; 10,345;; 10,345; 10,315;;; 10,315;
11760; ALAGOAS 2 - 230;;  8,156;;  8,156;  8,126;;;  8,126;
9002; ALEGRETE2 - 230;;  6,932;;  6,932;  6,902;;;  6,902;
56095; ALEX - 230;; 11,772;; 11,772; 11,742;;; 11,742;
362; ALTAMIRA - 230;;  9,873;;  9,873;  9,843;;;  9,843;
7758; ANASTACIO - 230;;  7,773;;  7,773;  7,743;;;  7,743;
2770; ANDIRA LESTE - 230;;  7,103;;  7,103;  7,073;;;  7,073;
540; ANGELIM - 500;; 10,176;; 10,176; 10,146;;; 10,146;
240; ANGELIM - 230;; 10,029;; 10,029;  9,999;;;  9,999;
3745; ANGRA - 500;;  9,592;;  9,592;  9,562;;;  9,562;
1172; ANHANGUERA GO - 230;;  9,165;;  9,165;  9,135;;;  9,135;
2901; ANHANGUERA SP - 230;;  3,655;;  3,655;  5,335;;;  5,335;
2900; ANHANGUERA - 345;;  3,994;;  3,994;  5,335;;;  5,335;
2957; APARECIDA - 230;;  8,030;;  8,030;  8,000;;;  8,000;
2758; ALTA PAULISTA - 400;;  8,968;;  8,968;  8,938;;;  8,938;
6601; APUCARANA - 230;;  6,703;;  6,703;  6,673;;;  6,673;
58771; LAGOA BARRO - 230;; 11,574;; 11,574; 11,544;;; 11,544;
11219; AQUIRAZ - 230;;  9,598;;  9,598;  9,568;;;  9,568;
