BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,903
1206; AG.LINDAS230;   10,030
251; ACU II - 230;   11,764
11265; ACU III - 230;   11,564
11565; ACU III - 500;   11,432
7747; ABDON BATISTA - 230;    8,159
7744; ABDON BATISTA - 525;    7,629
9537; ABUNA - 230;    5,351
559; ACAILANDIA - 500;   10,834
55412; ACARAU II – 230;   10,455
12907; ACARAT CE - 230;   10,461
12902; ACARAT-CE500;   10,488
4475; ACESITA - 230;    8,126
3729; ADRIANOPOLIS - 345;    8,838
3728; ADRIANOPOLIS - 500;    9,206
1637; AIMORES - 230;   10,304
11760; ALAGOAS 2 - 230;    7,963
9002; ALEGRETE2 - 230;    7,050
56095; ALEX - 230;   11,612
362; ALTAMIRA - 230;    9,812
7758; ANASTACIO - 230;    7,930
2770; ANDIRA LESTE - 230;    7,427
540; ANGELIM - 500;   10,012
240; ANGELIM - 230;    9,865
3745; ANGRA - 500;   10,035
1172; ANHANGUERA GO - 230;    9,147
2901; ANHANGUERA SP - 230;    5,351
2900; ANHANGUERA - 345;    5,351
2957; APARECIDA - 230;    8,418
2758; ALTA PAULISTA - 400;    9,352
6601; APUCARANA - 230;    6,969
58771; LAGOA BARRO - 230;   11,415
11219; AQUIRAZ - 230;    9,412
1522; ARACUAI - 230;   12,260
11242; ARAPIRACA III - 230;    6,200
5203; ARARAQUARA 2 - 440;    8,938
5202; ARARAQUARA 2 - 500;    9,444
2630; ARARAQUARA - 440;    8,458
3852; ARARAQUARA - 500;    9,204
2673; ARARAS SP - 440;    7,494
38906; ARAXA 3 - 345;   10,300
12203; ARCOVERDE II - 230;   10,038
7749; AREIA - 230;    7,804
7748; AREIA - 525;    7,981
39813; ARINOS 2 - 500;   11,702
9520; ARIQUEMES - 230;    5,351
302; MOXOTO - 230;   11,142
2624; ASSIS - 440;    8,617
4282; ASSIS - 525;    8,338
2626; ASSIS 2 - 230;    8,225
2677; ATIBAIA 2 - 345;    5,953
7923; ATLANTIDA 2 - 230;    6,805
2786; AVARE - 230;    5,543
2617; AGUA VERMELHA - 500;   10,251
2618; AGUA VERMELHA - 440;   10,124
3947; BARRO ALTO - 230;   11,935
3605; BARRO BRANCO - 345;    8,898
4297; B. DOS COQUEIROS - 230;   12,207
229; B.ESPERANCA - 230;   10,086
4288; B. FLUMINENSE - 500;    9,628
7304; BARRA GRANDE - 230;    8,597
6608; BAIXO IGUACU PR - 230;    8,989
11050; B.JESUS II - 230;   10,314
3236; BARRA PEIXE - 230;    8,970
13103; BACAB - MA - 500;   10,506
9010; BAGE 2 - 230;    7,434
