NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;7,484;;16,323;;;;;;2
30256;#1AIRL-SP138; ;;7,004;;16,803;;;;;;2
30222;#1ASCH-SP138; ;;7,418;;16,389;;;;;;2
30244;#1ASCP-SP138; ;;7,004;;16,803;;;;;;2
30219;#1ASCS-SP138; ;;7,461;;16,346;;;;;;2
30143;#1BRAS-SP138; ;;7,004;;16,803;;;;;;2
2530;#1COSM-SP138; ;;7,484;;16,323;;;;;;2
30208;#1CRIS-SP138; ;;7,218;;16,589;;;;;;2
30214;#1ITAP-SP138; ;;7,218;;16,589;;;;;;2
30278;#1LIND-SP138; ;;7,218;;16,589;;;;;;2
30260;#1ORIO-SP138; ;;7,004;;16,803;;;;;;2
30265;#1PAU3-SP138; ;;7,004;;16,803;;;;;;2
30286;#1PIR2-SP138; ;;7,557;;16,250;;;;;;2
30269;#1PLAS-SP138; ;;7,004;;16,803;;;;;;2
30276;#1POLY-SP138; ;;7,484;;16,323;;;;;;2
30216;#1PRAD-SP138; ;;7,218;;16,589;;;;;;2
2391;#1REPL-SP138; ;;7,004;;16,803;;;;;;2
30254;#1RHOD-SP138; ;;7,004;;16,803;;;;;;2
30274;#1SANT-SP138; ;;7,484;;16,323;;;;;;2
30247;#1SYNG-SP138; ;;7,004;;16,803;;;;;;2
29983;#1USES-SP138; ;;7,484;;16,323;;;;;;2
30262;#1WMPA-SP138; ;;7,004;;16,803;;;;;;2
30252;#2ABL--SP138; ;;7,484;;16,323;;;;;;2
30257;#2AIRL-SP138; ;;7,004;;16,803;;;;;;2
30223;#2ASCH-SP138; ;;7,716;;16,091;;;;;;2
30245;#2ASCP-SP138; ;;7,004;;16,803;;;;;;2
30220;#2ASCS-SP138; ;;7,461;;16,346;;;;;;2
30142;#2BRAS-SP138; ;;7,004;;16,803;;;;;;2
30273;#2COSM-SP138; ;;7,484;;16,323;;;;;;2
30209;#2CRIS-SP138; ;;7,218;;16,589;;;;;;2
30271;#2INTP-SP138; ;;7,484;;16,323;;;;;;2
30215;#2ITAP-SP138; ;;7,218;;16,589;;;;;;2
30279;#2LIND-SP138; ;;7,218;;16,589;;;;;;2
30261;#2ORIO-SP138; ;;7,004;;16,803;;;;;;2
30266;#2PAU3-SP138; ;;7,004;;16,803;;;;;;2
30287;#2PIR2-SP138; ;;7,554;;16,253;;;;;;2
30270;#2PLAS-SP138; ;;7,484;;16,323;;;;;;2
30277;#2POLY-SP138; ;;7,484;;16,323;;;;;;2
30217;#2PRAD-SP138; ;;7,218;;16,589;;;;;;2
30255;#2RHOD-SP138; ;;7,004;;16,803;;;;;;2
30275;#2SABT-SP138; ;;7,484;;16,323;;;;;;2
30248;#2SYNG-SP138; ;;7,484;;16,323;;;;;;2
30272;#2USES-SP138; ;;7,484;;16,323;;;;;;2
30263;#2WMPA-SP138; ;;7,004;;16,803;;;;;;2
28516;#GALVA-RJ138; ;;9,501;;14,306;;;;;;2
28428;#ROSTR-RJ069; ;;9,522;;14,285;;;;;;2
7312;14JULH-RS230; ;;7,111;;16,696;;;;;;1
7313;14JULHUHE013;B;98,0;7,111;;16,696;;;8362,79;;;1
35025;2.VEND-ES069; ;;9,554;;14,253;;;;;;2
2084;2MARIA-SP034; ;;7,213;,8;16,594;;;;154,16;;2
6931;2VIZIN-PR138; ;;8,854;56,0;14,953;;;;10048,73;;1
33130;3LAG2--SP138; ;;9,800;16,0;14,007;;;;2691,12;;2
1412;3MAIO--MT138; ;;11,000;;12,807;;;;;;2
19582;3MAIO-PCH013;U;;;;12,807;;;;;;2
2294;3PONTE-SP138; ;;7,218;19,0;16,589;;;;3786,35;;2
7152;4BARRA-PR069; ;;6,393;55,2;17,414;;;;11535,36;;1
30068;79_331-SP138; ;;7,716;;16,091;;;;;;2
30069;79_332-SP138; ;;7,716;;16,091;;;;;;2
25808;7QUEDA-MT138; ;;8,181;;15,626;;;;;;2
25809;7QUEDAPCH013;U;;;;15,626;;;;;;2
1334;A-BOA1-MT138; ;;7,404;34,8;16,403;;;;6849,74;;2
22051;A.AZUL-SP088; ;;6,903;166,3;16,904;;;;33733,39;;2
2840;A.AZUL-SP138; ;;6,611;;17,196;;;;;;2
30951;A.AZUL-SP440; ;;6,903;;16,904;;;;;;2
56772;A.BEZ1EOL034;B;28,8;11,876;;11,931;;;4108,61;;;3
