GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
AAA ASAS_PUREZA,0,0,0,0,10.228,11.04,11.111,11.532,11.409,11.426,11.406,11.386000000000001,11.366000000000001,11.346000000000002,11.326000000000002,11.306000000000003,11.286000000000003,11.266000000000004
EOL ABIL,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ACACIA,0,10.456,10.787,10.559,10.873,11.367,11.426,11.844,11.629,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004,11.486000000000004
EOL ACARI (RIACHAO I),0,10.042,9.038,9.035,9.298,10.29,10.343,10.723,10.592,10.607,10.587,10.567,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003
EOL ACAUA,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ACAUA I,0,10.986,10.064,10.232,10.467,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ACAUA II,0,10.986,10.064,10.232,10.467,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ACAUA III,0,10.986,10.064,10.232,10.467,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL AFONSO BEZERRA I,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL AFONSO BEZERRA II,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL AFONSO BEZERRA III,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL AFONSO BEZERRA IV,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL ALBATROZ,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ALBUQUERQUE (RIACHAO II),0,10.042,9.038,9.035,9.298,10.29,10.343,10.723,10.592,10.607,10.587,10.567,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003
EOL ALEGRIA I(NEW ENERGY),0,10.878,9.942,10.1,10.328,11.424,11.498,11.884,11.764,11.781,11.761000000000001,11.741000000000001,11.721000000000002,11.701000000000002,11.681000000000003,11.661000000000003,11.641000000000004,11.621000000000004
EOL ALEGRIA II(NEW ENERGY),0,10.878,9.942,10.1,10.328,11.424,11.498,11.884,11.764,11.781,11.761000000000001,11.741000000000001,11.721000000000002,11.701000000000002,11.681000000000003,11.661000000000003,11.641000000000004,11.621000000000004
EOL ALTO DOS VENTOS II A,0,0,0,0,0,11.005,11.075,11.494,11.371,11.388,11.368,11.348,11.328000000000001,11.308000000000002,11.288000000000002,11.268000000000002,11.248000000000003,11.228000000000003
EOL ALTO DOS VENTOS II B,0,0,0,0,0,11.005,11.075,11.494,11.371,11.388,11.368,11.348,11.328000000000001,11.308000000000002,11.288000000000002,11.268000000000002,11.248000000000003,11.228000000000003
EOL ALVORADA,0,10.554,10.856,10.635,10.949,11.44,11.5,11.921,11.709,11.726,11.706000000000001,11.686000000000002,11.666000000000002,11.646000000000003,11.626000000000003,11.606000000000003,11.586000000000004,11.566000000000004
EOL AMESCLA,0,10.165,10.561,10.326,10.643,11.352,11.412,11.83,11.613,11.63,11.610000000000001,11.590000000000002,11.570000000000002,11.550000000000002,11.530000000000003,11.510000000000003,11.490000000000004,11.470000000000004
EOL AMETISTA,0,10.554,10.856,10.635,10.949,11.44,11.5,11.921,11.709,11.726,11.706000000000001,11.686000000000002,11.666000000000002,11.646000000000003,11.626000000000003,11.606000000000003,11.586000000000004,11.566000000000004
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,10.042,9.038,9.035,9.298,10.29,10.343,10.723,10.592,10.607,10.587,10.567,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003
EOL ANEMUS WIND 1,0,10.97,10.027,10.188,10.422,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANEMUS WIND 2,0,10.97,10.027,10.188,10.422,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANEMUS WIND 3,0,10.97,10.027,10.188,10.422,10.916,10.981,11.361,11.237,11.254,11.234,11.214,11.194,11.174000000000001,11.154000000000002,11.134000000000002,11.114000000000003,11.094000000000003
EOL ANGELIM,0,10.165,10.561,10.326,10.643,11.32,11.379,11.795,11.578,11.595,11.575000000000001,11.555000000000001,11.535000000000002,11.515000000000002,11.495000000000003,11.475000000000003,11.455000000000004,11.435000000000004
EOL ANGICAL,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ANGICAL 2,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ANGICO,0,10.456,10.787,10.559,10.873,11.367,11.426,11.844,11.629,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003,11.526000000000003,11.506000000000004,11.486000000000004
EOL ANGICOS I,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL ANGICOS II,0,10.878,9.942,10.1,10.328,11.528,11.604,11.995,11.876,11.893,11.873000000000001,11.853000000000002,11.833000000000002,11.813000000000002,11.793000000000003,11.773000000000003,11.753000000000004,11.733000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.298,10.29,10.343,10.723,10.592,10.607,10.587,10.567,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ARARINHA AZUL,0,10.528,10.847,10.616,10.931,11.427,11.488,11.909,11.694,11.711,11.691,11.671000000000001,11.651000000000002,11.631000000000002,11.611000000000002,11.591000000000003,11.571000000000003,11.551000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.298,10.29,10.343,10.723,10.592,10.607,10.587,10.567,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL AROEIRA 1,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 2,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 3,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 4,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 5,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 6,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 7,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL AROEIRA 8,0,10.81,10.428,10.283,10.499,10.948,10.995,11.4,11.228,11.244,11.224,11.204,11.184000000000001,11.164000000000001,11.144000000000002,11.124000000000002,11.104000000000003,11.084000000000003
EOL ASA BRANCA I,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA II,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA III,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA IV,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA V,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA VI,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA VII,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASA BRANCA VIII,0,10.64,9.792,9.851,10.106,10.857,10.923,11.335,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL ASSURUA 4 I,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 4 II,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 4 III,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 4 IV,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 4 V,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 4 VI,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 I,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 II,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 III,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 IV,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 V,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA 5 VI,0,11.069,11.194,11.032,11.297,11.751,11.808,12.239,12.073,12.09,12.07,12.05,12.030000000000001,12.010000000000002,11.990000000000002,11.970000000000002,11.950000000000003,11.930000000000003
EOL ASSURUA II,0,10.918,10.295,10.099,10.306,10.534,10.576,10.961,10.777,10.793,10.773,10.753,10.733,10.713000000000001,10.693000000000001,10.673000000000002,10.653000000000002,10.633000000000003
EOL ASSURUA III,0,10.918,10.295,10.099,10.306,10.534,10.576,10.961,10.777,10.793,10.773,10.753,10.733,10.713000000000001,10.693000000000001,10.673000000000002,10.653000000000002,10.633000000000003
EOL ASSURUA IV,0,10.918,10.295,10.099,10.306,10.534,10.576,10.961,10.777,10.793,10.773,10.753,10.733,10.713000000000001,10.693000000000001,10.673000000000002,10.653000000000002,10.633000000000003
EOL ASSURUA V,0,10.918,10.295,10.099,10.306,10.534,10.576,10.961,10.777,10.793,10.773,10.753,10.733,10.713000000000001,10.693000000000001,10.673000000000002,10.653000000000002,10.633000000000003
EOL ASSURUA VII,0,10.918,10.295,10.099,10.306,10.534,10.576,10.961,10.777,10.793,10.773,10.753,10.733,10.713000000000001,10.693000000000001,10.673000000000002,10.653000000000002,10.633000000000003
EOL ATLANTICA I,0,5.5,8.011,8.083,7.847,7.079,6.748,6.676,6.891,6.901,6.881,6.861000000000001,6.841000000000001,6.8210000000000015,6.801000000000002,6.781000000000002,6.761000000000003,6.741000000000003
EOL ATLANTICA II,0,5.5,8.011,8.083,7.847,7.079,6.748,6.676,6.891,6.901,6.881,6.861000000000001,6.841000000000001,6.8210000000000015,6.801000000000002,6.781000000000002,6.761000000000003,6.741000000000003
EOL ATLANTICA IV,0,5.5,8.011,8.083,7.847,7.079,6.748,6.676,6.891,6.901,6.881,6.861000000000001,6.841000000000001,6.8210000000000015,6.801000000000002,6.781000000000002,6.761000000000003,6.741000000000003
EOL ATLANTICA V,0,5.5,8.011,8.083,7.847,7.079,6.748,6.676,6.891,6.901,6.881,6.861000000000001,6.841000000000001,6.8210000000000015,6.801000000000002,6.781000000000002,6.761000000000003,6.741000000000003
EOL AURA CAETITE 01,0,10.456,10.787,10.559,10.873,11.436,11.497,11.919,11.705,11.722,11.702,11.682,11.662,11.642000000000001,11.622000000000002,11.602000000000002,11.582000000000003,11.562000000000003
EOL AURA CAETITE 02,0,10.456,10.787,10.559,10.873,11.436,11.497,11.919,11.705,11.722,11.702,11.682,11.662,11.642000000000001,11.622000000000002,11.602000000000002,11.582000000000003,11.562000000000003
EOL AURA CAETITE 03,0,10.456,10.787,10.559,10.873,11.436,11.497,11.919,11.705,11.722,11.702,11.682,11.662,11.642000000000001,11.622000000000002,11.602000000000002,11.582000000000003,11.562000000000003
EOL AURA CAETITE 04,0,10.456,10.787,10.559,10.873,11.436,11.497,11.919,11.705,11.722,11.702,11.682,11.662,11.642000000000001,11.622000000000002,11.602000000000002,11.582000000000003,11.562000000000003
EOL AURA LAGOA DO BARRO 01,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 02,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 03,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 04,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 05,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 06,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA LAGOA DO BARRO 07,0,10.859,10.181,10.115,10.309,11.279,11.286,11.739,11.613,11.629,11.609,11.589,11.569,11.549000000000001,11.529000000000002,11.509000000000002,11.489000000000003,11.469000000000003
EOL AURA MANGUEIRA IV,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA VI,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA VII,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA XI,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA XII,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA XIII,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA XV,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MANGUEIRA XVII,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
EOL AURA MIRIM II,0,6.613,9.096,9.201,8.977,8.461,8.146,8.139,8.352,8.364,8.344000000000001,8.324000000000002,8.304000000000002,8.284000000000002,8.264000000000003,8.244000000000003,8.224000000000004,8.204000000000004
