BARRA;NOME;TUST-RB
542; TRES IRMAOS - 440;    9,590
8344; ABAIARA - 230;    9,086
9739; ABDON BATISTA - 230;    8,937
9738; ABDON BATISTA - 525;    8,417
6930; ABUNA - 230;   10,951
6700; ACAILANDIA - 500;    9,816
5923; ACARAT CE - 230;    9,494
5318; ACARAT-CE500;    9,482
5486; ACARAU II – 230;    9,503
1596; ACESITA - 230;    5,404
5461; ACU II - 230;   10,325
5351; ACU III - 230;   10,382
5350; ACU III - 500;   10,210
140; ADRIANOPOLIS - 345;    6,733
106; ADRIANOPOLIS - 500;    7,110
2987; AG.LINDAS230;    8,655
453; AGUA AZUL - 440;    6,249
4043; AIMORES - 230;    7,992
6000; ALAGOAS 2 - 230;    5,671
1186; ALEGRETE2 - 230;    9,079
8163; ALEX - 230;   10,306
6521; ALTAMIRA - 230;    7,578
668; ALTA PAULISTA - 400;    9,046
1078; ANASTACIO - 230;    7,630
44594; ANEMUS - 230;   10,418
5100; ANGELIM - 500;    8,470
5101; ANGELIM - 230;    8,095
105; ANGRA - 500;    7,526
760; ANHANGUERA GO - 230;    8,285
431; ANHANGUERA SP - 230;    4,974
439; ANHANGUERA - 345;    5,903
458; APARECIDA - 230;    6,778
878; APUCARANA - 230;    7,038
5381; AQUIRAZ - 230;    8,463
4070; ARACUAI - 230;   11,792
6081; ARAPIRACA III - 230;    4,974
559; ARARAQUARA - 440;    7,708
101; ARARAQUARA - 500;    8,630
99; ARARAQUARA - 525;    8,630
589; ARARAS SP - 440;    6,874
7058; ARARAQUARA 2 - 440;    8,292
7057; ARARAQUARA 2 - 500;    8,657
5092; ARCOVERDE II - 230;    8,222
934; AREIA - 230;    7,776
933; AREIA - 525;    8,665
4349; ARINOS 2 - 500;   11,653
6880; ARIQUEMES - 230;   10,522
45680; ASOLO 2 - 230;   11,166
552; ASSIS - 440;    8,456
556; ASSIS - 525;    8,527
551; ASSIS 2 - 230;    7,820
697; ATIBAIA 2 - 345;    6,178
1330; ATLANTIDA 2 - 230;    7,021
629; AVARE - 230;    5,488
3150; AVARE NOVA - 230;    5,488
536; AGUA VERMELHA - 440;    9,389
535; AGUA VERMELHA - 500;    9,577
451; AVILLAR - 230;    5,578
9892; ANDIRA LESTE - 230;    6,889
229; BARRO ALTO - 230;    9,747
