BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
2338; DOIS CORREGOS - 138;    8,353;    8,381;;
543; TRES IRMAOS - 138;    7,074;    6,899;;
542; TRES IRMAOS - 440;    6,992;    6,801;;
1903; TRES LAGOAS 1 - 138;    7,135;    6,976;;
8344; ABAIARA - 230;    7,236;    6,945;;
6203; ABAIXADORA - 69;    7,226;    6,915;;
9739; ABDON BATISTA - 230;    7,308;    7,909;;
9738; ABDON BATISTA - 525;    7,558;    8,152;;
6931; ABUNA - 138;    6,336;    5,353;;
6930; ABUNA - 230;    6,336;    5,353;;
6700; ACAILANDIA - 500;    6,883;    6,480;;
5923; ACARAT CE - 230;    7,039;    6,633;;
5318; ACARAT-CE500;    7,045;    6,638;;
5486; ACARAU II – 230;    7,035;    6,628;;
1596; ACESITA - 230;    9,013;    8,917;;
5463; ACU II - 69;    6,638;    6,178;;
5468; ACU II - 138;    6,713;    6,268;;
5461; ACU II - 230;    6,638;    6,178;;
5351; ACU III - 230;    6,610;    6,144;;
5350; ACU III - 500;    6,693;    6,235;;
173; ADRIANOPOLIS - 138;    8,351;    8,193;;
140; ADRIANOPOLIS - 345;    8,371;    8,219;;
106; ADRIANOPOLIS - 500;    8,189;    8,064;;
2974; AGUAS LINDAS - 69;    7,444;    7,047;;
2987; AG.LINDAS230;    7,444;    7,047;;
5106; ANGELIM - 13,8;    7,714;    7,403;;
3801; AGUAI - 138;    8,291;    8,264;;
452; AGUA AZUL - 138;    8,615;    8,637;;
453; AGUA AZUL - 440;    8,605;    8,625;;
4043; AIMORES - 230;    7,764;    7,453;;
3934; AJINOMOTO BIO - 138;    9,195;    9,397;;
5796; ALAGOINHA 2 - 69;    8,884;    9,016;;
6000; ALAGOAS 2 - 230;    8,884;    9,016;;
1185; ALEGRETE2 - 69;    7,230;    8,120;;
1186; ALEGRETE2 - 230;    7,239;    8,135;;
8163; ALEX - 230;    6,647;    6,215;;
6523; ALTAMIRA - 69;    7,964;    7,700;;
6521; ALTAMIRA - 230;    7,964;    7,700;;
668; ALTA PAULISTA - 400;    7,255;    7,136;;
2336; AMPARO - 138;    8,446;    8,451;;
1079; ANASTACIO - 138;    7,948;    7,987;;
1078; ANASTACIO - 230;    7,938;    7,974;;
3840; AVANTI N.CORT - 138;    7,129;    6,969;;
3882; ANDRADINA - 138;    7,139;    6,977;;
44594; ANEMUS - 230;    6,593;    6,124;;
5100; ANGELIM - 500;    7,533;    7,216;;
5103; ANGELIM - 69;    7,714;    7,403;;
5101; ANGELIM - 230;    7,714;    7,403;;
185; ANGRA 1 - 138;    8,091;    7,949;;
105; ANGRA - 500;    7,989;    7,839;;
1773; ANGRA AMPLA - 138;    8,142;    8,005;;
762; ANHANGUERA - 69;    7,622;    7,439;;
761; ANHANGUERA - 138;    7,622;    7,438;;
760; ANHANGUERA GO - 230;    7,622;    7,439;;
444; ANHANGUERA - 88;    8,772;    8,818;;
431; ANHANGUERA SP - 230;    9,232;    9,383;;
439; ANHANGUERA - 345;    8,772;    8,818;;
459; APARECIDA - 88;    8,350;    8,312;;
458; APARECIDA - 230;    8,350;    8,312;;
879; APUCARANA - 138;    8,219;    8,537;;
878; APUCARANA - 230;    8,224;    8,543;;
5383; AQUIRAZ II - 69;    7,536;    7,229;;
5381; AQUIRAZ - 230;    7,536;    7,229;;
2296; ARACATUBA - 138;    7,521;    7,410;;
4081; ARACUAI 2 - 138;    5,903;    5,341;;
4070; ARACUAI - 230;    5,930;    5,369;;
6083; ARAPIRACA III - 69;    9,846;    9,871;;
6081; ARAPIRACA III - 230;    9,846;    9,871;;
3802; ARARAS 1 - 138;    8,240;    8,226;;
3803; ARARAS 2 - 138;    8,249;    8,237;;
560; ARARAQUARA CTP - 138;    7,912;    7,851;;
559; ARARAQUARA - 440;    7,901;    7,846;;
101; ARARAQUARA - 500;    7,456;    7,351;;
99; ARARAQUARA - 525;    7,456;    7,351;;
589; ARARAS SP - 440;    8,303;    8,298;;
7058; ARARAQUARA 2 - 440;    7,619;    7,525;;
7057; ARARAQUARA 2 - 500;    7,443;    7,331;;
7411; ARAXA 3 - 138;    7,157;    6,863;;
7410; ARAXA 3 - 345;    7,120;    6,819;;
5093; ARCOVERDE II - 69;    7,653;    7,316;;
5092; ARCOVERDE II - 230;    7,653;    7,316;;
9336; AREIA - 13,8;    7,875;    8,363;;
823; AREIA - 138;    7,876;    8,364;;
934; AREIA - 230;    7,868;    8,351;;
933; AREIA - 525;    7,439;    7,884;;
4349; ARINOS 2 - 500;    5,997;    5,448;;
6881; ARIQUEMES - 69;    6,543;    5,740;;
6880; ARIQUEMES - 230;    6,543;    5,740;;
3804; A.NOGUEIRA - 138;    8,309;    8,311;;
3841; ARUJA - 138;    8,626;    8,650;;
7626; ARUJA 2 - 138;    8,623;    8,647;;
45680; ASOLO 2 - 230;    6,232;    5,835;;
552; ASSIS - 440;    7,540;    7,516;;
556; ASSIS - 525;    7,506;    7,553;;
3192; ASSIS I - 88;    7,888;    7,961;;
551; ASSIS 2 - 230;    7,847;    7,920;;
3193; ASSIS III - 88;    7,880;    7,951;;
4130; PETRO ATIBAIA - 138;    8,595;    8,615;;
3842; ATIBAIA 1 - 138;    8,594;    8,614;;
697; ATIBAIA 2 - 345;    8,639;    8,662;;
3843; ATIBAIA 3 - 138;    8,603;    8,625;;
1331; ATLANTIDA 2 - 69;    8,232;    9,044;;
1330; ATLANTIDA 2 - 230;    8,232;    9,044;;
2337; AUXILIADORA - 138;    8,788;    8,910;;
629; AVARE - 230;    8,972;    9,145;;
3150; AVARE NOVA - 230;    8,972;    9,145;;
537; AGUA VERMELHA - 138;    7,163;    6,981;;
536; AGUA VERMELHA - 440;    7,089;    6,890;;
535; AGUA VERMELHA - 500;    6,999;    6,765;;
451; AVILLAR - 230;    8,929;    9,007;;
3058; VILA DE PAIVA - 88;    8,840;    8,869;;
9891; ANDIRA LESTE - 138;    8,311;    8,540;;
9892; ANDIRA LESTE - 230;    8,296;    8,498;;
229; BARRO ALTO - 230;    6,917;    6,364;;
2980; BARRO ALTO - 69;    6,917;    6,364;;
4040; BARRO BRANCO - 345;    8,148;    7,926;;
3146; BERNAR.CAMPOS - 88;    8,451;    8,584;;
9444; B. DOS COQUEIROS - 230;    6,155;    5,754;;
5511; B.ESPERANCA - 230;    7,453;    7,126;;
5510; B.ESPERANCA - 500;    6,912;    6,509;;
5678; UB.ESPERANCA - 69;    7,453;    7,126;;
221; BRAS. GERAL - 34,5;    7,729;    7,490;;
227; BRASILIA GERAL - 230;    7,729;    7,490;;
576; BOM JARDIM - 88;    8,456;    8,473;;
575; BOM JARDIM - 138;    8,501;    8,516;;
574; BOM JARDIM - 440;    8,456;    8,473;;
7183; BOM JESUS II - 69;    7,198;    6,858;;
7181; B.JESUS II - 230;    7,198;    6,858;;
3698; BRAS. LESTE - 138;    7,002;    6,633;;
3699; BRASILIA LESTE - 500;    6,948;    6,568;;
5403; BOM NOME - 69;    7,303;    7,036;;
5402; BOM NOME - 138;    7,303;    7,036;;
5401; BOM NOME - 230;    7,303;    7,036;;
4503; BARRA PEIXE - 138;    6,747;    6,452;;
4502; BARRA PEIXE - 230;    6,687;    6,385;;
236; BRAS. SUL - 138;    7,175;    6,840;;
228; BRAS. SUL - 230;    7,488;    7,198;;
219; BRAS. SUL -345;    7,230;    6,905;;
5684; BACAB - MA - 500;    7,157;    6,772;;
1189; BAGE2 - 69;    7,454;    8,193;;
1188; BAGE 2 - 230;    7,454;    8,193;;
479; BAGUACU - 138;    7,521;    7,410;;
478; BAGUACU - 440;    7,538;    7,428;;
1495; BAGUARI - 230;    7,838;    7,535;;
9354; BAIXO IGUACU PR - 230;    7,893;    8,261;;
473; B. SANTISTA - 88;    8,841;    8,913;;
472; B. SANTISTA - 230;    9,063;    9,138;;
471; B. SANTISTA - 345;    8,801;    8,870;;
8501; BALBINA - 230;    7,953;    7,719;;
5393; BALSAS - 69;    6,887;    6,532;;
5391; BALSAS - 230;    6,887;    6,532;;
5423; BANABUIU - 69;    7,103;    6,727;;
5421; BANABUIU - 230;    7,103;    6,727;;
3494; BANDEIRANTES - 34,5;    8,870;    8,941;;
226; BANDEIRANTE GO - 230;    7,510;    7,299;;
218; BANDEIRANTE GO - 345;    7,266;    6,983;;
493; ECH BANDEIRAN - 88;    8,870;    8,941;;
492; BANDEIRANTE SP - 345;    8,870;    8,941;;
309; BARBACENA 2 - 138;    8,395;    8,252;;
308; BARBACENA - 345;    8,424;    8,290;;
633; BARIRI - 138;    8,113;    8,104;;
3056; BARRA DO UNA - 138;    8,691;    8,729;;
6315; BARREIRAS II - 230;    6,564;    6,477;;
6363; BARREIRAS - 69;    6,733;    6,876;;
6365; BARREIRAS - 138;    6,747;    6,925;;
6361; BARREIRAS - 230;    6,733;    6,876;;
6360; BARREIRAS - 500;    6,352;    5,894;;
314; BARREIRO 1 - 138;    8,125;    7,878;;
313; BARREIRO - 345;    8,125;    7,878;;
3190; BASTOS - 138;    7,385;    7,276;;
112; BATEIAS - 500;    7,843;    8,236;;
113; BATEIAS 2 - 500;    7,843;    8,236;;
2359; BATEIAS - 138;    8,325;    8,904;;
814; BATEIAS - 230;    8,234;    8,784;;
895; BATEIAS - 525;    7,824;    8,248;;
114; BATEIAS 3 - 500;    7,828;    8,230;;
562; BAURU - 138;    7,998;    7,969;;
561; BAURU SP - 440;    7,973;    7,939;;
3427; BADY BASSITT - 138;    7,561;    7,448;;
635; BARRA BONITA - 138;    8,431;    8,481;;
9004; BARAO DE COCAIS 3 - 230;    8,605;    8,397;;
4050; B.DESPACHO - 500;    7,559;    7,279;;
709; BERTIOGA II - 138;    8,736;    8,783;;
3844; BERTIOGA 1 - 138;    8,764;    8,815;;
3846; BERTIOGA 3 - 138;    8,706;    8,747;;
4170; BERTIOGA 4 - 138;    8,727;    8,772;;
5513; B. ESPERANCA - 69;    7,453;    7,126;;
4339; BETIM 6 - 138;    7,953;    7,693;;
4337; BETIM 6 -345;    7,936;    7,672;;
9626; B. FLUMINENSE - 500;    8,131;    8,007;;
5158; BONGI - 13,8;    8,561;    8,473;;
936; BARRA GRANDE - 230;    7,026;    7,604;;
7628; COL BOA HORA - 138;    7,168;    6,988;;
948; BIGUACU - 138;    8,176;    8,894;;
947; BAIXO IGUACU SC - 230;    8,105;    8,808;;
946; BIGUACU--525;    7,831;    8,439;;
6584; BIRIGUI 3 - 138;    7,423;    7,303;;
3051; BIRITIBA - 138;    8,641;    8,668;;
6358; B.J.LAPA II - 230;    6,395;    5,919;;
6349; BJLAPAII - 500;    6,363;    5,860;;
6353; B.J.LAPA II - 69;    6,396;    5,922;;
6351; B.J.LAPA - 230;    6,396;    5,922;;
940; BLUMENAU - 138;    8,250;    8,943;;
939; BLUMENAU - 230;    8,207;    8,891;;
938; BLUMENAU - 525;    7,882;    8,452;;
5406; BOM NOME - 13,8;    7,303;    7,036;;
2113; BROTAS - 138;    8,432;    8,481;;
3423; BOITUVA 2 - 138;    9,341;    9,580;;
3054; BOISSUCANGA - 138;    8,664;    8,697;;
5156; BONGI - 69;    8,561;    8,473;;
