NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
7739;EEAB--GO138; ;;9,321;;7,122;;6,780;;;;2
98251;U.LASA-ES13;U;;;;8,090;;7,814;;;;2
1168;14JUL-UHE002; ;;8,423;;7,556;;8,239;;;;1
1153;14JULH-RS230; ;;8,423;;7,556;;8,239;;;;1
2338;2CORRE-SP138; ;;6,772;13,9;8,353;14,0;8,381;;1398,26;1407,98;2
1184;2IRMAO-RS138; ;;7,410;;8,045;;8,836;;;;1
2627;2VENDA-ES069; ;;7,442;;8,029;;7,749;;;;2
7632;3.LAG2-SP138; ;;9,306;;7,129;;6,969;;;;2
3901;3.LAGO-SP138; ;;9,294;;7,136;;6,976;;;;2
1290;3COROA-RS138; ;;7,577;;7,964;;8,735;;;;1
3900;3IRMA--SP138; ;;9,421;;7,074;;6,899;;;;2
543;3IRMAO-SP138;U;;;6,9;7,074;10,0;6,899;;585,73;827,83;2
542;3IRMAO-SP440;B;803,3;9,590;;6,992;;6,801;92446,68;;;2
520;3IRMAOUHE005; ;;9,590;;6,992;;6,801;;;;2
17632;3L2-1Y-SP138; ;;9,306;;7,129;;6,969;;;;2
27632;3L2-2Y-SP138; ;;9,306;;7,129;;6,969;;;;2
1903;3LA-1Y-SP138; ;;9,295;47,0;7,135;53,0;6,976;;4024,20;4436,45;2
1940;3LA-2Y-SP138; ;;9,300;;7,132;;6,970;;;;2
2253;3M-----SP069; ;;6,980;;8,252;;8,277;;;;2
4970;3MAIO--MT138; ;;11,267;;6,183;;5,889;;;;2
4991;3MAIO-PCH013;U;;;;6,183;;5,889;;;;2
2246;3PONTA-SP138; ;;6,784;;8,347;;8,341;;;;2
4609;7QUED-PCH013;U;;;;6,508;;6,191;;;;2
96495;A. BELAS-138; ;;10,352;;6,625;;6,106;;;;3
96891;A.BONITA-GER;U;;;;7,880;;7,951;;;;2
1696;A.BRAN-RJ138; ;;7,093;;8,198;;8,072;;;;2
4973;A.FLOR-MT138; ;;11,458;;6,091;;5,772;;;;2
1638;A.FRAN-RJ138; ;;7,051;;8,218;;8,086;;;;2
1608;A.GRAN-RJ138; ;;7,007;;8,239;;8,112;;;;2
98361;A.INGAZEI138; ;;8,947;;7,303;;7,036;;;;3
2609;A.LAGE-ES138; ;;7,283;;8,106;;7,840;;;;2
97639;A.MACHA2-138; ;;8,776;;7,385;;7,318;;;;2
3881;A.VERM-SP138; ;;9,237;;7,163;;6,981;;;;2
500;A.VERMUHE006; ;;9,389;;7,089;;6,890;;;;2
2460;AALEGR-PR138; ;;7,351;;8,073;;8,434;;;;1
6040;AB-MT--RN230; ;;10,306;;6,647;;6,215;;;;3
1778;ABADIA-RJ069; ;;7,763;;7,874;;7,579;;;;2
8344;ABAIAR-CE230;B;163,7;9,086;;7,236;;6,945;17848,45;;;3
6203;ABAIXA-BA069; ;;9,106;67,7;7,226;69,5;6,915;;5866,03;5767,40;3
9739;ABATIS-SC230;B;330,0;8,937;;7,308;;7,909;35389,57;;;1
9738;ABATIS-SC525; ;;8,417;;7,558;;8,152;;;;1
9922;ABELUZ-SC138; ;;9,135;;7,212;;7,818;;;;1
2716;ABENO1-SC138; ;;6,775;;8,351;;9,198;;;;1
6281;ABILI__BA230; ;;10,966;;6,329;;5,804;;;;3
6043;ABMT-AEOL010; ;;10,306;;6,647;;6,215;;;;3
6042;ABMT-BEOL014; ;;10,306;;6,647;;6,215;;;;3
7709;ABOAVI-MT138; ;;6,328;;8,567;;8,424;;;;2
4694;ABOAVI-MT138; ;;6,328;;8,567;;8,424;;;;2
4912;ABRAN-PCH034; ;;10,603;;6,504;;6,185;;;;2
4404;ABRAV-PCH034;U;;;;6,504;;6,185;;;;2
4867;ABRE--PCH138;U;;;;6,419;;6,041;;;;2
280;ABRTAP-RJ138; ;;7,093;;8,198;;8,072;;;;2
6931;ABUNA--RO138; ;;10,951;34,6;6,336;35,3;5,353;;2627,57;2269,48;2
6930;ABUNA--RO230; ;;10,951;;6,336;;5,353;;;;2
6701;AC-MB1CAP500; ;;9,794;;6,894;;6,492;;;;4
6703;AC-MB2CAP500; ;;9,837;;6,873;;6,470;;;;4
6702;AC-PD3CAP500; ;;9,761;;6,910;;6,507;;;;4
1924;ACA-1Y-SP069; ;;9,039;;7,258;;7,094;;;;2
8213;ACACIA-BA230; ;;10,907;;6,357;;5,839;;;;3
6625;ACACIAEOL000; ;;10,907;;6,357;;5,839;;;;3
6700;ACAILA-MA500; ;;9,816;;6,883;;6,480;;;;4
3911;ACAMP--SP069; ;;9,039;;7,258;;7,094;;;;2
1655;ACAMPI-RJ138; ;;6,905;;8,288;;8,171;;;;2
1896;ACARAC-MS138; ;;8,393;;7,570;;7,534;;;;2
5923;ACARAT-CE230; ;;9,494;;7,039;;6,633;;;;3
5318;ACARAT-CE500; ;;9,482;;7,045;;6,638;;;;3
5486;ACARAU-CE230;B;343,3;9,503;41,6;7,035;52,0;6,628;39143,29;3511,66;4135,87;3
8796;ACAUA--RN230; ;;10,463;;6,571;;6,095;;;;3
6624;ACAUA-EOL000; ;;10,966;;6,329;;5,804;;;;3
8798;ACAUA-EOL026; ;;10,463;;6,571;;6,095;;;;3
1597;ACESIT-MG069; ;;5,404;;9,013;;8,917;;;;2
1596;ACESIT-MG230;B;,1;5,404;107,5;9,013;127,5;8,917;6,49;11626,38;13643,15;2
