BARRA;NOME;TUST-RB  
30951; AGUA AZUL - 440;    6,978
1206; AG.LINDAS230;   10,099
251; ACU II - 230;   11,777
11265; ACU III - 230;   11,575
11565; ACU III - 500;   11,441
7747; ABDON BATISTA - 230;    8,240
7744; ABDON BATISTA - 525;    7,710
9537; ABUNA - 230;    5,376
559; ACAILANDIA - 500;   10,883
55412; ACARAU II – 230;   10,495
12907; ACARAT CE - 230;   10,500
12902; ACARAT-CE500;   10,528
4475; ACESITA - 230;    8,160
3729; ADRIANOPOLIS - 345;    8,896
3728; ADRIANOPOLIS - 500;    9,271
1637; AIMORES - 230;   10,358
11760; ALAGOAS 2 - 230;    8,006
9002; ALEGRETE2 - 230;    7,131
56095; ALEX - 230;   11,643
362; ALTAMIRA - 230;    9,864
7758; ANASTACIO - 230;    8,024
2770; ANDIRA LESTE - 230;    7,513
540; ANGELIM - 500;   10,027
240; ANGELIM - 230;    9,881
3745; ANGRA - 500;   10,105
1172; ANHANGUERA GO - 230;    9,223
2901; ANHANGUERA SP - 230;    5,376
2900; ANHANGUERA - 345;    5,376
2957; APARECIDA - 230;    8,490
2758; ALTA PAULISTA - 400;    9,440
6601; APUCARANA - 230;    7,052
58771; LAGOA BARRO - 230;   11,463
11219; AQUIRAZ - 230;    9,442
1522; ARACUAI - 230;   12,300
11242; ARAPIRACA III - 230;    6,233
5203; ARARAQUARA 2 - 440;    9,014
5202; ARARAQUARA 2 - 500;    9,518
2630; ARARAQUARA - 440;    8,535
3852; ARARAQUARA - 500;    9,279
2673; ARARAS SP - 440;    7,571
38906; ARAXA 3 - 345;   10,360
12203; ARCOVERDE II - 230;   10,056
7749; AREIA - 230;    7,886
7748; AREIA - 525;    8,062
39813; ARINOS 2 - 500;   11,752
9520; ARIQUEMES - 230;    5,376
302; MOXOTO - 230;   11,182
2624; ASSIS - 440;    8,701
4282; ASSIS - 525;    8,419
2626; ASSIS 2 - 230;    8,311
2677; ATIBAIA 2 - 345;    6,028
7923; ATLANTIDA 2 - 230;    6,886
2786; AVARE - 230;    5,630
2617; AGUA VERMELHA - 500;   10,328
2618; AGUA VERMELHA - 440;   10,205
3947; BARRO ALTO - 230;   12,013
3605; BARRO BRANCO - 345;    8,925
4297; B. DOS COQUEIROS - 230;   12,287
229; B.ESPERANCA - 230;   10,136
4288; B. FLUMINENSE - 500;    9,697
7304; BARRA GRANDE - 230;    8,679
6608; BAIXO IGUACU PR - 230;    9,072
11050; B.JESUS II - 230;   10,363
3236; BARRA PEIXE - 230;    9,067
13103; BACAB - MA - 500;   10,550
9010; BAGE 2 - 230;    7,515
2733; BAGUACU - 440;    8,917
1645; BAGUARI - 230;   10,245
2920; B. SANTISTA - 230;    5,376
2919; B. SANTISTA - 345;    5,376
10410; BALBINA - 230;    7,949
215; BALSAS - 230;   10,774
222; BANABUIU - 230;   10,346
3909; BANDEIRANTE GO - 345;   10,100
2934; BANDEIRANTE SP - 345;    5,376
1480; BARBACENA - 345;    8,617
11286; BARREIRAS II - 230;   10,008
286; BARREIRAS - 230;    9,556
1482; BARREIRO - 345;    9,101
846; BARREIRAS - 500;   11,470
6627; BATEIAS - 230;    6,956
3696; BATEIAS 3 - 500;    7,469
6628; BATEIAS - 525;    7,578
2628; BAURU SP - 440;    7,874
