Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,992;;  6,992;  6,978;;;  6,978;
1206; AG.LINDAS230;; 10,113;; 10,113; 10,099;;; 10,099;
251; ACU II - 230;; 11,791;; 11,791; 11,777;;; 11,777;
11265; ACU III - 230;; 11,589;; 11,589; 11,575;;; 11,575;
11565; ACU III - 500;; 11,455;; 11,455; 11,441;;; 11,441;
7747; ABDON BATISTA - 230;;  8,254;;  8,254;  8,240;;;  8,240;
7744; ABDON BATISTA - 525;;  7,724;;  7,724;  7,710;;;  7,710;
9537; ABUNA - 230;;  2,628;;  2,628;  5,376;;;  5,376;
559; ACAILANDIA - 500;; 10,897;; 10,897; 10,883;;; 10,883;
55412; ACARAU II – 230;; 10,509;; 10,509; 10,495;;; 10,495;
12907; ACARAT CE - 230;; 10,514;; 10,514; 10,500;;; 10,500;
12902; ACARAT-CE500;; 10,542;; 10,542; 10,528;;; 10,528;
4475; ACESITA - 230;;  8,174;;  8,174;  8,160;;;  8,160;
3729; ADRIANOPOLIS - 345;;  8,911;;  8,911;  8,896;;;  8,896;
3728; ADRIANOPOLIS - 500;;  9,285;;  9,285;  9,271;;;  9,271;
1637; AIMORES - 230;; 10,372;; 10,372; 10,358;;; 10,358;
11760; ALAGOAS 2 - 230;;  8,020;;  8,020;  8,006;;;  8,006;
9002; ALEGRETE2 - 230;;  7,145;;  7,145;  7,131;;;  7,131;
56095; ALEX - 230;; 11,657;; 11,657; 11,643;;; 11,643;
362; ALTAMIRA - 230;;  9,878;;  9,878;  9,864;;;  9,864;
7758; ANASTACIO - 230;;  8,038;;  8,038;  8,024;;;  8,024;
2770; ANDIRA LESTE - 230;;  7,528;;  7,528;  7,513;;;  7,513;
540; ANGELIM - 500;; 10,041;; 10,041; 10,027;;; 10,027;
240; ANGELIM - 230;;  9,896;;  9,896;  9,881;;;  9,881;
3745; ANGRA - 500;; 10,119;; 10,119; 10,105;;; 10,105;
1172; ANHANGUERA GO - 230;;  9,237;;  9,237;  9,223;;;  9,223;
2901; ANHANGUERA SP - 230;;  4,169;;  4,169;  5,376;;;  5,376;
2900; ANHANGUERA - 345;;  4,511;;  4,511;  5,376;;;  5,376;
2957; APARECIDA - 230;;  8,504;;  8,504;  8,490;;;  8,490;
2758; ALTA PAULISTA - 400;;  9,454;;  9,454;  9,440;;;  9,440;
6601; APUCARANA - 230;;  7,066;;  7,066;  7,052;;;  7,052;
58771; LAGOA BARRO - 230;; 11,477;; 11,477; 11,463;;; 11,463;
11219; AQUIRAZ - 230;;  9,456;;  9,456;  9,442;;;  9,442;
1522; ARACUAI - 230;; 12,314;; 12,314; 12,300;;; 12,300;
11242; ARAPIRACA III - 230;;  6,247;;  6,247;  6,233;;;  6,233;
5203; ARARAQUARA 2 - 440;;  9,028;;  9,028;  9,014;;;  9,014;
5202; ARARAQUARA 2 - 500;;  9,532;;  9,532;  9,518;;;  9,518;
2630; ARARAQUARA - 440;;  8,549;;  8,549;  8,535;;;  8,535;
3852; ARARAQUARA - 500;;  9,293;;  9,293;  9,279;;;  9,279;
2673; ARARAS SP - 440;;  7,585;;  7,585;  7,571;;;  7,571;
38906; ARAXA 3 - 345;; 10,374;; 10,374; 10,360;;; 10,360;
12203; ARCOVERDE II - 230;; 10,070;; 10,070; 10,056;;; 10,056;
7749; AREIA - 230;;  7,900;;  7,900;  7,886;;;  7,886;
7748; AREIA - 525;;  8,076;;  8,076;  8,062;;;  8,062;
39813; ARINOS 2 - 500;; 11,766;; 11,766; 11,752;;; 11,752;
9520; ARIQUEMES - 230;;  3,643;;  3,643;  5,376;;;  5,376;
302; MOXOTO - 230;; 11,196;; 11,196; 11,182;;; 11,182;
2624; ASSIS - 440;;  8,715;;  8,715;  8,701;;;  8,701;
4282; ASSIS - 525;;  8,433;;  8,433;  8,419;;;  8,419;
2626; ASSIS 2 - 230;;  8,325;;  8,325;  8,311;;;  8,311;
2677; ATIBAIA 2 - 345;;  6,042;;  6,042;  6,028;;;  6,028;
7923; ATLANTIDA 2 - 230;;  6,900;;  6,900;  6,886;;;  6,886;
2786; AVARE - 230;;  5,644;;  5,644;  5,630;;;  5,630;
2617; AGUA VERMELHA - 500;; 10,342;; 10,342; 10,328;;; 10,328;
2618; AGUA VERMELHA - 440;; 10,220;; 10,220; 10,205;;; 10,205;
3947; BARRO ALTO - 230;; 12,027;; 12,027; 12,013;;; 12,013;
3605; BARRO BRANCO - 345;;  8,939;;  8,939;  8,925;;;  8,925;
4297; B. DOS COQUEIROS - 230;; 12,301;; 12,301; 12,287;;; 12,287;
229; B.ESPERANCA - 230;; 10,150;; 10,150; 10,136;;; 10,136;
4288; B. FLUMINENSE - 500;;  9,711;;  9,711;  9,697;;;  9,697;
7304; BARRA GRANDE - 230;;  8,693;;  8,693;  8,679;;;  8,679;
6608; BAIXO IGUACU PR - 230;;  9,086;;  9,086;  9,072;;;  9,072;
11050; B.JESUS II - 230;; 10,377;; 10,377; 10,363;;; 10,363;
3236; BARRA PEIXE - 230;;  9,082;;  9,082;  9,067;;;  9,067;
13103; BACAB - MA - 500;; 10,564;; 10,564; 10,550;;; 10,550;
9010; BAGE 2 - 230;;  7,529;;  7,529;  7,515;;;  7,515;
2733; BAGUACU - 440;;  8,932;;  8,932;  8,917;;;  8,917;
1645; BAGUARI - 230;; 10,259;; 10,259; 10,245;;; 10,245;
2920; B. SANTISTA - 230;;  4,949;;  4,949;  5,376;;;  5,376;
2919; B. SANTISTA - 345;;  5,313;;  5,313;  5,376;;;  5,376;
10410; BALBINA - 230;;  7,963;;  7,963;  7,949;;;  7,949;
215; BALSAS - 230;; 10,788;; 10,788; 10,774;;; 10,774;
222; BANABUIU - 230;; 10,360;; 10,360; 10,346;;; 10,346;
3909; BANDEIRANTE GO - 345;; 10,114;; 10,114; 10,100;;; 10,100;
2934; BANDEIRANTE SP - 345;;  4,318;;  4,318;  5,376;;;  5,376;
1480; BARBACENA - 345;;  8,631;;  8,631;  8,617;;;  8,617;
11286; BARREIRAS II - 230;; 10,022;; 10,022; 10,008;;; 10,008;
286; BARREIRAS - 230;;  9,571;;  9,571;  9,556;;;  9,556;
1482; BARREIRO - 345;;  9,115;;  9,115;  9,101;;;  9,101;
